"Status","Year","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Heterosexual / straight","2180","2040","43150","38630"
"In post","2021","Analysis","Female","LGBO","200","200","39780","36160"
"In post","2021","Analysis","Female","Undeclared","200","180","42510","37750"
"In post","2021","Analysis","Female","Unknown","680","640","39480","36160"
"In post","2021","Analysis","Male","Heterosexual / straight","2460","2420","44820","39950"
"In post","2021","Analysis","Male","LGBO","220","220","42670","37020"
"In post","2021","Analysis","Male","Undeclared","300","290","46260","41950"
"In post","2021","Analysis","Male","Unknown","940","920","42170","37320"
"In post","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Heterosexual / straight","2210","2100","39780","35610"
"In post","2021","Commercial","Female","LGBO","80","80","36860","33000"
"In post","2021","Commercial","Female","Undeclared","280","260","36570","33350"
"In post","2021","Commercial","Female","Unknown","960","930","53100","49700"
"In post","2021","Commercial","Male","Heterosexual / straight","1990","1970","45070","40500"
"In post","2021","Commercial","Male","LGBO","110","110","40570","36450"
"In post","2021","Commercial","Male","Undeclared","290","290","43670","39840"
"In post","2021","Commercial","Male","Unknown","1060","1050","59090","54540"
"In post","2021","Communications","Female","Heterosexual / straight","2600","2450","36340","31810"
"In post","2021","Communications","Female","LGBO","140","130","34300","31810"
"In post","2021","Communications","Female","Undeclared","260","240","35220","31810"
"In post","2021","Communications","Female","Unknown","1300","1230","34130","29540"
"In post","2021","Communications","Male","Heterosexual / straight","2170","2140","34370","31810"
"In post","2021","Communications","Male","LGBO","230","230","37080","32230"
"In post","2021","Communications","Male","Undeclared","240","230","32750","30700"
"In post","2021","Communications","Male","Unknown","1270","1260","32710","25560"
"In post","2021","Counter Fraud","Female","Heterosexual / straight","2800","2560","33020","31810"
"In post","2021","Counter Fraud","Female","LGBO","150","140","33560","29570"
"In post","2021","Counter Fraud","Female","Undeclared","400","350","33440","31810"
"In post","2021","Counter Fraud","Female","Unknown","1170","1070","30340","28130"
"In post","2021","Counter Fraud","Male","Heterosexual / straight","3050","2960","35690","31810"
"In post","2021","Counter Fraud","Male","LGBO","160","160","34910","31810"
"In post","2021","Counter Fraud","Male","Undeclared","540","520","37170","32100"
"In post","2021","Counter Fraud","Male","Unknown","1340","1300","33010","31810"
"In post","2021","Debt","Female","Heterosexual / straight","1280","1090","24070","21440"
"In post","2021","Debt","Female","LGBO","60","60","23230","20140"
"In post","2021","Debt","Female","Undeclared","200","160","23770","21440"
"In post","2021","Debt","Female","Unknown","1110","980","22360","20140"
"In post","2021","Debt","Male","Heterosexual / straight","880","840","23970","20640"
"In post","2021","Debt","Male","LGBO","90","80","23140","20140"
"In post","2021","Debt","Male","Undeclared","120","120","24640","21440"
"In post","2021","Debt","Male","Unknown","930","900","22410","20140"
"In post","2021","Digital, Data & Technology","Female","Heterosexual / straight","3060","2900","40610","37100"
"In post","2021","Digital, Data & Technology","Female","LGBO","230","220","39360","36530"
"In post","2021","Digital, Data & Technology","Female","Undeclared","440","420","40150","37170"
"In post","2021","Digital, Data & Technology","Female","Unknown","1270","1200","39870","37930"
"In post","2021","Digital, Data & Technology","Male","Heterosexual / straight","4860","4790","43010","38630"
"In post","2021","Digital, Data & Technology","Male","LGBO","290","290","43790","38650"
"In post","2021","Digital, Data & Technology","Male","Undeclared","790","770","41410","38630"
"In post","2021","Digital, Data & Technology","Male","Unknown","2650","2610","40970","38630"
"In post","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Heterosexual / straight","3650","3380","37690","33300"
"In post","2021","Finance","Female","LGBO","110","100","38550","33050"
