"Status","Year","Sexual_orientation","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Female","48790","42010","21700","21010"
"In post","2021","Heterosexual / straight","AA/AO","Male","37370","35900","23450","21430"
"In post","2021","Heterosexual / straight","EO","Female","49710","44870","27480","27570"
"In post","2021","Heterosexual / straight","EO","Male","35550","34340","27990","27570"
"In post","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Female","21030","19910","58270","56350"
"In post","2021","Heterosexual / straight","G6/G7","Male","20960","20570","59300","57460"
"In post","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Female","2350","2230","87600","80290"
"In post","2021","Heterosexual / straight","SCS","Male","2560","2510","92640","83980"
"In post","2021","Heterosexual / straight","SEO/HEO","Female","45930","43340","36390","35310"
"In post","2021","Heterosexual / straight","SEO/HEO","Male","41100","40190","37500","36650"
"In post","2021","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Female","8200","7530","30390","30210"
"In post","2021","Heterosexual / straight","Unknown","Male","3430","3340","35360","33480"
"In post","2021","LGBO","AA/AO","Female","2660","2530","23060","21430"
"In post","2021","LGBO","AA/AO","Male","2250","2170","22400","21010"
"In post","2021","LGBO","EO","Female","2410","2310","27640","27570"
"In post","2021","LGBO","EO","Male","2570","2500","27640","27570"
"In post","2021","LGBO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Female","1030","1000","57900","55380"
"In post","2021","LGBO","G6/G7","Male","1750","1730","58930","57340"
"In post","2021","LGBO","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Female","110","110","85540","77000"
"In post","2021","LGBO","SCS","Male","230","220","88520","80860"
"In post","2021","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Female","2400","2340","35920","34710"
"In post","2021","LGBO","SEO/HEO","Male","2760","2730","36340","35500"
"In post","2021","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Female","430","410","29090","27540"
"In post","2021","LGBO","Unknown","Male","220","220","30890","28200"
"In post","2021","Undeclared","AA/AO","Female","7480","6260","21710","21130"
"In post","2021","Undeclared","AA/AO","Male","5190","4920","23500","21430"
"In post","2021","Undeclared","EO","Female","6420","5680","27720","27570"
"In post","2021","Undeclared","EO","Male","5510","5220","28230","27570"
"In post","2021","Undeclared","G6/G7","Female","2290","2180","59100","57460"
"In post","2021","Undeclared","G6/G7","Male","3030","2950","59830","57740"
"In post","2021","Undeclared","SCS","Female","210","190","87570","81090"
"In post","2021","Undeclared","SCS","Male","280","270","90800","83290"
"In post","2021","Undeclared","SEO/HEO","Female","5620","5270","36870","36030"
"In post","2021","Undeclared","SEO/HEO","Male","6410","6210","37970","37300"
"In post","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Female","730","670","32410","32090"
"In post","2021","Undeclared","Unknown","Male","500","490","38170","37170"
"In post","2021","Unknown","AA/AO","Female","20410","17150","21700","21010"
"In post","2021","Unknown","AA/AO","Male","16520","15680","23350","21140"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Female","14920","13170","27640","27570"
"In post","2021","Unknown","EO","Male","11800","11340","28130","27570"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Female","5840","5490","58150","55610"
"In post","2021","Unknown","G6/G7","Male","6490","6340","59010","56860"
"In post","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Female","750","710","90960","81780"
"In post","2021","Unknown","SCS","Male","820","810","93810","83700"
"In post","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","12010","11380","35680","34650"
"In post","2021","Unknown","SEO/HEO","Male","12770","12460","36640","36030"
"In post","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","970","880","28920","26810"
"In post","2021","Unknown","Unknown","Male","2090","2070","36650","33570"
"In post","2022","Heterosexual / straight","AA/AO","Female","49070","42380","22190","21260"
"In post","2022","Heterosexual / straight","AA/AO","Male","37320","35820","23840","21680"
"In post","2022","Heterosexual / straight","EO","Female","51630","46690","27720","27570"
"In post","2022","Heterosexual / straight","EO","Male","36700","35520","28210","27570"
"In post","2022","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","G6/G7","Female","23880","22660","58550","56220"
"In post","2022","Heterosexual / straight","G6/G7","Male","23140","22720","59660","57530"
"In post","2022","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Female","2490","2370","87450","80000"
"In post","2022","Heterosexual / straight","SCS","Male","2620","2580","92240","83850"
"In post","2022","Heterosexual / straight","SEO/HEO","Female","51420","48660","36830","36010"
"In post","2022","Heterosexual / straight","SEO/HEO","Male","45460","44500","37850","37040"
"In post","2022","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Female","11120","10270","30480","28200"
"In post","2022","Heterosexual / straight","Unknown","Male","4400","4250","34380","31420"
"In post","2022","LGBO","AA/AO","Female","3010","2860","23280","21680"
"In post","2022","LGBO","AA/AO","Male","2390","2310","22980","21260"
"In post","2022","LGBO","EO","Female","2760","2660","27840","27570"
"In post","2022","LGBO","EO","Male","2770","2700","27800","27570"
"In post","2022","LGBO","G6/G7","Female","1310","1270","57670","54860"
"In post","2022","LGBO","G6/G7","Male","2020","2000","58950","57240"
"In post","2022","LGBO","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Female","130","120","86340","78000"
"In post","2022","LGBO","SCS","Male","240","240","87680","80000"
"In post","2022","LGBO","SEO/HEO","Female","3100","3030","36390","35180"
"In post","2022","LGBO","SEO/HEO","Male","3300","3250","36710","35900"
"In post","2022","LGBO","Unknown","Female","700","680","29590","27060"
"In post","2022","LGBO","Unknown","Male","330","320","30500","27060"
"In post","2022","Undeclared","AA/AO","Female","6480","5420","22150","21380"
"In post","2022","Undeclared","AA/AO","Male","4670","4410","23920","21680"
"In post","2022","Undeclared","EO","Female","5990","5330","27840","27570"
"In post","2022","Undeclared","EO","Male","5270","5000","28460","27570"
"In post","2022","Undeclared","G6/G7","Female","2710","2580","58970","56640"
"In post","2022","Undeclared","G6/G7","Male","3380","3290","60010","57780"
"In post","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Female","260","240","86130","80850"
"In post","2022","Undeclared","SCS","Male","310","300","91690","83780"
"In post","2022","Undeclared","SEO/HEO","Female","6020","5670","37230","36500"
"In post","2022","Undeclared","SEO/HEO","Male","6800","6600","38170","37480"
"In post","2022","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Female","850","780","32110","31420"
"In post","2022","Undeclared","Unknown","Male","530","510","36890","37140"
"In post","2022","Unknown","AA/AO","Female","18980","16110","22310","21260"
"In post","2022","Unknown","AA/AO","Male","15250","14490","23750","21680"
"In post","2022","Unknown","EO","Female","14510","12920","27910","27570"
"In post","2022","Unknown","EO","Male","11650","11180","28470","27570"
"In post","2022","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Female","6040","5700","58770","57170"
