"Status","Year","Sex","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Heterosexual / straight","1830","1680","31390","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","LGBO","90","90","30600","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Undeclared","220","200","32070","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","440","390","31580","29290"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","3360","3110","31520","28350"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","LGBO","200","190","29260","27850"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","440","400","31840","28670"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","800","710","31950","28990"
"In post","2021","Female","Cheshire","Heterosexual / straight","1540","1420","30450","27570"
"In post","2021","Female","Cheshire","LGBO","120","110","30580","27570"
"In post","2021","Female","Cheshire","Undeclared","170","160","29920","28840"
"In post","2021","Female","Cheshire","Unknown","360","320","27840","27470"
"In post","2021","Female","Cornwall and Isles of Scilly","Heterosexual / straight","630","550","26450","26670"
"In post","2021","Female","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Undeclared","90","70","26350","26400"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","180","150","25400","21010"
"In post","2021","Female","Cumbria","Heterosexual / straight","750","650","27090","25150"
"In post","2021","Female","Cumbria","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Cumbria","Undeclared","80","70","27870","25190"
"In post","2021","Female","Cumbria","Unknown","380","320","25140","21050"
"In post","2021","Female","Derbyshire and Nottinghamshire","Heterosexual / straight","4540","4090","30700","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","LGBO","270","260","30270","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Undeclared","630","550","30330","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Unknown","1490","1330","28320","26700"
"In post","2021","Female","Devon","Heterosexual / straight","2480","2160","28270","27000"
"In post","2021","Female","Devon","LGBO","140","130","26920","25930"
"In post","2021","Female","Devon","Undeclared","320","280","28810","26930"
"In post","2021","Female","Devon","Unknown","1410","1230","31510","27570"
"In post","2021","Female","Dorset and Somerset","Heterosexual / straight","1740","1560","28260","27130"
"In post","2021","Female","Dorset and Somerset","LGBO","90","90","28400","27470"
"In post","2021","Female","Dorset and Somerset","Undeclared","250","220","29110","27570"
"In post","2021","Female","Dorset and Somerset","Unknown","430","360","28290","27540"
"In post","2021","Female","East Anglia","Heterosexual / straight","4520","4080","28940","27140"
"In post","2021","Female","East Anglia","LGBO","200","190","27890","25880"
"In post","2021","Female","East Anglia","Undeclared","570","520","29300","27130"
"In post","2021","Female","East Anglia","Unknown","1070","930","28980","27500"
"In post","2021","Female","East Wales","Heterosexual / straight","7470","6810","32560","28130"
"In post","2021","Female","East Wales","LGBO","390","380","30340","27570"
"In post","2021","Female","East Wales","Undeclared","790","710","32660","27570"
"In post","2021","Female","East Wales","Unknown","2330","2060","27700","25560"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","1600","1390","26890","26670"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","LGBO","90","80","26670","25790"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Undeclared","240","210","26900","27130"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Unknown","400","350","25860","26120"
"In post","2021","Female","Eastern Scotland","Heterosexual / straight","6210","5720","35110","29190"
"In post","2021","Female","Eastern Scotland","LGBO","350","340","32990","30080"
"In post","2021","Female","Eastern Scotland","Undeclared","1170","1060","30560","27570"
"In post","2021","Female","Eastern Scotland","Unknown","2990","2710","31730","27570"
"In post","2021","Female","Essex","Heterosexual / straight","2170","1950","29670","29290"
"In post","2021","Female","Essex","LGBO","120","110","29710","29290"
"In post","2021","Female","Essex","Undeclared","310","270","28500","27370"
"In post","2021","Female","Essex","Unknown","630","550","29980","27530"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","10100","9310","34060","30990"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","490","470","31670","28300"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","1350","1230","35080","33280"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1720","1530","33260","28550"
"In post","2021","Female","Greater Manchester","Heterosexual / straight","7080","6500","31020","27570"
"In post","2021","Female","Greater Manchester","LGBO","410","400","30560","27570"
"In post","2021","Female","Greater Manchester","Undeclared","870","780","29330","27300"
"In post","2021","Female","Greater Manchester","Unknown","2390","2140","27930","25560"
"In post","2021","Female","Hampshire and Isle of Wight","Heterosexual / straight","5460","4890","30460","27570"
"In post","2021","Female","Hampshire and Isle of Wight","LGBO","250","240","29050","27570"
"In post","2021","Female","Hampshire and Isle of Wight","Undeclared","690","620","30600","27570"
"In post","2021","Female","Hampshire and Isle of Wight","Unknown","1190","1020","29720","26670"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","1510","1370","27410","26120"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","LGBO","90","90","28730","24440"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Undeclared","190","170","26860","24440"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Unknown","370","320","25970","24920"
"In post","2021","Female","Highlands and Islands","Heterosexual / straight","640","580","27640","27570"
"In post","2021","Female","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Undeclared","120","100","28050","27570"
"In post","2021","Female","Highlands and Islands","Unknown","230","210","28490","27570"
"In post","2021","Female","Inner London - East","Heterosexual / straight","6270","5890","40530","34550"
"In post","2021","Female","Inner London - East","LGBO","340","330","38760","34550"
"In post","2021","Female","Inner London - East","Undeclared","900","840","40570","34010"
"In post","2021","Female","Inner London - East","Unknown","2140","1960","39600","32260"
"In post","2021","Female","Inner London - West","Heterosexual / straight","21400","20490","46350","41800"
"In post","2021","Female","Inner London - West","LGBO","1440","1410","44980","40050"
"In post","2021","Female","Inner London - West","Undeclared","2370","2270","45370","40960"
"In post","2021","Female","Inner London - West","Unknown","7100","6810","44500","38600"
"In post","2021","Female","Kent","Heterosexual / straight","3000","2730","28710","27370"
"In post","2021","Female","Kent","LGBO","180","180","29800","29290"
"In post","2021","Female","Kent","Undeclared","430","380","29120","27370"
"In post","2021","Female","Kent","Unknown","610","550","28190","26330"
"In post","2021","Female","Lancashire","Heterosexual / straight","5510","4880","28170","27570"
"In post","2021","Female","Lancashire","LGBO","250","240","27400","26500"
"In post","2021","Female","Lancashire","Undeclared","620","530","28020","27570"
"In post","2021","Female","Lancashire","Unknown","1890","1610","26200","25300"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","2450","2160","27010","25220"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","LGBO","130","120","27720","26700"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Undeclared","330","290","26240","24620"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Unknown","730","630","25640","23240"
"In post","2021","Female","Lincolnshire","Heterosexual / straight","1080","990","26400","25030"
"In post","2021","Female","Lincolnshire","LGBO","50","40","[c]","[c]"
"In post","2021","Female","Lincolnshire","Undeclared","160","140","27560","26240"
"In post","2021","Female","Lincolnshire","Unknown","170","150","28050","27570"
"In post","2021","Female","Merseyside","Heterosexual / straight","8170","7240","28230","25560"
"In post","2021","Female","Merseyside","LGBO","280","260","27190","25040"
"In post","2021","Female","Merseyside","Undeclared","780","670","28040","25560"
"In post","2021","Female","Merseyside","Unknown","2450","2090","26550","23470"
"In post","2021","Female","North Eastern Scotland","Heterosexual / straight","550","500","34160","29190"
"In post","2021","Female","North Eastern Scotland","LGBO","30","30","[c]","[c]"
"In post","2021","Female","North Eastern Scotland","Undeclared","110","90","29230","22820"
"In post","2021","Female","North Eastern Scotland","Unknown","240","220","30010","27570"
"In post","2021","Female","North Yorkshire","Heterosexual / straight","1780","1650","33780","29290"
"In post","2021","Female","North Yorkshire","LGBO","100","100","33270","29030"
"In post","2021","Female","North Yorkshire","Undeclared","180","160","30820","27570"
"In post","2021","Female","North Yorkshire","Unknown","400","360","32490","27570"
"In post","2021","Female","Northern Ireland","Heterosexual / straight","1220","1110","29200","25560"
"In post","2021","Female","Northern Ireland","LGBO","50","40","[c]","[c]"
"In post","2021","Female","Northern Ireland","Undeclared","90","80","27940","25560"
"In post","2021","Female","Northern Ireland","Unknown","400","360","26260","21730"
"In post","2021","Female","Northumberland and Tyne and Wear","Heterosexual / straight","8080","6960","28130","25560"
"In post","2021","Female","Northumberland and Tyne and Wear","LGBO","330","310","27610","25560"
"In post","2021","Female","Northumberland and Tyne and Wear","Undeclared","760","640","27190","21950"
"In post","2021","Female","Northumberland and Tyne and Wear","Unknown","3500","2890","25180","21440"
"In post","2021","Female","Outer London - East and North East","Heterosexual / straight","1440","1320","30230","31060"
"In post","2021","Female","Outer London - East and North East","LGBO","80","70","31890","31060"
"In post","2021","Female","Outer London - East and North East","Undeclared","200","170","29080","30330"
"In post","2021","Female","Outer London - East and North East","Unknown","560","490","28940","30330"
"In post","2021","Female","Outer London - South","Heterosexual / straight","4410","4070","36420","31170"
"In post","2021","Female","Outer London - South","LGBO","130","130","38240","31060"
"In post","2021","Female","Outer London - South","Undeclared","640","580","35210","31060"
"In post","2021","Female","Outer London - South","Unknown","900","840","33880","31060"
"In post","2021","Female","Outer London - West and North West","Heterosexual / straight","3370","3090","32250","31060"
"In post","2021","Female","Outer London - West and North West","LGBO","150","140","32290","31060"
"In post","2021","Female","Outer London - West and North West","Undeclared","550","490","32440","30840"
"In post","2021","Female","Outer London - West and North West","Unknown","890","810","34800","31060"
"In post","2021","Female","Overseas","Heterosexual / straight","950","940","49570","50940"
"In post","2021","Female","Overseas","LGBO","50","50","47100","41460"
"In post","2021","Female","Overseas","Undeclared","140","140","45590","40330"
"In post","2021","Female","Overseas","Unknown","360","360","49730","46620"
"In post","2021","Female","Shropshire and Staffordshire","Heterosexual / straight","3230","2930","29210","27380"
"In post","2021","Female","Shropshire and Staffordshire","LGBO","180","170","27100","25790"
"In post","2021","Female","Shropshire and Staffordshire","Undeclared","340","300","28800","27130"
"In post","2021","Female","Shropshire and Staffordshire","Unknown","790","700","28100","26300"
"In post","2021","Female","South Yorkshire","Heterosexual / straight","4200","3680","30360","27570"
"In post","2021","Female","South Yorkshire","LGBO","200","190","31890","27570"
"In post","2021","Female","South Yorkshire","Undeclared","470","410","30280","27570"
"In post","2021","Female","South Yorkshire","Unknown","850","730","29850","27570"
"In post","2021","Female","Southern Scotland","Heterosexual / straight","2020","1770","29910","27570"
"In post","2021","Female","Southern Scotland","LGBO","70","60","30940","27570"
"In post","2021","Female","Southern Scotland","Undeclared","260","220","26540","22820"
