"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA/AO","290","280","25890","25840"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","280","260","27760","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","160","160","38070","36950"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","70","60","27390","23840"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","140","140","20780","20920"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","130","120","28060","27390"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","140","140","37110","36300"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","AA/AO","700","650","25330","24240"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","EO","920","860","29990","29290"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","G6/G7","280","270","60300","59730"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","SEO/HEO","660","640","39440","38510"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","140","130","29320","28200"
"In post","2021","Bedfordshire and Hertfordshire","Luton","AA/AO","140","120","20370","20650"
"In post","2021","Bedfordshire and Hertfordshire","Luton","EO","280","240","27590","27570"
"In post","2021","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Unknown","90","80","26140","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","1000","960","27560","25540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","800","750","30940","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","290","280","56950","54540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","650","620","37850","36840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","190","190","31760","31910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","AA/AO","570","540","25280","23130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","EO","490","470","28760","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","G6/G7","70","70","64150","59540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SEO/HEO","450","430","38730","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","90","90","29700","31310"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","870","840","25210","24380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","570","550","28320","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","170","160","61650","58290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","530","510","39350","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","60","60","22960","21600"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","AA/AO","1150","1080","24240","21500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","EO","560","530","28350","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","G6/G7","220","200","61190","57120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SEO/HEO","660","620","37420","36730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Unknown","140","130","30290","32040"
"In post","2021","Cheshire","Cheshire East","AA/AO","290","260","23870","21710"
"In post","2021","Cheshire","Cheshire East","EO","240","220","27510","27570"
"In post","2021","Cheshire","Cheshire East","G6/G7","40","40","[c]","[c]"
"In post","2021","Cheshire","Cheshire East","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cheshire East","SEO/HEO","130","120","38860","37410"
"In post","2021","Cheshire","Cheshire East","Unknown","50","50","29630","30150"
"In post","2021","Cheshire","Cheshire West and Chester","AA/AO","160","150","20670","21010"
"In post","2021","Cheshire","Cheshire West and Chester","EO","180","160","27190","27570"
"In post","2021","Cheshire","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cheshire West and Chester","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cheshire","Cheshire West and Chester","Unknown","80","70","28740","28200"
"In post","2021","Cheshire","Warrington","AA/AO","760","690","23410","21300"
"In post","2021","Cheshire","Warrington","EO","1010","980","30460","28860"
"In post","2021","Cheshire","Warrington","G6/G7","160","160","56700","55740"
"In post","2021","Cheshire","Warrington","SCS","[c]","[c]","[c]","[c]"
