"Status","Year","Sexual_orientation","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","AA/AO","880","820","24300","22650"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","EO","1150","1070","28890","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","G6/G7","220","210","60690","59730"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","SEO/HEO","720","700","38570","37640"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Unknown","210","200","28900","28200"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","2370","2270","25200","22920"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","EO","1690","1610","29060","27570"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","520","490","60080","57260"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","SCS","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","1630","1570","38280","36970"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","370","340","29920","29880"
"In post","2021","Heterosexual / straight","Cheshire","AA/AO","740","680","22650","21010"
"In post","2021","Heterosexual / straight","Cheshire","EO","1020","980","29540","28010"
"In post","2021","Heterosexual / straight","Cheshire","G6/G7","160","150","57460","55740"
"In post","2021","Heterosexual / straight","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","SEO/HEO","620","600","39510","38540"
"In post","2021","Heterosexual / straight","Cheshire","Unknown","160","150","29590","29530"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","AA/AO","470","430","20830","21010"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","EO","410","380","27250","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","G6/G7","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","SEO/HEO","160","150","35670","34290"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","AA/AO","470","420","22170","21050"
"In post","2021","Heterosexual / straight","Cumbria","EO","360","330","25860","26250"
"In post","2021","Heterosexual / straight","Cumbria","G6/G7","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","SEO/HEO","220","210","34530","33300"
"In post","2021","Heterosexual / straight","Cumbria","Unknown","190","180","37090","33740"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","AA/AO","2280","2070","22110","21010"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","EO","2190","2020","26710","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","G6/G7","810","770","57310","53150"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","SCS","60","60","89330","83370"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","SEO/HEO","2150","2030","35680","33840"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Unknown","390","350","30040","30210"
"In post","2021","Heterosexual / straight","Devon","AA/AO","1910","1710","22220","21010"
"In post","2021","Heterosexual / straight","Devon","EO","1420","1310","26970","27570"
"In post","2021","Heterosexual / straight","Devon","G6/G7","240","230","59040","56750"
"In post","2021","Heterosexual / straight","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","SEO/HEO","1040","980","37750","37240"
"In post","2021","Heterosexual / straight","Devon","Unknown","260","240","34280","32100"
"In post","2021","Heterosexual / straight","Dorset and Somerset","AA/AO","1200","1110","22260","21010"
"In post","2021","Heterosexual / straight","Dorset and Somerset","EO","1100","1010","27340","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","G6/G7","130","130","59070","55070"
"In post","2021","Heterosexual / straight","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","SEO/HEO","990","940","36650","34290"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","180","160","28460","28200"
"In post","2021","Heterosexual / straight","East Anglia","AA/AO","3420","3150","23250","21430"
