"Status","Year","Region_ITL3","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","AA/AO","180","170","23890","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","EO","130","120","30480","29350"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SEO/HEO","100","90","45900","39500"
"In post","2021","Aberdeen City and Aberdeenshire","White","AA/AO","330","310","25940","22230"
"In post","2021","Aberdeen City and Aberdeenshire","White","EO","430","400","28800","27570"
"In post","2021","Aberdeen City and Aberdeenshire","White","G6/G7","100","100","66370","61010"
"In post","2021","Aberdeen City and Aberdeenshire","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","White","SEO/HEO","440","420","44040","38540"
"In post","2021","Angus and Dundee City","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","AA/AO","240","220","21000","21010"
"In post","2021","Angus and Dundee City","Unknown","EO","50","50","27630","27950"
"In post","2021","Angus and Dundee City","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","White","AA/AO","790","720","21160","21010"
"In post","2021","Angus and Dundee City","White","EO","410","370","27420","27570"
"In post","2021","Angus and Dundee City","White","G6/G7","60","50","62350","61650"
"In post","2021","Angus and Dundee City","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","White","SEO/HEO","200","190","36940","34290"
"In post","2021","Antrim and Newtownabbey","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","EO","[c]","[c]","[c]","[c]"
