"Status","Year","Disability","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","East Midlands (England)","1640","1460","28230","27570"
"In post","2021","Declared disabled","Female","East of England","1560","1400","29010","27570"
"In post","2021","Declared disabled","Female","London","5390","5040","39410","33620"
"In post","2021","Declared disabled","Female","North East (England)","2120","1790","26730","25560"
"In post","2021","Declared disabled","Female","North West (England)","4340","3780","27750","26730"
"In post","2021","Declared disabled","Female","Northern Ireland","170","160","28530","25560"
"In post","2021","Declared disabled","Female","Overseas","90","90","47880","51500"
"In post","2021","Declared disabled","Female","Scotland","2620","2310","29680","27570"
"In post","2021","Declared disabled","Female","South East (England)","2560","2290","29490","27570"
"In post","2021","Declared disabled","Female","South West (England)","2530","2260","30590","27570"
"In post","2021","Declared disabled","Female","Unknown","120","110","30860","27570"
"In post","2021","Declared disabled","Female","Wales","2250","1940","27690","26120"
"In post","2021","Declared disabled","Female","West Midlands (England)","2270","2010","28380","27570"
"In post","2021","Declared disabled","Female","Yorkshire and The Humber","2440","2130","29560","27570"
"In post","2021","Declared disabled","Male","East Midlands (England)","1030","980","28820","27570"
"In post","2021","Declared disabled","Male","East of England","1020","960","31230","29290"
"In post","2021","Declared disabled","Male","London","3820","3710","42100","36300"
"In post","2021","Declared disabled","Male","North East (England)","1300","1210","27370","25560"
"In post","2021","Declared disabled","Male","North West (England)","2670","2520","29070","27570"
"In post","2021","Declared disabled","Male","Northern Ireland","150","140","26090","23250"
"In post","2021","Declared disabled","Male","Overseas","140","140","48330","42800"
"In post","2021","Declared disabled","Male","Scotland","1850","1750","31430","27570"
"In post","2021","Declared disabled","Male","South East (England)","2010","1910","31170","28980"
"In post","2021","Declared disabled","Male","South West (England)","2230","2140","34150","31600"
"In post","2021","Declared disabled","Male","Unknown","70","70","32220","27570"
"In post","2021","Declared disabled","Male","Wales","1290","1220","30370","27570"
"In post","2021","Declared disabled","Male","West Midlands (England)","1330","1260","29790","27570"
"In post","2021","Declared disabled","Male","Yorkshire and The Humber","1550","1460","30820","27570"
"In post","2021","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","East Midlands (England)","8150","7260","29070","27150"
"In post","2021","Declared non-disabled","Female","East of England","8520","7640","29510","27570"
"In post","2021","Declared non-disabled","Female","London","36600","34410","42290","36160"
"In post","2021","Declared non-disabled","Female","North East (England)","12280","10560","27740","25560"
"In post","2021","Declared non-disabled","Female","North West (England)","23680","21060","28830","26930"
"In post","2021","Declared non-disabled","Female","Northern Ireland","1090","980","29000","25560"
"In post","2021","Declared non-disabled","Female","Overseas","980","970","48630","47000"
"In post","2021","Declared non-disabled","Female","Scotland","15260","13680","31420","27570"
"In post","2021","Declared non-disabled","Female","South East (England)","14640","13220","30220","27570"
