"Status","Year","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","16-19","950","910","20800","20880"
"In post","2021","AA/AO","20-29","26460","25740","22480","21100"
"In post","2021","AA/AO","30-39","25830","23500","22780","21130"
"In post","2021","AA/AO","40-49","27230","24320","22580","21050"
"In post","2021","AA/AO","50-59","40490","36360","22520","21050"
"In post","2021","AA/AO","60-64","14530","11790","21890","21010"
"In post","2021","AA/AO","65+","5170","3960","21650","21010"
"In post","2021","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","300","300","23060","24300"
"In post","2021","EO","20-29","21600","21370","27030","27370"
"In post","2021","EO","30-39","25670","24300","27480","27570"
"In post","2021","EO","40-49","28390","26390","27780","27570"
"In post","2021","EO","50-59","39180","36340","28200","27570"
"In post","2021","EO","60-64","10650","8470","28160","27570"
"In post","2021","EO","65+","3080","2280","28150","27570"
"In post","2021","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","20-29","4360","4340","54470","53380"
"In post","2021","G6/G7","30-39","16530","16070","57090","54860"
"In post","2021","G6/G7","40-49","19140","18390","59070","57460"
"In post","2021","G6/G7","50-59","18430","17970","60370","59080"
"In post","2021","G6/G7","60-64","3110","2730","61690","59930"
"In post","2021","G6/G7","65+","860","670","63490","61010"
"In post","2021","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","40","40","[c]","[c]"
"In post","2021","SCS","30-39","1170","1130","79090","74770"
"In post","2021","SCS","40-49","2900","2800","88170","80580"
"In post","2021","SCS","50-59","2630","2580","95790","87290"
"In post","2021","SCS","60-64","450","410","102990","94500"
"In post","2021","SCS","65+","110","90","105360","99740"
"In post","2021","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","20-29","21990","21880","34230","33300"
"In post","2021","SEO/HEO","30-39","30340","29420","36230","35670"
"In post","2021","SEO/HEO","40-49","30660","29450","37380","36800"
"In post","2021","SEO/HEO","50-59","36290","35070","37910","36970"
"In post","2021","SEO/HEO","60-64","7720","6530","38290","36960"
"In post","2021","SEO/HEO","65+","2030","1580","38530","37200"
"In post","2021","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","70","70","18720","16780"
"In post","2021","Unknown","20-29","2970","2920","26300","24020"
"In post","2021","Unknown","30-39","3880","3640","31470","31420"
"In post","2021","Unknown","40-49","3980","3720","34580","34330"
"In post","2021","Unknown","50-59","4020","3830","35540","34320"
"In post","2021","Unknown","60-64","1250","1100","33350","32690"
"In post","2021","Unknown","65+","410","330","33510","32400"
"In post","2022","AA/AO","16-19","890","850","21460","21250"
"In post","2022","AA/AO","20-29","26560","25870","22860","21300"
"In post","2022","AA/AO","30-39","25370","23260","23310","21640"
"In post","2022","AA/AO","40-49","25830","23120","23020","21300"
"In post","2022","AA/AO","50-59","38420","34570","22970","21380"
"In post","2022","AA/AO","60-64","14780","12010","22400","21260"
"In post","2022","AA/AO","65+","5320","4110","22290","21280"
"In post","2022","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","16-19","300","300","23510","24860"
"In post","2022","EO","20-29","23160","22910","27360","27230"
"In post","2022","EO","30-39","26650","25340","27800","27570"
"In post","2022","EO","40-49","27920","26010","27960","27570"
"In post","2022","EO","50-59","38630","35920","28380","27570"
"In post","2022","EO","60-64","11300","9050","28400","27570"
"In post","2022","EO","65+","3300","2460","28490","27570"
"In post","2022","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","20-29","5040","5020","54950","53870"
"In post","2022","G6/G7","30-39","18630","18140","57380","55210"
"In post","2022","G6/G7","40-49","21390","20580","59450","57500"
"In post","2022","G6/G7","50-59","19970","19500","60730","59000"
"In post","2022","G6/G7","60-64","3490","3090","61830","60300"
"In post","2022","G6/G7","65+","920","720","63260","61440"
"In post","2022","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","30-39","1070","1040","79970","75490"
"In post","2022","SCS","40-49","2960","2870","87930","80400"
"In post","2022","SCS","50-59","2640","2590","95560","87030"
"In post","2022","SCS","60-64","430","400","103420","94500"
"In post","2022","SCS","65+","100","80","110430","102120"
"In post","2022","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","20-29","25550","25430","34720","33450"
"In post","2022","SEO/HEO","30-39","34490","33530","36740","36130"
"In post","2022","SEO/HEO","40-49","32850","31630","37780","37300"
"In post","2022","SEO/HEO","50-59","37690","36460","38300","37510"
"In post","2022","SEO/HEO","60-64","8650","7390","38500","37370"
"In post","2022","SEO/HEO","65+","2300","1820","39080","37660"
"In post","2022","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","80","80","18480","17140"
"In post","2022","Unknown","20-29","4250","4180","25980","24090"
"In post","2022","Unknown","30-39","5330","4990","30560","30210"
"In post","2022","Unknown","40-49","5550","5160","34080","32710"
"In post","2022","Unknown","50-59","5690","5380","34200","31820"
"In post","2022","Unknown","60-64","1920","1680","32600","28880"
"In post","2022","Unknown","65+","640","500","32220","28620"
"Leaver CS","2021","AA/AO","16-19","90","80","20390","21010"
"Leaver CS","2021","AA/AO","20-29","3120","3010","21090","21010"
"Leaver CS","2021","AA/AO","30-39","1660","1500","21610","21010"
"Leaver CS","2021","AA/AO","40-49","1360","1190","21270","21010"
"Leaver CS","2021","AA/AO","50-59","2310","1990","21550","21010"
"Leaver CS","2021","AA/AO","60-64","1610","1290","21490","21010"
"Leaver CS","2021","AA/AO","65+","1770","1290","20810","20720"
"Leaver CS","2021","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","20-29","1110","1060","25870","26670"
"Leaver CS","2021","EO","30-39","820","760","27640","27570"
"Leaver CS","2021","EO","40-49","700","640","27740","27570"
"Leaver CS","2021","EO","50-59","1510","1360","28050","27570"
"Leaver CS","2021","EO","60-64","1120","900","27900","27570"
"Leaver CS","2021","EO","65+","870","610","27520","27570"
"Leaver CS","2021","EO","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","20-29","100","90","54700","54110"
"Leaver CS","2021","G6/G7","30-39","480","460","57220","54900"
"Leaver CS","2021","G6/G7","40-49","410","370","60660","57890"
"Leaver CS","2021","G6/G7","50-59","740","700","62290","59810"
"Leaver CS","2021","G6/G7","60-64","540","450","62680","60620"
"Leaver CS","2021","G6/G7","65+","200","140","62230","61010"
"Leaver CS","2021","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","30-39","40","30","[c]","[c]"
"Leaver CS","2021","SCS","40-49","110","100","93560","87550"
"Leaver CS","2021","SCS","50-59","150","130","106190","1e+05"
"Leaver CS","2021","SCS","60-64","120","100","98260","94700"
"Leaver CS","2021","SCS","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","20-29","760","730","33820","33200"
"Leaver CS","2021","SEO/HEO","30-39","870","820","36670","36780"
"Leaver CS","2021","SEO/HEO","40-49","670","620","37230","37100"
"Leaver CS","2021","SEO/HEO","50-59","1450","1370","38150","37410"
"Leaver CS","2021","SEO/HEO","60-64","1140","980","38430","37090"
"Leaver CS","2021","SEO/HEO","65+","610","460","38440","36740"
"Leaver CS","2021","SEO/HEO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","300","290","[c]","[c]"
"Leaver CS","2021","Unknown","30-39","220","200","[c]","[c]"
"Leaver CS","2021","Unknown","40-49","170","160","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","250","230","39990","35120"
"Leaver CS","2021","Unknown","60-64","170","150","43510","37850"
"Leaver CS","2021","Unknown","65+","130","100","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","16-19","150","140","20750","21050"
"Leaver CS","2022","AA/AO","20-29","5560","5340","21420","21260"
"Leaver CS","2022","AA/AO","30-39","2880","2660","21950","21260"
"Leaver CS","2022","AA/AO","40-49","1900","1720","21940","21260"
"Leaver CS","2022","AA/AO","50-59","2750","2410","22140","21260"
"Leaver CS","2022","AA/AO","60-64","1970","1560","22110","21260"
"Leaver CS","2022","AA/AO","65+","2190","1610","21480","21260"
"Leaver CS","2022","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","16-19","30","30","[c]","[c]"
"Leaver CS","2022","EO","20-29","2540","2420","26780","27570"
"Leaver CS","2022","EO","30-39","1720","1610","27740","27570"
