"Status","Year","Sexual_orientation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Female","550","500","34160","29190"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Male","520","510","42030","33650"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Female","740","670","27420","25300"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Male","460","440","26660","22230"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Female","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Male","110","110","22110","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","Female","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Male","140","140","25230","20310"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Female","270","240","30480","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Male","130","130","30610","31060"
"In post","2021","Heterosexual / straight","Barnet","Female","720","670","36600","32330"
"In post","2021","Heterosexual / straight","Barnet","Male","410","400","39790","33350"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Female","1280","1090","26380","26300"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Male","760","730","28980","27570"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","4160","3860","34650","32660"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","6140","6040","40040","38260"
"In post","2021","Heterosexual / straight","Bedford","Female","320","300","28840","27570"
"In post","2021","Heterosexual / straight","Bedford","Male","250","240","32910","30400"
"In post","2021","Heterosexual / straight","Belfast","Female","960","860","29870","26730"
"In post","2021","Heterosexual / straight","Belfast","Male","840","810","30340","25830"
"In post","2021","Heterosexual / straight","Berkshire","Female","910","850","32780","29290"
"In post","2021","Heterosexual / straight","Berkshire","Male","1050","1030","36000","33300"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Female","610","570","30650","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Male","530","520","33580","33180"
"In post","2021","Heterosexual / straight","Birmingham","Female","4240","3840","30850","27570"
"In post","2021","Heterosexual / straight","Birmingham","Male","3110","3030","32830","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Female","220","190","26990","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Male","130","120","27250","27570"
"In post","2021","Heterosexual / straight","Blackpool","Female","2100","1860","28560","27570"
"In post","2021","Heterosexual / straight","Blackpool","Male","1180","1150","30250","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Female","300","260","26900","27570"
