"Status","Year","Profession_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Heterosexual / straight","250","240","34760","34800"
"In post","2021","Commercial","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Unknown","90","90","31730","30150"
"In post","2021","Commercial","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
