"Status","Year","Region_ITL2","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","East of England","700","690","28360","27850"
"In post","2021","Bedfordshire and Hertfordshire","30-39","East of England","900","860","32570","30160"
"In post","2021","Bedfordshire and Hertfordshire","40-49","East of England","1020","950","34510","30210"
"In post","2021","Bedfordshire and Hertfordshire","50-59","East of England","1370","1280","33680","29920"
"In post","2021","Bedfordshire and Hertfordshire","60-64","East of England","410","360","31150","29050"
"In post","2021","Bedfordshire and Hertfordshire","65+","East of England","130","100","30340","29050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","South East (England)","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","South East (England)","1480","1470","27560","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","South East (England)","1840","1770","32500","30450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","South East (England)","2080","1980","34940","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","South East (England)","2940","2820","34710","31880"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","South East (England)","860","760","32750","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","South East (England)","350","290","31870","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","North West (England)","630","630","26980","27570"
"In post","2021","Cheshire","30-39","North West (England)","840","810","31230","30040"
"In post","2021","Cheshire","40-49","North West (England)","880","840","33480","31650"
"In post","2021","Cheshire","50-59","North West (England)","1190","1120","32630","28860"
"In post","2021","Cheshire","60-64","North West (England)","280","230","29460","27570"
"In post","2021","Cheshire","65+","North West (England)","70","50","28400","27570"
"In post","2021","Cornwall and Isles of Scilly","16-19","South West (England)","[c]","[c]","[c]","[c]"
