"Status","Year","Parent_department","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Bedfordshire and Hertfordshire","130","120","41700","40000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","90","90","42390","38120"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Derbyshire and Nottinghamshire","190","180","36960","30130"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Devon","80","80","39080","34480"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Anglia","80","80","35280","28430"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Wales","210","190","40840","38180"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","50","50","38910","31720"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Essex","140","130","40910","35630"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","41030","38180"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Greater Manchester","290","260","40710","38000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Hampshire and Isle of Wight","190","180","42150","39750"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Inner London - West","3000","2840","49600","51250"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Kent","80","80","37640","30110"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Lancashire","120","110","39160","38000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","110","100","40230","43420"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Merseyside","260","250","36940","30720"
"In post","2021","Attorney General's Departments","Heterosexual / straight","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","North Yorkshire","220","210","45080","50850"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Northumberland and Tyne and Wear","170","160","38510","34480"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Outer London - South","70","60","39390","32050"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Shropshire and Staffordshire","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","South Yorkshire","80","80","34710","28430"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Surrey, East and West Sussex","110","100","43130","40000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Tees Valley and Durham","70","60","37080","28430"
"In post","2021","Attorney General's Departments","Heterosexual / straight","West Midlands","340","320","38910","38000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","West Wales and The Valleys","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","West Yorkshire","310","290","41230","38180"
"In post","2021","Attorney General's Departments","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Inner London - West","260","250","50230","51250"
"In post","2021","Attorney General's Departments","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Inner London - West","240","230","52270","52040"
"In post","2021","Attorney General's Departments","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Derbyshire and Nottinghamshire","70","60","39150","34480"
"In post","2021","Attorney General's Departments","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","East Wales","60","60","43580","52410"
"In post","2021","Attorney General's Departments","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Essex","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","49070","53850"
"In post","2021","Attorney General's Departments","Unknown","Greater Manchester","50","50","41980","34480"
"In post","2021","Attorney General's Departments","Unknown","Hampshire and Isle of Wight","50","50","45570","50520"
"In post","2021","Attorney General's Departments","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Inner London - West","1010","930","52830","55490"
"In post","2021","Attorney General's Departments","Unknown","Kent","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Lancashire","50","50","42450","48080"
"In post","2021","Attorney General's Departments","Unknown","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Merseyside","80","80","40690","34480"
"In post","2021","Attorney General's Departments","Unknown","North Yorkshire","70","60","54600","55610"
"In post","2021","Attorney General's Departments","Unknown","Northumberland and Tyne and Wear","50","50","37590","28430"
