"Status","Year","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","6380","5800","43720","43920"
"In post","2021","Female","Cabinet Office","5040","4890","44370","35590"
"In post","2021","Female","Chancellor's other departments","180","170","53350","47140"
"In post","2021","Female","Charity Commission","250","230","34360","29160"
"In post","2021","Female","Competition and Markets Authority","430","410","58550","55860"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","6480","6080","39070","35120"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","960","930","48180","51730"
"In post","2021","Female","Department for Education","4640","4400","43120","38400"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","6190","5720","34880","30730"
"In post","2021","Female","Department for International Trade","1270","1250","44620","38690"
"In post","2021","Female","Department for Transport","7280","6400","30310","26470"
"In post","2021","Female","Department for Work and Pensions","60840","52460","27470","27570"
"In post","2021","Female","Department of Health and Social Care","7680","7090","43370","38220"
"In post","2021","Female","ESTYN","70","60","53760","63880"
"In post","2021","Female","Food Standards Agency","530","510","39290","37910"
"In post","2021","Female","Foreign, Commonwealth and Development Office","4220","4080","46170","40420"
"In post","2021","Female","HM Land Registry","3810","3360","30140","27130"
"In post","2021","Female","HM Revenue and Customs","35050","30910","30180","25560"
"In post","2021","Female","HM Treasury","1300","1240","46020","42100"
"In post","2021","Female","Home Office","18320","16540","31370","27370"
"In post","2021","Female","Ministry of Defence","22810","21510","32230","28650"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","1690","1600","44110","39690"
"In post","2021","Female","Ministry of Justice","43430","39830","28690","25350"
"In post","2021","Female","National Crime Agency","2450","2340","37450","36410"
"In post","2021","Female","Northern Ireland Office","90","90","42530","36800"
"In post","2021","Female","Office for Standards in Education","1190","1130","48570","51360"
"In post","2021","Female","Office of Gas and Electricity Markets","540","520","43060","37300"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","150","150","43160","39250"
"In post","2021","Female","Office of Rail and Road","140","130","49310","49580"
"In post","2021","Female","Other Cabinet Office Agencies","500","470","38200","34800"
"In post","2021","Female","Scotland Office","70","70","48330","48930"
"In post","2021","Female","Scottish Government","11560","10750","36180","30650"
"In post","2021","Female","The National Archives","290","270","35110","32290"
"In post","2021","Female","UK Export Finance","150","150","49040","43000"
"In post","2021","Female","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","3110","2730","31370","29540"
"In post","2021","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","130","120","55630","48850"
"In post","2021","Female","Welsh Government","3420","3160","39810","37410"
"In post","2021","Male","Attorney General's Departments","3460","3380","47590","50500"
"In post","2021","Male","Cabinet Office","4420","4380","49300","40600"
"In post","2021","Male","Chancellor's other departments","230","220","62910","52250"
"In post","2021","Male","Charity Commission","190","180","35510","29550"
"In post","2021","Male","Competition and Markets Authority","410","400","62650","59140"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","6680","6540","43190","40050"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","820","810","50260","51730"
"In post","2021","Male","Department for Education","3290","3260","44760","40510"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","4850","4760","37450","33120"
"In post","2021","Male","Department for International Trade","1420","1420","46910","41180"
"In post","2021","Male","Department for Transport","8700","8410","35080","30580"
"In post","2021","Male","Department for Work and Pensions","32690","31370","29220","27570"
"In post","2021","Male","Department of Health and Social Care","4070","3950","48700","41950"
"In post","2021","Male","ESTYN","50","50","[c]","[c]"
"In post","2021","Male","Food Standards Agency","780","760","35880","30810"
"In post","2021","Male","Foreign, Commonwealth and Development Office","4420","4370","48600","44880"
"In post","2021","Male","HM Land Registry","2540","2410","32510","27130"
"In post","2021","Male","HM Revenue and Customs","31430","30180","32580","29570"
"In post","2021","Male","HM Treasury","1370","1360","50120","52500"
"In post","2021","Male","Home Office","17060","16340","32630","28060"
"In post","2021","Male","Ministry of Defence","34870","34280","35290","33300"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","1710","1660","46440","44180"
"In post","2021","Male","Ministry of Justice","35470","34130","30890","29120"
"In post","2021","Male","National Crime Agency","3040","3010","42180","40170"
"In post","2021","Male","Northern Ireland Office","70","70","45720","38870"
"In post","2021","Male","Office for Standards in Education","590","590","50840","42850"
"In post","2021","Male","Office of Gas and Electricity Markets","640","640","46290","39550"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","110","100","48970","46660"
"In post","2021","Male","Office of Rail and Road","190","190","57610","58450"
"In post","2021","Male","Other Cabinet Office Agencies","500","500","42130","35760"
"In post","2021","Male","Scotland Office","40","40","[c]","[c]"
"In post","2021","Male","Scottish Government","10670","10290","37010","33650"
"In post","2021","Male","The National Archives","250","250","36130","34260"
"In post","2021","Male","UK Export Finance","250","240","56280","50530"
"In post","2021","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","United Kingdom Statistics Authority","2380","2170","33990","30130"
"In post","2021","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","120","120","56660","51630"
"In post","2021","Male","Welsh Government","2360","2300","42840","37410"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","50","50","35520","32540"
"In post","2022","Female","Attorney General's Departments","6690","6100","43670","43920"
"In post","2022","Female","Cabinet Office","5900","5730","44400","37300"
"In post","2022","Female","Chancellor's other departments","180","170","54640","48120"
"In post","2022","Female","Charity Commission","290","270","34020","29160"
"In post","2022","Female","Competition and Markets Authority","430","410","58420","55860"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","7020","6600","39640","36740"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","1100","1070","46410","46980"
"In post","2022","Female","Department for Education","5180","4910","42840","37690"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","7220","6710","34800","30730"
"In post","2022","Female","Department for International Trade","1390","1370","45340","40600"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","2120","2010","44340","39600"
"In post","2022","Female","Department for Transport","7490","6640","30790","26350"
"In post","2022","Female","Department for Work and Pensions","60410","52220","27750","27570"
"In post","2022","Female","Department of Health and Social Care","7660","7160","43650","40060"
"In post","2022","Female","Estyn","70","60","55870","66900"
"In post","2022","Female","Food Standards Agency","650","630","39100","37350"
"In post","2022","Female","Foreign, Commonwealth and Development Office","4020","3890","46770","42410"
"In post","2022","Female","HM Land Registry","4010","3560","30510","27130"
"In post","2022","Female","HM Revenue and Customs","37350","33470","32310","28180"
"In post","2022","Female","HM Treasury","1360","1300","46210","42580"
"In post","2022","Female","Home Office","18870","17210","32070","28350"
"In post","2022","Female","Ministry of Defence","23010","21710","33020","29550"
"In post","2022","Female","Ministry of Justice","49590","45700","29630","26310"
"In post","2022","Female","National Crime Agency","2490","2380","38260","36520"
"In post","2022","Female","Northern Ireland Office","100","100","45360","41750"
"In post","2022","Female","Office for Standards in Education, Children's Services and Skills","1230","1170","49600","51360"
"In post","2022","Female","Office of Gas and Electricity Markets","620","600","42170","36500"
"In post","2022","Female","Office of Qualifications and Examinations Regulation","180","170","42880","38630"
"In post","2022","Female","Office of Rail and Road","150","140","50430","50810"
"In post","2022","Female","Office of the Secretary of State for Scotland","70","70","47490","43000"
"In post","2022","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Scottish Government","13600","12740","36930","31540"
