"Status","Year","Age","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","White","30","30","[c]","[c]"
"In post","2021","16-19","London","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","London","White","80","80","25350","25170"
"In post","2021","16-19","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","North East (England)","White","50","50","21220","21010"
