"Status","Year","Region_ITL1","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","20-29","260","260","25200","25000"
"In post","2021","East Midlands (England)","Asian","30-39","410","370","26940","25560"
"In post","2021","East Midlands (England)","Asian","40-49","460","400","28030","26000"
"In post","2021","East Midlands (England)","Asian","50-59","450","410","27480","25600"
"In post","2021","East Midlands (England)","Asian","60-64","90","80","25930","21440"
"In post","2021","East Midlands (England)","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","20-29","50","50","24130","22890"
"In post","2021","East Midlands (England)","Black","30-39","110","100","25630","25560"
"In post","2021","East Midlands (England)","Black","40-49","110","110","26660","26330"
"In post","2021","East Midlands (England)","Black","50-59","190","170","29380","27570"
"In post","2021","East Midlands (England)","Black","60-64","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","20-29","60","60","25480","25560"
"In post","2021","East Midlands (England)","Mixed","30-39","110","110","29330","27570"
"In post","2021","East Midlands (England)","Mixed","40-49","80","70","33140","28430"
"In post","2021","East Midlands (England)","Mixed","50-59","70","70","33460","27570"
"In post","2021","East Midlands (England)","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","20-29","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","30-39","130","120","28400","26990"
"In post","2021","East Midlands (England)","Undeclared","40-49","250","230","32050","28130"
"In post","2021","East Midlands (England)","Undeclared","50-59","380","350","30890","27570"
"In post","2021","East Midlands (England)","Undeclared","60-64","100","80","27530","27570"
"In post","2021","East Midlands (England)","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","20-29","770","750","24540","24440"
"In post","2021","East Midlands (England)","Unknown","30-39","660","620","27110","25560"
"In post","2021","East Midlands (England)","Unknown","40-49","550","520","29880","27130"
"In post","2021","East Midlands (England)","Unknown","50-59","520","490","29920","27130"
"In post","2021","East Midlands (England)","Unknown","60-64","130","110","29090","25560"
"In post","2021","East Midlands (England)","Unknown","65+","50","40","29310","23820"
"In post","2021","East Midlands (England)","White","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","20-29","1810","1770","25660","25380"
"In post","2021","East Midlands (England)","White","30-39","2810","2630","29610","27570"
"In post","2021","East Midlands (England)","White","40-49","3510","3250","31820","27570"
"In post","2021","East Midlands (England)","White","50-59","5210","4870","31590","27570"
"In post","2021","East Midlands (England)","White","60-64","1390","1140","28680","27130"
"In post","2021","East Midlands (England)","White","65+","360","270","27930","26060"
"In post","2021","East of England","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","20-29","180","160","26320","25380"
"In post","2021","East of England","Asian","30-39","280","260","28870","27570"
"In post","2021","East of England","Asian","40-49","340","310","31470","27570"
"In post","2021","East of England","Asian","50-59","220","200","33720","28410"
"In post","2021","East of England","Asian","60-64","70","60","30060","28130"
"In post","2021","East of England","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","20-29","80","80","26780","27570"
"In post","2021","East of England","Black","30-39","120","120","29930","29290"
"In post","2021","East of England","Black","40-49","140","130","32370","29290"
"In post","2021","East of England","Black","50-59","210","200","31550","29290"
"In post","2021","East of England","Black","60-64","30","30","[c]","[c]"
"In post","2021","East of England","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","20-29","100","90","28000","27570"
"In post","2021","East of England","Mixed","30-39","100","90","29350","27570"
"In post","2021","East of England","Mixed","40-49","90","90","32570","29290"
"In post","2021","East of England","Mixed","50-59","100","90","32550","31650"
"In post","2021","East of England","Mixed","60-64","[c]","[c]","[c]","[c]"
