"Status","Year","Sex","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Attorney General's Departments","1120","1000","22310","21950"
"In post","2021","Female","AA/AO","Cabinet Office","320","280","21750","20920"
"In post","2021","Female","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Department for Business, Energy and Industrial Strategy","950","840","21690","21000"
"In post","2021","Female","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Department for Education","80","70","21930","21000"
"In post","2021","Female","AA/AO","Department for Environment, Food and Rural Affairs","1300","1140","21520","21050"
"In post","2021","Female","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Department for Transport","3340","2700","20830","21590"
"In post","2021","Female","AA/AO","Department for Work and Pensions","19820","16070","21170","21010"
"In post","2021","Female","AA/AO","Department of Health and Social Care","700","610","21360","21570"
"In post","2021","Female","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Foreign, Commonwealth and Development Office","330","310","25350","24750"
"In post","2021","Female","AA/AO","HM Land Registry","1140","1060","22470","22350"
"In post","2021","Female","AA/AO","HM Revenue and Customs","12810","10430","20860","20140"
"In post","2021","Female","AA/AO","HM Treasury","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Home Office","4840","4080","22060","21430"
"In post","2021","Female","AA/AO","Ministry of Defence","6950","6490","21510","21000"
"In post","2021","Female","AA/AO","Ministry of Housing, Communities and Local Government","140","120","22270","22560"
"In post","2021","Female","AA/AO","Ministry of Justice","20140","18040","22830","21500"
"In post","2021","Female","AA/AO","National Crime Agency","200","180","23570","24220"
"In post","2021","Female","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Office for Standards in Education","160","140","21230","21160"
"In post","2021","Female","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Scottish Government","3360","3020","22580","22230"
