"Status","Year","Function_of_post","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","16-19","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","East Anglia","50","50","[c]","[c]"
"In post","2021","Analysis","20-29","East Wales","350","350","31480","29540"
"In post","2021","Analysis","20-29","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","32530","32010"
"In post","2021","Analysis","20-29","Greater Manchester","110","110","33880","31810"
"In post","2021","Analysis","20-29","Hampshire and Isle of Wight","240","240","31730","29540"
"In post","2021","Analysis","20-29","Inner London - East","210","210","38270","36160"
"In post","2021","Analysis","20-29","Inner London - West","1260","1250","38790","35640"
"In post","2021","Analysis","20-29","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Analysis","20-29","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","West Yorkshire","50","50","34310","29850"
"In post","2021","Analysis","30-39","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Analysis","30-39","East Anglia","120","110","32610","29750"
"In post","2021","Analysis","30-39","East Wales","330","320","37160","37020"
"In post","2021","Analysis","30-39","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","39660","37320"
"In post","2021","Analysis","30-39","Greater Manchester","60","50","42710","42220"
"In post","2021","Analysis","30-39","Hampshire and Isle of Wight","230","220","39570","37320"
"In post","2021","Analysis","30-39","Inner London - East","210","210","53500","56530"
"In post","2021","Analysis","30-39","Inner London - West","690","670","54200","54380"
"In post","2021","Analysis","30-39","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Merseyside","40","30","[c]","[c]"
"In post","2021","Analysis","30-39","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","South Yorkshire","40","30","[c]","[c]"
"In post","2021","Analysis","30-39","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Analysis","40-49","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Analysis","40-49","East Anglia","90","80","36350","35900"
