"Status","Year","Region_ITL3","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Business, Energy and Industrial Strategy","70","60","44440","36740"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Transport","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Work and Pensions","200","170","29890","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Female","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scottish Government","590","540","32080","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Business, Energy and Industrial Strategy","70","60","49920","43700"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Transport","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Work and Pensions","170","170","53970","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Ministry of Defence","90","90","40200","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Scottish Government","530","510","35110","33370"
"In post","2021","Angus and Dundee City","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Department for Work and Pensions","630","550","24100","21010"
"In post","2021","Angus and Dundee City","Female","HM Revenue and Customs","150","130","23880","21440"
"In post","2021","Angus and Dundee City","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Scottish Government","370","340","31960","27150"
"In post","2021","Angus and Dundee City","Male","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Department for Work and Pensions","340","320","23380","21010"
"In post","2021","Angus and Dundee City","Male","HM Revenue and Customs","150","150","23340","20140"
"In post","2021","Angus and Dundee City","Male","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Scottish Government","210","200","31710","27150"
"In post","2021","Antrim and Newtownabbey","Female","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Ministry of Defence","60","50","26200","21670"
"In post","2021","Antrim and Newtownabbey","Male","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Ministry of Defence","130","120","22300","20310"
"In post","2021","Ards and North Down","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Male","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Department for Transport","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Male","Ministry of Defence","140","140","21910","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Department for Work and Pensions","290","250","30770","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Ministry of Justice","100","90","28130","26150"
"In post","2021","Barking & Dagenham and Havering","Male","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Department for Work and Pensions","180","170","31310","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Department for Work and Pensions","220","200","30620","31060"
"In post","2021","Barnet","Female","Department of Health and Social Care","730","680","41440","35530"
"In post","2021","Barnet","Female","Home Office","30","30","[c]","[c]"
"In post","2021","Barnet","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Ministry of Justice","70","60","28820","26810"
"In post","2021","Barnet","Male","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Department for Work and Pensions","80","80","30960","31060"
"In post","2021","Barnet","Male","Department of Health and Social Care","370","360","46100","41950"
"In post","2021","Barnet","Male","Home Office","120","120","45380","44510"
"In post","2021","Barnet","Male","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department for Work and Pensions","1030","830","25040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","HM Treasury","[c]","[c]","[c]","[c]"
