"Status","Year","Region_ITL1","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Overseas","G6/G7","Male","780","780","60220","58030"
"In post","2021","Overseas","SCS","Female","110","110","84260","75880"
"In post","2021","Overseas","SCS","Male","180","180","87050","78410"
"In post","2021","Overseas","SEO/HEO","Female","580","580","38720","36960"
"In post","2021","Overseas","SEO/HEO","Male","960","960","40640","36920"
"In post","2021","Overseas","Unknown","Female","100","100","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","160","150","[c]","[c]"
"In post","2021","Scotland","AA/AO","Female","9450","8140","21510","21010"
"In post","2021","Scotland","AA/AO","Male","7390","7100","22880","21010"
"In post","2021","Scotland","EO","Female","7360","6620","27680","27570"
"In post","2021","Scotland","EO","Male","6200","5930","28920","27570"
"In post","2021","Scotland","G6/G7","Female","2450","2310","60440","61010"
"In post","2021","Scotland","G6/G7","Male","2200","2150","61320","61010"
"In post","2021","Scotland","SCS","Female","150","140","88410","83230"
"In post","2021","Scotland","SCS","Male","180","180","87990","83230"
"In post","2021","Scotland","SEO/HEO","Female","6200","5830","37230","35110"
"In post","2021","Scotland","SEO/HEO","Male","5900","5700","38630","37480"
"In post","2021","Scotland","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Scotland","Unknown","Male","70","70","43530","44820"
"In post","2021","South East (England)","AA/AO","Female","7120","6190","22660","21430"
"In post","2021","South East (England)","AA/AO","Male","7040","6690","25500","23270"
"In post","2021","South East (England)","EO","Female","6880","6200","27730","27570"
"In post","2021","South East (England)","EO","Male","5860","5600","28530","27570"
"In post","2021","South East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","G6/G7","Female","1380","1290","56990","54540"
"In post","2021","South East (England)","G6/G7","Male","2000","1940","57360","54980"
"In post","2021","South East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","SCS","Female","100","90","89790","87940"
"In post","2021","South East (England)","SCS","Male","100","90","93490","91810"
"In post","2021","South East (England)","SEO/HEO","Female","4730","4460","35990","35000"
"In post","2021","South East (England)","SEO/HEO","Male","5050","4910","37320","36460"
"In post","2021","South East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Female","1100","990","29750","30210"
"In post","2021","South East (England)","Unknown","Male","430","410","32540","31420"
"In post","2021","South West (England)","AA/AO","Female","5070","4420","21370","21010"
"In post","2021","South West (England)","AA/AO","Male","4330","4170","23090","21010"
"In post","2021","South West (England)","EO","Female","5680","5030","26350","27130"
"In post","2021","South West (England)","EO","Male","4900","4740","26620","27080"
"In post","2021","South West (England)","G6/G7","Female","2330","2180","55270","53940"
"In post","2021","South West (England)","G6/G7","Male","3870","3760","56560","54760"
"In post","2021","South West (England)","SCS","Female","130","120","92260","87430"
"In post","2021","South West (England)","SCS","Male","220","210","98490","91830"
"In post","2021","South West (England)","SEO/HEO","Female","7020","6510","35400","34130"
"In post","2021","South West (England)","SEO/HEO","Male","9150","8940","36990","37260"
"In post","2021","South West (England)","Unknown","Female","1200","1090","32980","31420"
