"Status","Year","Age","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Debt","50","50","20140","20140"
"In post","2021","16-19","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Legal","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","No function","430","410","20610","20140"
"In post","2021","16-19","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Unknown","310","300","21260","21010"
"In post","2021","16-19","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","No function","60","50","24300","24300"
"In post","2021","16-19","EO","Project Delivery","100","100","18390","17780"
"In post","2021","16-19","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","60","60","27910","27570"
"In post","2021","16-19","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Analysis","120","120","21720","21050"
"In post","2021","20-29","AA/AO","Commercial","110","110","21280","20920"
"In post","2021","20-29","AA/AO","Communications","100","100","22470","21630"
"In post","2021","20-29","AA/AO","Counter Fraud","70","70","20430","20140"
"In post","2021","20-29","AA/AO","Debt","910","880","20350","20140"
"In post","2021","20-29","AA/AO","Digital, Data & Technology","110","110","21520","21040"
"In post","2021","20-29","AA/AO","Finance","220","200","20780","20140"
"In post","2021","20-29","AA/AO","Grants Management","170","170","20860","21050"
"In post","2021","20-29","AA/AO","Human Resources","270","270","21260","20920"
"In post","2021","20-29","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Legal","600","590","21680","21950"
"In post","2021","20-29","AA/AO","No function","15590","15190","23010","21590"
"In post","2021","20-29","AA/AO","Project Delivery","140","140","21590","21080"
"In post","2021","20-29","AA/AO","Property","330","320","21470","21050"
"In post","2021","20-29","AA/AO","Security","870","860","24620","24610"
"In post","2021","20-29","AA/AO","Unknown","6850","6620","21620","21010"
