"Status","Year","Organisation","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","East Ayrshire and North Ayrshire mainland","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","East Ayrshire and North Ayrshire mainland","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","East Ayrshire and North Ayrshire mainland","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Birmingham","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Cardiff and Vale of Glamorgan","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Glasgow City","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Manchester","60","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Nottingham","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Tyneside","60","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Westminster","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Birmingham","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Bristol, City of","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Cardiff and Vale of Glamorgan","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Glasgow City","50","50","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Leeds","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Manchester","70","70","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Nottingham","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Tyneside","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Westminster","130","120","41470","39120"
"In post","2021","Animal and Plant Health Agency","AA/AO","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Cardiff and Vale of Glamorgan","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Devon CC","110","100","21100","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","East Cumbria","100","100","21080","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Gwynedd","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","South West Wales","60","60","21150","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Staffordshire CC","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","West Surrey","180","170","24250","24370"
"In post","2021","Animal and Plant Health Agency","AA/AO","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Worcestershire","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","York","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Devon CC","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Hounslow and Richmond upon Thames","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Mid Lancashire","[c]","[c]","[c]","[c]"
