"Status","Year","Region_ITL1","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Chinese","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","East of England","Mixed","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Hertfordshire","100","90","33640","32640"
"In post","2021","East of England","Mixed","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Peterborough","30","30","[c]","[c]"
"In post","2021","East of England","Mixed","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Suffolk","70","70","28310","27570"
"In post","2021","East of England","Mixed","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Hertfordshire","30","30","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Cambridgeshire CC","180","170","35990","33300"
"In post","2021","East of England","Undeclared","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","East of England","Undeclared","Essex Haven Gateway","70","70","32360","30890"
"In post","2021","East of England","Undeclared","Essex Thames Gateway","60","50","26920","25110"
"In post","2021","East of England","Undeclared","Heart of Essex","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Hertfordshire","110","110","34950","31880"
"In post","2021","East of England","Undeclared","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","North and West Norfolk","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Norwich and East Norfolk","80","70","30610","27570"
"In post","2021","East of England","Undeclared","Peterborough","90","80","28470","27130"
"In post","2021","East of England","Undeclared","Southend-on-Sea","70","70","31910","31400"
"In post","2021","East of England","Undeclared","Suffolk","180","160","27840","27570"
"In post","2021","East of England","Undeclared","Thurrock","40","40","[c]","[c]"
"In post","2021","East of England","Undeclared","West Essex","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Bedford","110","100","28680","27570"
"In post","2021","East of England","Unknown","Breckland and South Norfolk","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Cambridgeshire CC","280","270","30360","28400"
"In post","2021","East of England","Unknown","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Essex Haven Gateway","70","70","32520","26500"
"In post","2021","East of England","Unknown","Essex Thames Gateway","70","70","25720","24180"
"In post","2021","East of England","Unknown","Heart of Essex","150","140","28630","26550"
"In post","2021","East of England","Unknown","Hertfordshire","230","220","31750","29570"
"In post","2021","East of England","Unknown","Luton","50","40","[c]","[c]"
"In post","2021","East of England","Unknown","North and West Norfolk","60","50","26910","26700"
"In post","2021","East of England","Unknown","Norwich and East Norfolk","170","160","32760","26490"
"In post","2021","East of England","Unknown","Peterborough","110","100","29670","26350"
"In post","2021","East of England","Unknown","Southend-on-Sea","220","200","31350","31810"
"In post","2021","East of England","Unknown","Suffolk","440","420","27030","25560"
