"Status","Year","Organisation","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","EO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","40","40","[c]","[c]"
