"Status","Year","Ethnicity","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Crown Prosecution Service","50","50","36170","28430"
"In post","2021","Asian","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Work and Pensions (excl. agencies)","600","520","24540","27570"
"In post","2021","Asian","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","HM Courts and Tribunals Service","200","180","20840","19830"
"In post","2021","Asian","East Midlands (England)","HM Land Registry","90","80","29120","27130"
"In post","2021","Asian","East Midlands (England)","HM Prison and Probation Service","150","140","29880","28220"
"In post","2021","Asian","East Midlands (England)","HM Revenue and Customs (excl. agencies)","400","370","28960","25560"
"In post","2021","Asian","East Midlands (England)","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
