"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Defence Equipment and Support","70","70","18750","19040"
"In post","2021","16-19","Heterosexual / straight","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","150","150","22630","21010"
"In post","2021","16-19","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","HM Prison and Probation Service","60","50","22330","22850"
"In post","2021","16-19","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","70","70","20590","20140"
"In post","2021","16-19","Heterosexual / straight","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
