"Status","Year","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","14140","13120","29950","27570"
"In post","2021","East Midlands (England)","LGBO","790","760","29410","27570"
"In post","2021","East Midlands (England)","Undeclared","2010","1840","30090","27570"
"In post","2021","East Midlands (England)","Unknown","4430","4050","28060","26580"
"In post","2021","East of England","Heterosexual / straight","15630","14560","30820","28130"
"In post","2021","East of England","LGBO","740","720","29430","27570"
"In post","2021","East of England","Undeclared","2190","2030","31120","28600"
"In post","2021","East of England","Unknown","4030","3680","30600","27850"
"In post","2021","London","Heterosexual / straight","66310","63740","43520","37560"
"In post","2021","London","LGBO","5100","5010","44850","39960"
"In post","2021","London","Undeclared","9030","8610","42910","37500"
"In post","2021","London","Unknown","21490","20640","42680","36160"
"In post","2021","North East (England)","Heterosexual / straight","19630","17730","28800","26290"
"In post","2021","North East (England)","LGBO","1000","950","28310","25580"
"In post","2021","North East (England)","Undeclared","2150","1930","28690","26120"
"In post","2021","North East (England)","Unknown","7830","6890","26470","22350"
"In post","2021","North West (England)","Heterosexual / straight","38980","36090","29980","27570"
"In post","2021","North West (England)","LGBO","2290","2210","29450","27570"
"In post","2021","North West (England)","Undeclared","4610","4210","29800","27570"
"In post","2021","North West (England)","Unknown","13460","12210","27930","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","2630","2470","28590","25560"
"In post","2021","Northern Ireland","LGBO","100","90","26250","25310"
"In post","2021","Northern Ireland","Undeclared","230","210","28130","25560"
"In post","2021","Northern Ireland","Unknown","870","810","26290","22490"
"In post","2021","Overseas","Heterosexual / straight","2500","2480","49920","50430"
"In post","2021","Overseas","LGBO","170","170","51520","53000"
"In post","2021","Overseas","Undeclared","370","370","47650","41800"
"In post","2021","Overseas","Unknown","720","710","50960","49370"
"In post","2021","Scotland","Heterosexual / straight","27770","25880","33080","27570"
"In post","2021","Scotland","LGBO","1640","1590","32330","27570"
"In post","2021","Scotland","Undeclared","4540","4140","30330","27570"
"In post","2021","Scotland","Unknown","13640","12610","30860","27570"
"In post","2021","South East (England)","Heterosexual / straight","28950","27000","31500","28550"
"In post","2021","South East (England)","LGBO","1650","1590","30180","27850"
"In post","2021","South East (England)","Undeclared","4220","3900","32130","29290"
"In post","2021","South East (England)","Unknown","6960","6370","31290","28130"
"In post","2021","South West (England)","Heterosexual / straight","31000","29240","34320","31100"
"In post","2021","South West (England)","LGBO","1500","1450","31370","27570"
"In post","2021","South West (England)","Undeclared","4500","4200","35690","33290"
"In post","2021","South West (England)","Unknown","8180","7570","33910","30930"
"In post","2021","Unknown","Heterosexual / straight","1000","950","33440","27570"
"In post","2021","Unknown","LGBO","70","60","32570","27570"
"In post","2021","Unknown","Undeclared","120","110","32440","27570"
"In post","2021","Unknown","Unknown","2550","2520","36780","32700"
"In post","2021","Wales","Heterosexual / straight","23760","22040","31700","27570"
"In post","2021","Wales","LGBO","1320","1290","30560","27570"
"In post","2021","Wales","Undeclared","4140","3680","30080","26780"
"In post","2021","Wales","Unknown","6870","6260","28420","25560"
"In post","2021","West Midlands (England)","Heterosexual / straight","20360","18970","30470","27570"
"In post","2021","West Midlands (England)","LGBO","1010","970","29650","27570"
"In post","2021","West Midlands (England)","Undeclared","2500","2290","30170","27570"
"In post","2021","West Midlands (England)","Unknown","6620","6040","29430","27130"
"In post","2021","Yorkshire and The Humber","Heterosexual / straight","24350","22490","31540","27570"
"In post","2021","Yorkshire and The Humber","LGBO","1450","1400","30890","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","3050","2790","30940","27570"
"In post","2021","Yorkshire and The Humber","Unknown","7760","7130","30340","27570"
"In post","2022","East Midlands (England)","Heterosexual / straight","15700","14620","30940","27570"
"In post","2022","East Midlands (England)","LGBO","950","920","29990","27570"
"In post","2022","East Midlands (England)","Undeclared","2000","1840","31330","27570"
"In post","2022","East Midlands (England)","Unknown","4350","3990","28820","26820"
"In post","2022","East of England","Heterosexual / straight","16050","15010","31430","28800"
"In post","2022","East of England","LGBO","820","800","30110","27570"
"In post","2022","East of England","Undeclared","2150","1990","31780","29290"
"In post","2022","East of England","Unknown","3900","3560","30890","27570"
"In post","2022","London","Heterosexual / straight","68720","66150","44110","38750"
"In post","2022","London","LGBO","5600","5510","45280","40600"
"In post","2022","London","Undeclared","9740","9320","44010","39600"
"In post","2022","London","Unknown","20770","19980","42650","36650"
"In post","2022","North East (England)","Heterosexual / straight","22110","20150","30290","27570"
"In post","2022","North East (England)","LGBO","1290","1250","29770","27570"
"In post","2022","North East (England)","Undeclared","2260","2030","30270","27130"
"In post","2022","North East (England)","Unknown","7450","6640","27890","24920"
"In post","2022","North West (England)","Heterosexual / straight","42950","39980","31010","27570"
"In post","2022","North West (England)","LGBO","2840","2750","30420","27570"
"In post","2022","North West (England)","Undeclared","4780","4380","30740","27570"
"In post","2022","North West (England)","Unknown","13740","12590","28890","26750"
"In post","2022","Northern Ireland","Heterosexual / straight","2910","2760","30280","26820"
"In post","2022","Northern Ireland","LGBO","130","120","28500","26590"
"In post","2022","Northern Ireland","Undeclared","230","220","29810","26820"
"In post","2022","Northern Ireland","Unknown","1000","940","27850","24880"
"In post","2022","Overseas","Heterosexual / straight","2490","2480","49420","47870"
"In post","2022","Overseas","LGBO","180","180","50930","52430"
"In post","2022","Overseas","Undeclared","350","350","46660","41960"
"In post","2022","Overseas","Unknown","660","660","50450","51500"
"In post","2022","Scotland","Heterosexual / straight","30840","28880","34210","28990"
"In post","2022","Scotland","LGBO","2120","2070","33010","27570"
"In post","2022","Scotland","Undeclared","2990","2750","33170","27570"
"In post","2022","Scotland","Unknown","15060","13990","31790","27570"
"In post","2022","South East (England)","Heterosexual / straight","29160","27170","32040","28920"
"In post","2022","South East (England)","LGBO","1760","1690","31140","28550"
"In post","2022","South East (England)","Undeclared","4070","3770","32900","30110"
"In post","2022","South East (England)","Unknown","7650","7030","32920","29230"
"In post","2022","South West (England)","Heterosexual / straight","32430","30580","34840","31950"
"In post","2022","South West (England)","LGBO","1760","1710","32130","28550"
"In post","2022","South West (England)","Undeclared","4560","4260","36070","33300"
"In post","2022","South West (England)","Unknown","7960","7410","34200","29230"
"In post","2022","Unknown","Heterosexual / straight","870","820","34210","30650"
"In post","2022","Unknown","LGBO","70","70","34170","30130"
"In post","2022","Unknown","Undeclared","120","110","33580","29290"
"In post","2022","Unknown","Unknown","2260","2230","36800","32700"
"In post","2022","Wales","Heterosexual / straight","25710","23940","32500","27570"
"In post","2022","Wales","LGBO","1590","1540","31220","27570"
"In post","2022","Wales","Undeclared","4050","3630","31040","26860"
"In post","2022","Wales","Unknown","6550","6000","29530","26610"
"In post","2022","West Midlands (England)","Heterosexual / straight","22730","21240","31320","27570"
"In post","2022","West Midlands (England)","LGBO","1220","1180","30540","27570"
"In post","2022","West Midlands (England)","Undeclared","2630","2410","31140","27570"
"In post","2022","West Midlands (England)","Unknown","6590","6040","30030","27130"
"In post","2022","Yorkshire and The Humber","Heterosexual / straight","26580","24650","32350","27570"
"In post","2022","Yorkshire and The Humber","LGBO","1710","1650","31920","27570"
"In post","2022","Yorkshire and The Humber","Undeclared","3330","3070","32470","28200"
"In post","2022","Yorkshire and The Humber","Unknown","7620","7040","30840","27570"
"Leaver CS","2021","East Midlands (England)","Heterosexual / straight","730","660","27900","25970"
"Leaver CS","2021","East Midlands (England)","LGBO","40","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Undeclared","120","100","27200","22260"
"Leaver CS","2021","East Midlands (England)","Unknown","710","620","25590","24000"
"Leaver CS","2021","East of England","Heterosexual / straight","810","730","30270","26410"
"Leaver CS","2021","East of England","LGBO","40","40","[c]","[c]"
"Leaver CS","2021","East of England","Undeclared","130","110","30500","26960"
"Leaver CS","2021","East of England","Unknown","830","720","29960","27570"
"Leaver CS","2021","London","Heterosexual / straight","2470","2300","42030","34330"
"Leaver CS","2021","London","LGBO","210","200","43560","36800"
"Leaver CS","2021","London","Undeclared","390","350","44370","38360"
"Leaver CS","2021","London","Unknown","2260","1930","38550","31060"
"Leaver CS","2021","North East (England)","Heterosexual / straight","600","510","26980","21010"
"Leaver CS","2021","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Undeclared","70","60","29310","24000"
"Leaver CS","2021","North East (England)","Unknown","990","790","25530","21050"
"Leaver CS","2021","North West (England)","Heterosexual / straight","1300","1130","28670","24440"
"Leaver CS","2021","North West (England)","LGBO","90","80","28690","24110"
"Leaver CS","2021","North West (England)","Undeclared","160","140","29000","26380"
"Leaver CS","2021","North West (England)","Unknown","1210","1020","26660","22350"
"Leaver CS","2021","Northern Ireland","Heterosexual / straight","70","60","27330","21430"
"Leaver CS","2021","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Unknown","130","110","[c]","[c]"
"Leaver CS","2021","Overseas","Heterosexual / straight","70","70","42050","36960"
"Leaver CS","2021","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","60","40","[c]","[c]"
"Leaver CS","2021","Scotland","Heterosexual / straight","810","710","32650","27570"
"Leaver CS","2021","Scotland","LGBO","40","40","[c]","[c]"
"Leaver CS","2021","Scotland","Undeclared","220","190","29740","26570"
"Leaver CS","2021","Scotland","Unknown","1270","1080","32660","27570"
"Leaver CS","2021","South East (England)","Heterosexual / straight","1440","1300","29640","26970"
"Leaver CS","2021","South East (England)","LGBO","100","90","27800","23850"
"Leaver CS","2021","South East (England)","Undeclared","240","210","32420","28490"
"Leaver CS","2021","South East (England)","Unknown","920","790","29560","25110"
"Leaver CS","2021","South West (England)","Heterosexual / straight","1430","1300","32740","27570"
"Leaver CS","2021","South West (England)","LGBO","90","80","24600","21250"
"Leaver CS","2021","South West (England)","Undeclared","220","190","32060","28950"
"Leaver CS","2021","South West (England)","Unknown","730","650","31790","27570"
"Leaver CS","2021","Unknown","Heterosexual / straight","50","50","40990","33300"
"Leaver CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","630","620","40430","32000"
"Leaver CS","2021","Wales","Heterosexual / straight","850","740","30170","23830"
"Leaver CS","2021","Wales","LGBO","50","40","[c]","[c]"
"Leaver CS","2021","Wales","Undeclared","150","110","29150","21590"
