"Status","Year","Function_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Declared non-disabled","130","130","71700","65470"
"In post","2021","Analysis","Chancellor's other departments","Unknown","40","30","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Declared non-disabled","110","110","58380","56360"
"In post","2021","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Declared non-disabled","210","210","44830","37890"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","80","80","38600","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Declared non-disabled","110","110","52410","50400"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Declared disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education","Declared non-disabled","300","280","45660","45250"
"In post","2021","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","60","60","39490","36980"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Declared disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Declared non-disabled","390","380","33050","29750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Unknown","150","140","37600","35900"
"In post","2021","Analysis","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Declared non-disabled","140","140","44110","38560"
"In post","2021","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","90","90","40560","31950"
"In post","2021","Analysis","Department for Transport","Declared disabled","40","30","[c]","[c]"
