"Status","Year","Sex","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","AA/AO","48790","42010","21700","21010"
"In post","2021","Female","Heterosexual / straight","EO","49710","44870","27480","27570"
"In post","2021","Female","Heterosexual / straight","G6/G7","21030","19910","58270","56350"
"In post","2021","Female","Heterosexual / straight","SCS","2350","2230","87600","80290"
"In post","2021","Female","Heterosexual / straight","SEO/HEO","45930","43340","36390","35310"
"In post","2021","Female","Heterosexual / straight","Unknown","8200","7530","30390","30210"
"In post","2021","Female","LGBO","AA/AO","2660","2530","23060","21430"
"In post","2021","Female","LGBO","EO","2410","2310","27640","27570"
"In post","2021","Female","LGBO","G6/G7","1030","1000","57900","55380"
"In post","2021","Female","LGBO","SCS","110","110","85540","77000"
"In post","2021","Female","LGBO","SEO/HEO","2400","2340","35920","34710"
"In post","2021","Female","LGBO","Unknown","430","410","29090","27540"
"In post","2021","Female","Undeclared","AA/AO","7480","6260","21710","21130"
"In post","2021","Female","Undeclared","EO","6420","5680","27720","27570"
"In post","2021","Female","Undeclared","G6/G7","2290","2180","59100","57460"
"In post","2021","Female","Undeclared","SCS","210","190","87570","81090"
"In post","2021","Female","Undeclared","SEO/HEO","5620","5270","36870","36030"
"In post","2021","Female","Undeclared","Unknown","730","670","32410","32090"
"In post","2021","Female","Unknown","AA/AO","20410","17150","21700","21010"
"In post","2021","Female","Unknown","EO","14920","13170","27640","27570"
"In post","2021","Female","Unknown","G6/G7","5840","5490","58150","55610"
"In post","2021","Female","Unknown","SCS","750","710","90960","81780"
"In post","2021","Female","Unknown","SEO/HEO","12010","11380","35680","34650"
"In post","2021","Female","Unknown","Unknown","970","880","28920","26810"
"In post","2021","Male","Heterosexual / straight","AA/AO","37370","35900","23450","21430"
"In post","2021","Male","Heterosexual / straight","EO","35550","34340","27990","27570"
"In post","2021","Male","Heterosexual / straight","G6/G7","20960","20570","59300","57460"
"In post","2021","Male","Heterosexual / straight","SCS","2560","2510","92640","83980"
"In post","2021","Male","Heterosexual / straight","SEO/HEO","41100","40190","37500","36650"
"In post","2021","Male","Heterosexual / straight","Unknown","3430","3340","35360","33480"
"In post","2021","Male","LGBO","AA/AO","2250","2170","22400","21010"
"In post","2021","Male","LGBO","EO","2570","2500","27640","27570"
"In post","2021","Male","LGBO","G6/G7","1750","1730","58930","57340"
"In post","2021","Male","LGBO","SCS","230","220","88520","80860"
"In post","2021","Male","LGBO","SEO/HEO","2760","2730","36340","35500"
"In post","2021","Male","LGBO","Unknown","220","220","30890","28200"
"In post","2021","Male","Undeclared","AA/AO","5190","4920","23500","21430"
"In post","2021","Male","Undeclared","EO","5510","5220","28230","27570"
"In post","2021","Male","Undeclared","G6/G7","3030","2950","59830","57740"
"In post","2021","Male","Undeclared","SCS","280","270","90800","83290"
"In post","2021","Male","Undeclared","SEO/HEO","6410","6210","37970","37300"
"In post","2021","Male","Undeclared","Unknown","500","490","38170","37170"
"In post","2021","Male","Unknown","AA/AO","16520","15680","23350","21140"
"In post","2021","Male","Unknown","EO","11800","11340","28130","27570"
"In post","2021","Male","Unknown","G6/G7","6490","6340","59010","56860"
"In post","2021","Male","Unknown","SCS","820","810","93810","83700"
"In post","2021","Male","Unknown","SEO/HEO","12770","12460","36640","36030"
"In post","2021","Male","Unknown","Unknown","2090","2070","36650","33570"
"In post","2021","Unknown","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
