"Status","Year","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Suffolk","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Westminster","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Heart of Essex","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Suffolk","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","70","70","32550","31460"
"In post","2021","Animal and Plant Health Agency","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Tyneside","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Cheshire East","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","East Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Mid Lancashire","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Perth and Kinross and Stirling","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","East Kent","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","West Surrey","560","530","33220","28550"
"In post","2021","Animal and Plant Health Agency","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Bristol, City of","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","South West (England)","Devon CC","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","South West (England)","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Gloucestershire","60","50","32320","30320"
"In post","2021","Animal and Plant Health Agency","South West (England)","Somerset","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Cardiff and Vale of Glamorgan","90","80","27960","21050"
"In post","2021","Animal and Plant Health Agency","Wales","Gwynedd","70","60","26690","24920"
"In post","2021","Animal and Plant Health Agency","Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","South West Wales","150","140","28110","25190"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Shropshire CC","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Staffordshire CC","60","60","25520","21050"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Worcestershire","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire CC","130","120","31480","29180"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","York","60","60","24060","21050"
"In post","2021","Attorney General's Office","London","Westminster","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Norwich and East Norfolk","90","90","46130","40250"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Camden and City of London","100","90","54190","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Croydon","50","50","43890","32000"
"In post","2021","Cabinet Office (excl. agencies)","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Tower Hamlets","870","850","51680","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Westminster","5450","5380","49380","40600"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Tyneside","400","380","28460","23850"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Blackpool","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester South West","170","170","45200","38890"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Liverpool","120","120","49230","49700"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Manchester","100","90","46350","37300"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Central Hampshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Milton Keynes","90","90","29950","33000"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Bristol, City of","70","60","43300","38420"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Wiltshire","70","60","61990","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","600","600","36250","32000"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
