"Status","Year","Organisation","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Scottish Government","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Department for Business, Energy and Industrial Strategy","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Department for Business, Energy and Industrial Strategy","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Department for Business, Energy and Industrial Strategy","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Department for Business, Energy and Industrial Strategy","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Department for Business, Energy and Industrial Strategy","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Department for Business, Energy and Industrial Strategy","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Department for Business, Energy and Industrial Strategy","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Department for Business, Energy and Industrial Strategy","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Cumbria","Department for Environment, Food and Rural Affairs","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Department for Environment, Food and Rural Affairs","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Department for Environment, Food and Rural Affairs","90","80","31270","29180"
"In post","2021","Animal and Plant Health Agency","East Wales","Department for Environment, Food and Rural Affairs","110","100","29490","25100"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","120","110","28900","25320"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Department for Environment, Food and Rural Affairs","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","Department for Environment, Food and Rural Affairs","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
