"Status","Year","Age","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","16-19","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Declared non-disabled","100","90","25500","25170"
"In post","2021","16-19","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","16-19","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Declared non-disabled","80","80","21080","21010"
"In post","2021","16-19","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Unknown","60","50","20970","20140"
"In post","2021","16-19","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Declared non-disabled","90","80","21040","21010"
"In post","2021","16-19","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Unknown","90","80","20310","20140"
"In post","2021","16-19","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Declared non-disabled","60","60","22150","21590"
"In post","2021","16-19","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","60","50","22040","21430"
"In post","2021","16-19","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Declared non-disabled","110","110","19340","19040"
"In post","2021","16-19","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","60","60","17970","16780"
"In post","2021","16-19","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Declared non-disabled","70","60","20190","20320"
"In post","2021","16-19","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Unknown","60","50","20210","20140"
"In post","2021","16-19","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Unknown","50","50","20600","20140"
"In post","2021","20-29","East Midlands (England)","Declared disabled","210","210","24750","24440"
"In post","2021","20-29","East Midlands (England)","Declared non-disabled","1820","1790","25670","25400"
"In post","2021","20-29","East Midlands (England)","Undeclared","100","100","25520","25560"
"In post","2021","20-29","East Midlands (England)","Unknown","880","860","24720","24250"
"In post","2021","20-29","East of England","Declared disabled","230","230","26030","25690"
"In post","2021","20-29","East of England","Declared non-disabled","1920","1880","26720","26480"
"In post","2021","20-29","East of England","Undeclared","90","90","27710","27570"
"In post","2021","20-29","East of England","Unknown","630","620","26050","25560"
"In post","2021","20-29","London","Declared disabled","1450","1430","35230","32790"
"In post","2021","20-29","London","Declared non-disabled","13390","13310","36320","33570"
"In post","2021","20-29","London","Undeclared","1090","1080","36470","34020"
"In post","2021","20-29","London","Unknown","7070","7040","34920","32540"
"In post","2021","20-29","North East (England)","Declared disabled","220","210","24680","21430"
"In post","2021","20-29","North East (England)","Declared non-disabled","2390","2340","25190","24120"
"In post","2021","20-29","North East (England)","Undeclared","110","110","25930","25560"
"In post","2021","20-29","North East (England)","Unknown","1200","1170","24380","22920"
"In post","2021","20-29","North West (England)","Declared disabled","510","490","25940","25040"
"In post","2021","20-29","North West (England)","Declared non-disabled","5320","5200","25570","24890"
"In post","2021","20-29","North West (England)","Undeclared","260","260","26210","25560"
"In post","2021","20-29","North West (England)","Unknown","2270","2230","25390","24880"
"In post","2021","20-29","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Declared non-disabled","200","190","23990","21430"
"In post","2021","20-29","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Unknown","200","190","22510","20140"
"In post","2021","20-29","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Declared non-disabled","220","220","36200","33860"
"In post","2021","20-29","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","70","70","39780","38600"
"In post","2021","20-29","Scotland","Declared disabled","400","400","27540","26160"
"In post","2021","20-29","Scotland","Declared non-disabled","3300","3240","26590","25560"
"In post","2021","20-29","Scotland","Undeclared","100","100","26370","24890"
"In post","2021","20-29","Scotland","Unknown","2710","2660","25580","24120"
"In post","2021","20-29","South East (England)","Declared disabled","440","430","26910","27570"
"In post","2021","20-29","South East (England)","Declared non-disabled","3670","3630","27390","27190"
"In post","2021","20-29","South East (England)","Undeclared","220","220","27470","27570"
"In post","2021","20-29","South East (England)","Unknown","1390","1360","26930","26610"
"In post","2021","20-29","South West (England)","Declared disabled","540","530","27070","26670"
"In post","2021","20-29","South West (England)","Declared non-disabled","4870","4810","27300","26670"
"In post","2021","20-29","South West (England)","Undeclared","230","220","27150","27130"
"In post","2021","20-29","South West (England)","Unknown","1410","1390","26900","25750"
"In post","2021","20-29","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Declared non-disabled","150","150","29900","27570"
"In post","2021","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","700","700","29820","29250"
"In post","2021","20-29","Wales","Declared disabled","270","270","25470","23830"
"In post","2021","20-29","Wales","Declared non-disabled","3120","3040","25610","24000"
