"Status","Year","Function_of_post","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","East Anglia","30","30","[c]","[c]"
"In post","2021","Analysis","AA/AO","East Wales","50","50","[c]","[c]"
"In post","2021","Analysis","AA/AO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Inner London - West","60","50","24360","24510"
"In post","2021","Analysis","AA/AO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Analysis","EO","East Anglia","60","50","25040","24920"
"In post","2021","Analysis","EO","East Wales","140","130","24150","23190"
"In post","2021","Analysis","EO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Hampshire and Isle of Wight","60","60","24750","23520"
"In post","2021","Analysis","EO","Inner London - East","50","50","27990","28100"
"In post","2021","Analysis","EO","Inner London - West","210","200","28980","28880"
"In post","2021","Analysis","EO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","East Anglia","70","70","51530","48080"
"In post","2021","Analysis","G6/G7","East Wales","220","210","52400","50090"
"In post","2021","Analysis","G6/G7","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","54690","56350"
"In post","2021","Analysis","G6/G7","Greater Manchester","50","50","53050","52580"
"In post","2021","Analysis","G6/G7","Hampshire and Isle of Wight","270","250","50560","49100"
"In post","2021","Analysis","G6/G7","Inner London - East","300","290","62100","59160"
"In post","2021","Analysis","G6/G7","Inner London - West","1120","1080","62150","59160"
"In post","2021","Analysis","G6/G7","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
