"Status","Year","Region_ITL3","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","No function","120","120","47970","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","No function","70","70","32830","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","No function","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Unknown","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Unknown","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Legal","110","90","31140","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","No function","350","330","29300","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Property","80","80","30600","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Unknown","560","530","37260","33620"
"In post","2021","Angus and Dundee City","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Unknown","960","870","23850","21010"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","No function","290","270","23250","21400"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","Unknown","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Legal","100","90","33520","29350"
"In post","2021","Angus and Dundee City","Scottish Government","No function","60","50","25900","22220"
"In post","2021","Angus and Dundee City","Scottish Government","Unknown","420","410","32240","27150"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
