"Status","Year","Parent_department","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","80","80","64080","63000"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","150","150","37560","40000"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6/G7","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","100","100","37050","38180"
