"Status","Year","Sex","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","Attorney General's Departments","300","270","37150","30130"
"In post","2021","Female","East Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Business, Energy and Industrial Strategy","120","110","30400","30950"
"In post","2021","Female","East Midlands (England)","Department for Education","180","160","40010","36980"
"In post","2021","Female","East Midlands (England)","Department for Environment, Food and Rural Affairs","140","130","33170","29290"
"In post","2021","Female","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Transport","230","210","32910","30730"
"In post","2021","Female","East Midlands (England)","Department for Work and Pensions","3180","2720","26620","27570"
"In post","2021","Female","East Midlands (England)","Department of Health and Social Care","150","140","40960","36330"
"In post","2021","Female","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","HM Land Registry","540","480","30770","27130"
"In post","2021","Female","East Midlands (England)","HM Revenue and Customs","2020","1820","31410","28130"
"In post","2021","Female","East Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Home Office","110","100","27560","25310"
"In post","2021","Female","East Midlands (England)","Ministry of Defence","890","840","26900","21580"
"In post","2021","Female","East Midlands (England)","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Ministry of Justice","3930","3550","26320","23240"
"In post","2021","Female","East Midlands (England)","National Crime Agency","60","50","34990","36410"
"In post","2021","Female","East Midlands (England)","Office for Standards in Education","120","110","42850","39850"
"In post","2021","Female","East Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Attorney General's Departments","330","280","37950","30110"
"In post","2021","Female","East of England","Cabinet Office","60","50","46960","38460"
"In post","2021","Female","East of England","Department for Business, Energy and Industrial Strategy","130","120","31680","30950"
"In post","2021","Female","East of England","Department for Education","40","40","[c]","[c]"
"In post","2021","Female","East of England","Department for Environment, Food and Rural Affairs","410","370","32850","29720"
"In post","2021","Female","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
