"Status","Year","Responsibility_level","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","60","50","20600","21010"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","90","90","37390","41570"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","50","40","21540","22820"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","50","50","22960","22500"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scottish Prison Service","140","130","23230","22430"
"In post","2021","AA/AO","Angus and Dundee City","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","590","540","20930","21010"
"In post","2021","AA/AO","Angus and Dundee City","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","210","200","20600","20140"
"In post","2021","AA/AO","Angus and Dundee City","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Scottish Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Social Security Scotland","150","150","22060","22230"
"In post","2021","AA/AO","Antrim and Newtownabbey","Ministry of Defence (excl. agencies)","150","150","20680","20310"
"In post","2021","AA/AO","Ards and North Down","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Ministry of Defence (excl. agencies)","150","150","20920","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","60","50","24610","25110"
"In post","2021","AA/AO","Barking & Dagenham and Havering","HM Courts and Tribunals Service","60","50","22000","22450"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","Barnet","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Barnet","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
