"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Operational Delivery","180","170","27600","25280"
"In post","2021","Animal and Plant Health Agency","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Science and Engineering","90","80","35620","33700"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Veterinarian","60","60","46910","46270"
"In post","2021","Animal and Plant Health Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Operational Delivery","180","160","26660","25330"
"In post","2021","Animal and Plant Health Agency","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Science and Engineering","80","70","29710","24370"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Veterinarian","60","50","43380","37910"
"In post","2021","Attorney General's Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Policy","[c]","[c]","[c]","[c]"
