"Status","Year","Disability","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Aberdeen City and Aberdeenshire","90","80","32860","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Angus and Dundee City","200","180","24650","21150"
"In post","2021","Declared disabled","Heterosexual / straight","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Barking & Dagenham and Havering","80","70","30460","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Barnet","90","90","35360","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Barnsley, Doncaster and Rotherham","320","280","27130","27470"
"In post","2021","Declared disabled","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","1020","980","36570","33440"
"In post","2021","Declared disabled","Heterosexual / straight","Bedford","80","80","30480","28500"
"In post","2021","Declared disabled","Heterosexual / straight","Belfast","180","160","28520","26520"
"In post","2021","Declared disabled","Heterosexual / straight","Berkshire","240","230","33430","31810"
"In post","2021","Declared disabled","Heterosexual / straight","Bexley and Greenwich","130","130","30090","30780"
"In post","2021","Declared disabled","Heterosexual / straight","Birmingham","940","860","29730","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Blackburn with Darwen","50","50","27370","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Blackpool","550","490","27600","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Bournemouth and Poole","80","80","25980","27370"
"In post","2021","Declared disabled","Heterosexual / straight","Bradford","250","210","26500","25560"
"In post","2021","Declared disabled","Heterosexual / straight","Breckland and South Norfolk","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Brent","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Bridgend and Neath Port Talbot","90","80","26880","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Brighton and Hove","50","50","29990","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Bristol, City of","480","440","32980","28130"
"In post","2021","Declared disabled","Heterosexual / straight","Bromley","50","50","31170","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Buckinghamshire CC","150","140","30660","28200"
"In post","2021","Declared disabled","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Calderdale and Kirklees","140","120","26500","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Cambridgeshire CC","270","250","33000","31650"
"In post","2021","Declared disabled","Heterosexual / straight","Camden and City of London","200","190","35370","30460"
"In post","2021","Declared disabled","Heterosexual / straight","Cardiff and Vale of Glamorgan","800","730","32190","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Central Hampshire","350","330","34690","33300"
"In post","2021","Declared disabled","Heterosexual / straight","Central Valleys","140","120","28590","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Cheshire East","60","60","30700","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Cheshire West and Chester","70","60","25340","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Chorley and West Lancashire","100","100","28470","27380"
"In post","2021","Declared disabled","Heterosexual / straight","City of Edinburgh","750","710","36810","32140"
"In post","2021","Declared disabled","Heterosexual / straight","Clackmannanshire and Fife","120","110","30200","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Conwy and Denbighshire","60","60","32770","28530"
"In post","2021","Declared disabled","Heterosexual / straight","Cornwall and Isles of Scilly","160","140","26980","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Coventry","170","150","34380","30070"
"In post","2021","Declared disabled","Heterosexual / straight","Croydon","700","650","36840","32520"
"In post","2021","Declared disabled","Heterosexual / straight","Darlington","90","80","34020","30230"
"In post","2021","Declared disabled","Heterosexual / straight","Derby","110","100","25380","21010"
"In post","2021","Declared disabled","Heterosexual / straight","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Devon CC","370","320","28100","26330"
"In post","2021","Declared disabled","Heterosexual / straight","Dorset CC","180","160","29260","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Dudley","130","110","25320","25410"
"In post","2021","Declared disabled","Heterosexual / straight","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Durham CC","440","380","26520","25310"
"In post","2021","Declared disabled","Heterosexual / straight","Ealing","70","60","32180","31060"
"In post","2021","Declared disabled","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","70","60","25090","27150"
"In post","2021","Declared disabled","Heterosexual / straight","East Cumbria","80","70","27760","26520"
"In post","2021","Declared disabled","Heterosexual / straight","East Derbyshire","70","60","26430","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","130","120","29720","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Kent","340","310","28100","27370"
"In post","2021","Declared disabled","Heterosexual / straight","East Lancashire","70","60","25410","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","East Merseyside","140","120","27350","27570"
"In post","2021","Declared disabled","Heterosexual / straight","East Riding of Yorkshire","140","130","27990","26930"
"In post","2021","Declared disabled","Heterosexual / straight","East Surrey","70","60","31680","30210"
"In post","2021","Declared disabled","Heterosexual / straight","East Sussex CC","200","170","25630","26780"
"In post","2021","Declared disabled","Heterosexual / straight","Enfield","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Essex Haven Gateway","100","90","32650","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Essex Thames Gateway","130","110","27110","29050"
"In post","2021","Declared disabled","Heterosexual / straight","Falkirk","120","110","27230","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
