"Status","Year","Region_ITL2","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","AA/AO","880","820","24300","22650"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","EO","1150","1070","28890","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","G6/G7","220","210","60690","59730"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","SEO/HEO","720","700","38570","37640"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Unknown","210","200","28900","28200"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","AA/AO","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","EO","60","50","28930","29290"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","AA/AO","110","100","23930","22430"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","EO","150","130","29490","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","G6/G7","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","SEO/HEO","110","110","38930","37920"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","AA/AO","230","210","24740","22980"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","EO","260","230","29380","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","G6/G7","70","60","59270","56560"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SEO/HEO","150","140","38820","39000"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","AA/AO","2370","2270","25200","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","EO","1690","1610","29060","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","G6/G7","520","490","60080","57260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","SCS","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","SEO/HEO","1630","1570","38280","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Unknown","370","340","29920","29880"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","AA/AO","150","150","26320","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","EO","100","100","29490","29140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","SEO/HEO","50","50","36700","35600"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
