"Status","Year","Sex","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Berkshire","100","90","41740","36240"
"In post","2021","Female","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Birmingham","330","300","38170","32290"
"In post","2021","Female","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Brighton and Hove","80","70","41200","32020"
"In post","2021","Female","Attorney General's Departments","Bristol, City of","100","90","39350","33310"
"In post","2021","Female","Attorney General's Departments","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Cardiff and Vale of Glamorgan","140","130","38430","38000"
"In post","2021","Female","Attorney General's Departments","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Croydon","50","50","40580","33610"
"In post","2021","Female","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Devon CC","50","50","38720","36240"
"In post","2021","Female","Attorney General's Departments","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","East Kent","80","70","37110","30110"
"In post","2021","Female","Attorney General's Departments","Flintshire and Wrexham","50","50","39110","34480"
"In post","2021","Female","Attorney General's Departments","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Heart of Essex","130","120","40170","34140"
"In post","2021","Female","Attorney General's Departments","Hertfordshire","120","100","38990","30110"
"In post","2021","Female","Attorney General's Departments","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Kingston upon Hull, City of","50","50","37270","28430"
"In post","2021","Female","Attorney General's Departments","Leeds","250","230","39750","37890"
"In post","2021","Female","Attorney General's Departments","Leicester","100","90","37020","33310"
"In post","2021","Female","Attorney General's Departments","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Liverpool","240","220","35850","28430"
"In post","2021","Female","Attorney General's Departments","Manchester","240","220","39720","33900"
"In post","2021","Female","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Mid Lancashire","110","100","38190","32890"
"In post","2021","Female","Attorney General's Departments","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Norwich and East Norfolk","50","40","31690","26960"
"In post","2021","Female","Attorney General's Departments","Nottingham","180","160","36680","28430"
"In post","2021","Female","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Portsmouth","70","70","36650","30110"
"In post","2021","Female","Attorney General's Departments","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Sheffield","100","80","34320","28430"
"In post","2021","Female","Attorney General's Departments","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","South Hampshire","100","90","46040","45530"
"In post","2021","Female","Attorney General's Departments","South Teesside","70","60","36990","28430"
"In post","2021","Female","Attorney General's Departments","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Stoke-on-Trent","50","40","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Swansea","50","50","39220","33310"
"In post","2021","Female","Attorney General's Departments","Tyneside","160","140","36090","28430"
"In post","2021","Female","Attorney General's Departments","Wakefield","40","40","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","West Surrey","40","40","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Westminster","2830","2600","50040","51250"
"In post","2021","Female","Attorney General's Departments","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","York","190","170","45790","51470"
"In post","2021","Female","Cabinet Office","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Female","Cabinet Office","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Camden and City of London","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Greater Manchester South West","100","100","44200","38410"
"In post","2021","Female","Cabinet Office","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Leeds","100","100","47700","40250"
"In post","2021","Female","Cabinet Office","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Liverpool","60","60","46930","49700"
"In post","2021","Female","Cabinet Office","Manchester","60","50","42720","33300"
"In post","2021","Female","Cabinet Office","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Milton Keynes","50","50","28550","26670"
"In post","2021","Female","Cabinet Office","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Norwich and East Norfolk","50","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Sheffield","60","50","46160","40160"
"In post","2021","Female","Cabinet Office","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Tower Hamlets","440","420","48900","54700"
"In post","2021","Female","Cabinet Office","Tyneside","250","230","27650","23850"
"In post","2021","Female","Cabinet Office","Unknown","330","320","36050","32000"
"In post","2021","Female","Cabinet Office","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Westminster","2930","2870","46750","38580"
"In post","2021","Female","Cabinet Office","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","York","230","220","28550","26670"
"In post","2021","Female","Chancellor's other departments","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Camden and City of London","80","70","60350","60780"
"In post","2021","Female","Chancellor's other departments","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Westminster","80","80","47740","44370"
"In post","2021","Female","Charity Commission","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Sefton","180","160","32560","29160"
"In post","2021","Female","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Westminster","50","50","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","City of Edinburgh","30","30","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Tower Hamlets","400","380","58800","56000"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","70","60","44440","36740"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Birmingham","370","350","32440","30360"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Blackpool","40","30","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Bristol, City of","60","60","34920","34390"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","720","630","29660","24730"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","City of Edinburgh","70","70","26570","21840"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Croydon","40","30","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Devon CC","680","630","37710","38200"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Glasgow City","50","50","28900","28660"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Hackney and Newham","130","120","40270","38170"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Leeds","110","100","31070","30950"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Manchester","190","180","32060","30950"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Medway","40","30","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","700","640","33570","28240"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Nottingham","110","100","29620","26560"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Suffolk","80","70","29440","26380"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Swindon","70","60","43370","37670"
