"Status","Year","Region_ITL2","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Female","710","640","23310","22080"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Male","550","540","25850","24670"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","940","850","28730","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","670","630","29440","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Female","170","160","59770","58690"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Male","160","150","61000","59730"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Female","500","470","38470","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Male","510","500","38800","37800"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Female","240","220","27880","24410"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Male","50","50","28700","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","1630","1490","23520","21900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","1960","1930","27270","26580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","1350","1250","28360","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","1060","1040","30460","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","350","320","59640","57120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","410","390","60220","57440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Female","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","1090","1030","37160","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","1190","1160","39240","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","330","300","29520","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","160","160","30540","28130"
"In post","2021","Cheshire","AA/AO","Female","700","620","22380","21010"
"In post","2021","Cheshire","AA/AO","Male","510","490","24210","22030"
"In post","2021","Cheshire","EO","Female","820","770","28970","27570"
"In post","2021","Cheshire","EO","Male","610","600","30330","28840"
"In post","2021","Cheshire","G6/G7","Female","100","100","56030","55740"
"In post","2021","Cheshire","G6/G7","Male","100","100","57940","55740"
"In post","2021","Cheshire","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Female","410","390","38230","36740"
"In post","2021","Cheshire","SEO/HEO","Male","440","430","40550","40210"
"In post","2021","Cheshire","Unknown","Female","150","140","29570","30210"
"In post","2021","Cheshire","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Female","410","340","20780","21010"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Male","310","300","20970","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Female","350","310","27370","27570"
"In post","2021","Cornwall and Isles of Scilly","EO","Male","270","260","27020","27570"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Female","100","90","34680","33300"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Male","120","110","36450","35480"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Female","560","470","21310","21050"
"In post","2021","Cumbria","AA/AO","Male","370","350","22920","21050"
"In post","2021","Cumbria","EO","Female","360","310","26150","26350"
"In post","2021","Cumbria","EO","Male","220","210","26150","25990"
"In post","2021","Cumbria","G6/G7","Female","40","40","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Male","40","40","[c]","[c]"
"In post","2021","Cumbria","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Female","180","160","34320","33040"
"In post","2021","Cumbria","SEO/HEO","Male","140","140","35560","35840"
"In post","2021","Cumbria","Unknown","Female","100","90","32510","31150"
"In post","2021","Cumbria","Unknown","Male","140","140","41820","40670"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Female","2110","1830","21370","21010"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Male","1690","1610","23010","21010"
"In post","2021","Derbyshire and Nottinghamshire","EO","Female","2070","1830","26600","27540"
"In post","2021","Derbyshire and Nottinghamshire","EO","Male","1480","1430","26950","27130"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Female","560","530","56410","53150"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Male","580","560","58010","53330"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Female","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Male","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Female","1770","1650","35360","33350"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Male","1460","1420","35670","33610"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Female","390","340","29070","28200"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Male","120","110","33000","33670"
"In post","2021","Devon","AA/AO","Female","1630","1370","21320","21010"
"In post","2021","Devon","AA/AO","Male","1460","1390","23500","21050"
"In post","2021","Devon","EO","Female","1230","1060","27020","27570"
"In post","2021","Devon","EO","Male","1120","1080","27020","27380"
"In post","2021","Devon","G6/G7","Female","310","280","53710","49810"
"In post","2021","Devon","G6/G7","Male","530","510","55660","52580"
"In post","2021","Devon","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SEO/HEO","Female","1010","920","36570","36330"
"In post","2021","Devon","SEO/HEO","Male","1400","1360","38420","38450"
"In post","2021","Devon","Unknown","Female","170","150","31150","30210"
"In post","2021","Devon","Unknown","Male","140","140","37070","37170"
"In post","2021","Dorset and Somerset","AA/AO","Female","820","730","21540","21010"
"In post","2021","Dorset and Somerset","AA/AO","Male","900","880","23240","21130"
"In post","2021","Dorset and Somerset","EO","Female","860","750","27010","27570"
"In post","2021","Dorset and Somerset","EO","Male","750","720","27750","27570"
"In post","2021","Dorset and Somerset","G6/G7","Female","80","80","58990","55310"
"In post","2021","Dorset and Somerset","G6/G7","Male","120","120","59160","55460"
