"Status","Year","Responsibility_level","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Female","290","260","22740","22160"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Male","260","250","28160","25870"
"In post","2021","AA/AO","Angus and Dundee City","Female","640","560","21160","21010"
"In post","2021","AA/AO","Angus and Dundee City","Male","470","450","21050","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Male","110","110","20640","20310"
"In post","2021","AA/AO","Ards and North Down","Female","30","30","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Male","140","140","21110","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Female","80","70","23040","22910"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Female","200","170","23990","23530"
"In post","2021","AA/AO","Barnet","Male","80","70","23320","23530"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Female","870","730","21660","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Male","640","610","25100","25300"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","440","390","22680","21130"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","320","310","23720","21130"
"In post","2021","AA/AO","Bedford","Female","160","140","24550","22160"
"In post","2021","AA/AO","Bedford","Male","140","130","27430","28740"
"In post","2021","AA/AO","Belfast","Female","510","430","20740","20140"
"In post","2021","AA/AO","Belfast","Male","500","470","20560","20140"
"In post","2021","AA/AO","Berkshire","Female","350","310","23250","22080"
"In post","2021","AA/AO","Berkshire","Male","660","650","29840","26610"
"In post","2021","AA/AO","Bexley and Greenwich","Female","420","400","26700","24890"
"In post","2021","AA/AO","Bexley and Greenwich","Male","460","450","30110","31590"
"In post","2021","AA/AO","Birmingham","Female","2120","1840","20770","20180"
"In post","2021","AA/AO","Birmingham","Male","1450","1390","21350","20140"
"In post","2021","AA/AO","Blackburn with Darwen","Female","100","80","20480","21010"
"In post","2021","AA/AO","Blackburn with Darwen","Male","60","50","22010","21010"
"In post","2021","AA/AO","Blackpool","Female","1110","950","20790","21010"
"In post","2021","AA/AO","Blackpool","Male","650","620","20930","21010"
"In post","2021","AA/AO","Bournemouth and Poole","Female","100","90","19990","20100"
"In post","2021","AA/AO","Bournemouth and Poole","Male","90","90","20670","20520"
"In post","2021","AA/AO","Bradford","Female","800","620","20460","20140"
"In post","2021","AA/AO","Bradford","Male","540","500","20520","20140"
"In post","2021","AA/AO","Breckland and South Norfolk","Female","120","110","23340","22850"
"In post","2021","AA/AO","Breckland and South Norfolk","Male","190","180","24760","24120"
"In post","2021","AA/AO","Brent","Female","120","100","23460","23500"
"In post","2021","AA/AO","Brent","Male","40","40","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Female","180","150","20470","21010"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Male","90","80","20560","21010"
"In post","2021","AA/AO","Brighton and Hove","Female","90","80","20700","20650"
"In post","2021","AA/AO","Brighton and Hove","Male","60","60","20230","20590"
"In post","2021","AA/AO","Bristol, City of","Female","770","670","21170","21010"
"In post","2021","AA/AO","Bristol, City of","Male","570","550","21980","21050"
"In post","2021","AA/AO","Bromley","Female","100","90","22380","22450"
"In post","2021","AA/AO","Bromley","Male","40","40","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Female","320","300","23970","22920"
"In post","2021","AA/AO","Buckinghamshire CC","Male","240","240","27010","27850"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Female","50","40","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Male","40","30","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Female","160","120","20490","21010"
"In post","2021","AA/AO","Calderdale and Kirklees","Male","70","70","20770","21010"
"In post","2021","AA/AO","Cambridgeshire CC","Female","510","460","23050","21570"
"In post","2021","AA/AO","Cambridgeshire CC","Male","630","600","27210","28400"
"In post","2021","AA/AO","Camden and City of London","Female","480","440","23180","22680"
"In post","2021","AA/AO","Camden and City of London","Male","380","370","24080","23500"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Female","1890","1610","21190","21010"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Male","1510","1440","21510","20500"
"In post","2021","AA/AO","Causeway Coast and Glens","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Male","60","60","20390","20310"
"In post","2021","AA/AO","Central Bedfordshire","Female","70","70","20650","20920"
"In post","2021","AA/AO","Central Bedfordshire","Male","70","70","20910","20620"
"In post","2021","AA/AO","Central Hampshire","Female","400","370","22160","20920"
"In post","2021","AA/AO","Central Hampshire","Male","410","410","24220","21010"
"In post","2021","AA/AO","Central Valleys","Female","260","220","21490","21010"
"In post","2021","AA/AO","Central Valleys","Male","100","100","21930","21010"
"In post","2021","AA/AO","Cheshire East","Female","190","170","23810","21710"
"In post","2021","AA/AO","Cheshire East","Male","100","100","23960","21550"
"In post","2021","AA/AO","Cheshire West and Chester","Female","90","80","20560","21010"
"In post","2021","AA/AO","Cheshire West and Chester","Male","70","70","20800","21010"
"In post","2021","AA/AO","Chorley and West Lancashire","Female","300","270","23860","23240"
"In post","2021","AA/AO","Chorley and West Lancashire","Male","420","400","26750","26300"
"In post","2021","AA/AO","City of Edinburgh","Female","1660","1530","22030","21490"
"In post","2021","AA/AO","City of Edinburgh","Male","1490","1450","22350","21440"
"In post","2021","AA/AO","Clackmannanshire and Fife","Female","280","250","21770","21010"
"In post","2021","AA/AO","Clackmannanshire and Fife","Male","190","180","23200","21010"
"In post","2021","AA/AO","Conwy and Denbighshire","Female","80","70","22440","23830"
