"Status","Year","Region_ITL3","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","AA/AO","250","230","25980","22220"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","EO","360","330","28770","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","G6/G7","90","90","66900","61120"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","SEO/HEO","370","360","47160","38620"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","EO","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","AA/AO","90","80","24880","22490"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","EO","60","50","29190","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","AA/AO","200","180","24790","22920"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","EO","150","140","30600","29920"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SEO/HEO","150","140","42140","39500"
"In post","2021","Angus and Dundee City","Heterosexual / straight","AA/AO","630","580","21230","21010"
"In post","2021","Angus and Dundee City","Heterosexual / straight","EO","340","310","27400","27570"
"In post","2021","Angus and Dundee City","Heterosexual / straight","G6/G7","50","50","61750","61010"
"In post","2021","Angus and Dundee City","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","SEO/HEO","180","170","37220","35000"
"In post","2021","Angus and Dundee City","LGBO","AA/AO","60","50","21050","21010"
"In post","2021","Angus and Dundee City","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","AA/AO","110","100","21200","21010"
"In post","2021","Angus and Dundee City","Undeclared","EO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","AA/AO","310","280","20870","21010"
"In post","2021","Angus and Dundee City","Unknown","EO","100","90","27290","27570"
"In post","2021","Angus and Dundee City","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","AA/AO","130","130","20750","20310"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","AA/AO","130","130","20890","20310"
"In post","2021","Ards and North Down","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
