"Status","Year","Sexual_orientation","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Aberdeen City and Aberdeenshire","550","500","34160","29190"
"In post","2021","Heterosexual / straight","Female","Angus and Dundee City","740","670","27420","25300"
"In post","2021","Heterosexual / straight","Female","Antrim and Newtownabbey","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Ards and North Down","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Barking & Dagenham and Havering","270","240","30480","31060"
"In post","2021","Heterosexual / straight","Female","Barnet","720","670","36600","32330"
"In post","2021","Heterosexual / straight","Female","Barnsley, Doncaster and Rotherham","1280","1090","26380","26300"
"In post","2021","Heterosexual / straight","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","4160","3860","34650","32660"
"In post","2021","Heterosexual / straight","Female","Bedford","320","300","28840","27570"
"In post","2021","Heterosexual / straight","Female","Belfast","960","860","29870","26730"
"In post","2021","Heterosexual / straight","Female","Berkshire","910","850","32780","29290"
"In post","2021","Heterosexual / straight","Female","Bexley and Greenwich","610","570","30650","31060"
"In post","2021","Heterosexual / straight","Female","Birmingham","4240","3840","30850","27570"
"In post","2021","Heterosexual / straight","Female","Blackburn with Darwen","220","190","26990","27570"
"In post","2021","Heterosexual / straight","Female","Blackpool","2100","1860","28560","27570"
"In post","2021","Heterosexual / straight","Female","Bournemouth and Poole","300","260","26900","27570"
"In post","2021","Heterosexual / straight","Female","Bradford","1110","950","27920","25560"
"In post","2021","Heterosexual / straight","Female","Breckland and South Norfolk","160","140","27420","26740"
"In post","2021","Heterosexual / straight","Female","Brent","240","220","30730","31060"
"In post","2021","Heterosexual / straight","Female","Bridgend and Neath Port Talbot","380","330","26730","27570"
"In post","2021","Heterosexual / straight","Female","Brighton and Hove","270","240","31150","27570"
"In post","2021","Heterosexual / straight","Female","Bristol, City of","2410","2170","35090","30850"
"In post","2021","Heterosexual / straight","Female","Bromley","230","210","29240","31060"
