"Status","Year","Age","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Operational Delivery","210","190","21460","21430"
"In post","2021","16-19","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Policy","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Science and Engineering","70","70","18230","17780"
"In post","2021","16-19","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Tax","50","50","20450","20140"
"In post","2021","16-19","Heterosexual / straight","Unknown","220","210","22470","21010"
"In post","2021","16-19","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","180","170","20850","20810"
"In post","2021","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","60","60","19020","16780"
"In post","2021","16-19","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","50","50","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","90","90","20310","20140"
"In post","2021","16-19","Unknown","Unknown","70","60","21370","20470"
"In post","2021","20-29","Heterosexual / straight","Commercial","560","560","30190","29550"
"In post","2021","20-29","Heterosexual / straight","Communications","490","490","34510","33190"
"In post","2021","20-29","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Counter Fraud","50","50","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Digital, Data and Technology","1020","1010","33630","31810"
"In post","2021","20-29","Heterosexual / straight","Economics","750","750","37790","34090"
"In post","2021","20-29","Heterosexual / straight","Finance","790","780","32940","30420"
"In post","2021","20-29","Heterosexual / straight","Human Resources","760","760","31260","29000"
"In post","2021","20-29","Heterosexual / straight","Intelligence Analysis","360","360","32250","29250"
"In post","2021","20-29","Heterosexual / straight","Internal Audit","30","30","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","International Trade","240","240","37040","33410"
"In post","2021","20-29","Heterosexual / straight","Knowledge and Information Management","210","210","28130","26880"
"In post","2021","20-29","Heterosexual / straight","Legal","770","770","34970","31810"
"In post","2021","20-29","Heterosexual / straight","Medicine","100","100","29530","27460"
"In post","2021","20-29","Heterosexual / straight","Operational Delivery","17230","16840","25540","24890"
"In post","2021","20-29","Heterosexual / straight","Operational Research","230","230","34430","33210"
"In post","2021","20-29","Heterosexual / straight","Other","1520","1500","27350","25740"
"In post","2021","20-29","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Policy","4660","4640","38320","35060"
"In post","2021","20-29","Heterosexual / straight","Project Delivery","1430","1420","32630","31810"
"In post","2021","20-29","Heterosexual / straight","Property","380","380","28560","27130"
"In post","2021","20-29","Heterosexual / straight","Psychology","280","270","27870","27380"
"In post","2021","20-29","Heterosexual / straight","Science and Engineering","1820","1810","28860","28610"
"In post","2021","20-29","Heterosexual / straight","Security","650","650","26460","25680"
"In post","2021","20-29","Heterosexual / straight","Social Research","300","290","36210","34320"
"In post","2021","20-29","Heterosexual / straight","Statistics","410","400","35690","34010"
"In post","2021","20-29","Heterosexual / straight","Tax","1560","1520","29680","25560"
"In post","2021","20-29","Heterosexual / straight","Unknown","10460","10300","28090","27570"
"In post","2021","20-29","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Commercial","50","50","30360","28350"
"In post","2021","20-29","LGBO","Communications","60","60","36030","34710"
"In post","2021","20-29","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Digital, Data and Technology","130","130","33940","31810"
"In post","2021","20-29","LGBO","Economics","90","80","39140","34570"
"In post","2021","20-29","LGBO","Finance","50","50","33160","30390"
"In post","2021","20-29","LGBO","Human Resources","90","90","33130","30410"
"In post","2021","20-29","LGBO","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","20-29","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","International Trade","30","30","[c]","[c]"
"In post","2021","20-29","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Legal","70","70","36190","33460"
"In post","2021","20-29","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Operational Delivery","1670","1640","25560","24440"
"In post","2021","20-29","LGBO","Operational Research","40","30","[c]","[c]"
"In post","2021","20-29","LGBO","Other","140","130","28500","26670"
"In post","2021","20-29","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Policy","740","730","39230","35070"
"In post","2021","20-29","LGBO","Project Delivery","150","140","33140","33000"
"In post","2021","20-29","LGBO","Property","30","30","[c]","[c]"
"In post","2021","20-29","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","LGBO","Science and Engineering","190","190","28580","27540"
"In post","2021","20-29","LGBO","Security","50","50","30100","26610"
"In post","2021","20-29","LGBO","Social Research","30","30","[c]","[c]"
"In post","2021","20-29","LGBO","Statistics","70","70","34810","32010"
"In post","2021","20-29","LGBO","Tax","200","200","27470","25560"
"In post","2021","20-29","LGBO","Unknown","1450","1430","28310","27570"
"In post","2021","20-29","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Commercial","50","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Communications","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Digital, Data and Technology","120","120","34010","31080"
"In post","2021","20-29","Undeclared","Economics","80","80","37320","34200"
"In post","2021","20-29","Undeclared","Finance","60","60","33380","30800"
"In post","2021","20-29","Undeclared","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Legal","60","60","33580","29970"
"In post","2021","20-29","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Operational Delivery","1430","1390","25860","24880"
"In post","2021","20-29","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Other","130","130","27520","25390"
"In post","2021","20-29","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Policy","550","540","38970","35050"
"In post","2021","20-29","Undeclared","Project Delivery","90","90","33960","31950"
"In post","2021","20-29","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Science and Engineering","180","180","29240","28650"
"In post","2021","20-29","Undeclared","Security","50","50","[c]","[c]"
"In post","2021","20-29","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Statistics","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Tax","120","110","32330","29570"
"In post","2021","20-29","Undeclared","Unknown","740","730","29230","27570"
"In post","2021","20-29","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","190","190","32320","30100"
"In post","2021","20-29","Unknown","Communications","250","250","33500","31670"
"In post","2021","20-29","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data and Technology","670","670","32440","31740"
"In post","2021","20-29","Unknown","Economics","270","270","35580","33570"
"In post","2021","20-29","Unknown","Finance","300","290","31380","30420"
"In post","2021","20-29","Unknown","Human Resources","180","180","29630","27270"
"In post","2021","20-29","Unknown","Intelligence Analysis","110","110","39600","36160"
"In post","2021","20-29","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","International Trade","170","170","37920","34950"
"In post","2021","20-29","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Legal","330","330","29810","26970"
"In post","2021","20-29","Unknown","Medicine","40","30","[c]","[c]"
"In post","2021","20-29","Unknown","Operational Delivery","7280","7130","24350","22850"
"In post","2021","20-29","Unknown","Operational Research","50","50","34510","34540"
"In post","2021","20-29","Unknown","Other","840","830","29140","28650"
"In post","2021","20-29","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Policy","1620","1610","38080","34710"
"In post","2021","20-29","Unknown","Project Delivery","390","390","33150","31810"
"In post","2021","20-29","Unknown","Property","180","180","28760","27880"
"In post","2021","20-29","Unknown","Psychology","50","50","26200","25830"
"In post","2021","20-29","Unknown","Science and Engineering","550","550","29090","28650"
"In post","2021","20-29","Unknown","Security","310","310","26510","25680"
"In post","2021","20-29","Unknown","Social Research","70","70","32890","30130"
"In post","2021","20-29","Unknown","Statistics","130","130","32760","31810"
"In post","2021","20-29","Unknown","Tax","1870","1830","24350","20140"
"In post","2021","20-29","Unknown","Unknown","5040","4980","29230","28000"
"In post","2021","20-29","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Heterosexual / straight","Commercial","920","880","38040","36360"
"In post","2021","30-39","Heterosexual / straight","Communications","760","730","42510","39850"
"In post","2021","30-39","Heterosexual / straight","Corporate Finance","40","40","[c]","[c]"
"In post","2021","30-39","Heterosexual / straight","Counter Fraud","120","120","35990","34390"
"In post","2021","30-39","Heterosexual / straight","Digital, Data and Technology","2030","1980","40750","38390"
"In post","2021","30-39","Heterosexual / straight","Economics","360","350","57870","57850"
"In post","2021","30-39","Heterosexual / straight","Finance","1400","1340","41410","37940"
"In post","2021","30-39","Heterosexual / straight","Human Resources","1340","1260","37260","33300"
"In post","2021","30-39","Heterosexual / straight","Inspector of Education and Training","60","60","60830","51360"
"In post","2021","30-39","Heterosexual / straight","Intelligence Analysis","670","650","34420","30980"
"In post","2021","30-39","Heterosexual / straight","Internal Audit","110","110","42250","39410"
"In post","2021","30-39","Heterosexual / straight","International Trade","250","240","50110","51970"
"In post","2021","30-39","Heterosexual / straight","Knowledge and Information Management","350","330","37530","36330"
"In post","2021","30-39","Heterosexual / straight","Legal","2050","1960","46780","50500"
"In post","2021","30-39","Heterosexual / straight","Medicine","380","350","43020","37890"
"In post","2021","30-39","Heterosexual / straight","Operational Delivery","25830","24130","28390","25830"
"In post","2021","30-39","Heterosexual / straight","Operational Research","260","250","45700","46080"
"In post","2021","30-39","Heterosexual / straight","Other","2420","2300","32270","27790"
"In post","2021","30-39","Heterosexual / straight","Planning","50","40","[c]","[c]"
"In post","2021","30-39","Heterosexual / straight","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","30-39","Heterosexual / straight","Policy","5610","5440","48930","51730"
"In post","2021","30-39","Heterosexual / straight","Project Delivery","2740","2660","40500","38630"
"In post","2021","30-39","Heterosexual / straight","Property","680","660","36480","33300"
"In post","2021","30-39","Heterosexual / straight","Psychology","440","420","35250","31180"
"In post","2021","30-39","Heterosexual / straight","Science and Engineering","1830","1760","38370","37350"
"In post","2021","30-39","Heterosexual / straight","Security","1000","980","32160","30450"
"In post","2021","30-39","Heterosexual / straight","Social Research","260","240","44350","43560"
"In post","2021","30-39","Heterosexual / straight","Statistics","430","410","45490","43040"
"In post","2021","30-39","Heterosexual / straight","Tax","2450","2370","35150","31810"
"In post","2021","30-39","Heterosexual / straight","Unknown","14090","13190","31790","27570"
"In post","2021","30-39","Heterosexual / straight","Veterinarian","80","70","39700","37480"
"In post","2021","30-39","LGBO","Commercial","50","50","[c]","[c]"
"In post","2021","30-39","LGBO","Communications","80","70","42510","39750"
"In post","2021","30-39","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Digital, Data and Technology","160","160","41660","38490"
"In post","2021","30-39","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Finance","70","70","45950","43730"
"In post","2021","30-39","LGBO","Human Resources","90","90","42020","38060"
"In post","2021","30-39","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","30-39","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Legal","130","130","46870","51250"
"In post","2021","30-39","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Operational Delivery","1840","1810","28520","26220"
"In post","2021","30-39","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Other","160","160","32830","30270"
"In post","2021","30-39","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Policy","600","590","49130","52290"
"In post","2021","30-39","LGBO","Project Delivery","180","170","43380","39200"
"In post","2021","30-39","LGBO","Property","40","40","[c]","[c]"
"In post","2021","30-39","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Science and Engineering","110","100","37440","36720"
"In post","2021","30-39","LGBO","Security","80","80","32560","31150"
"In post","2021","30-39","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","LGBO","Statistics","40","30","[c]","[c]"
"In post","2021","30-39","LGBO","Tax","190","190","35990","31810"
"In post","2021","30-39","LGBO","Unknown","1260","1230","32780","27570"
"In post","2021","30-39","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Commercial","90","80","37070","38260"
"In post","2021","30-39","Undeclared","Communications","80","80","43730","41170"
"In post","2021","30-39","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Digital, Data and Technology","250","250","41430","38630"
"In post","2021","30-39","Undeclared","Economics","40","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Finance","140","140","42450","40580"
"In post","2021","30-39","Undeclared","Human Resources","100","90","36550","32100"
"In post","2021","30-39","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Intelligence Analysis","80","80","34870","33300"
"In post","2021","30-39","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Legal","180","180","45400","48660"
"In post","2021","30-39","Undeclared","Medicine","30","30","[c]","[c]"
"In post","2021","30-39","Undeclared","Operational Delivery","2860","2670","28370","26000"
"In post","2021","30-39","Undeclared","Operational Research","30","30","[c]","[c]"
"In post","2021","30-39","Undeclared","Other","220","210","33500","28680"
"In post","2021","30-39","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Policy","670","650","48330","51730"
"In post","2021","30-39","Undeclared","Project Delivery","240","240","44460","40580"
"In post","2021","30-39","Undeclared","Property","80","70","36030","33300"
"In post","2021","30-39","Undeclared","Psychology","40","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Science and Engineering","250","250","38470","37850"
"In post","2021","30-39","Undeclared","Security","130","130","36710","39070"
"In post","2021","30-39","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Statistics","50","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Tax","210","210","34410","31810"
"In post","2021","30-39","Undeclared","Unknown","1250","1180","32520","27570"
"In post","2021","30-39","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Commercial","220","210","40530","38550"
"In post","2021","30-39","Unknown","Communications","250","250","44650","42490"
"In post","2021","30-39","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Counter Fraud","50","50","[c]","[c]"
"In post","2021","30-39","Unknown","Digital, Data and Technology","870","850","41410","38550"
"In post","2021","30-39","Unknown","Economics","120","120","53000","54760"
"In post","2021","30-39","Unknown","Finance","300","280","39800","36820"
"In post","2021","30-39","Unknown","Human Resources","220","200","36840","32530"
"In post","2021","30-39","Unknown","Intelligence Analysis","110","110","42100","37090"
"In post","2021","30-39","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","International Trade","140","140","47580","51710"
"In post","2021","30-39","Unknown","Knowledge and Information Management","60","60","35450","33360"
"In post","2021","30-39","Unknown","Legal","620","600","44280","47000"
"In post","2021","30-39","Unknown","Medicine","140","120","42120","37890"
"In post","2021","30-39","Unknown","Operational Delivery","7060","6590","26950","25300"
"In post","2021","30-39","Unknown","Operational Research","40","40","[c]","[c]"
"In post","2021","30-39","Unknown","Other","1000","970","37080","33570"
"In post","2021","30-39","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Policy","1330","1300","49520","52460"
"In post","2021","30-39","Unknown","Project Delivery","550","530","41630","38630"
"In post","2021","30-39","Unknown","Property","220","220","34290","31810"
"In post","2021","30-39","Unknown","Psychology","80","80","36510","33650"
"In post","2021","30-39","Unknown","Science and Engineering","780","750","38170","38200"
"In post","2021","30-39","Unknown","Security","330","330","32570","31580"
"In post","2021","30-39","Unknown","Social Research","60","50","41180","38010"
"In post","2021","30-39","Unknown","Statistics","100","100","40390","37450"
"In post","2021","30-39","Unknown","Tax","1520","1470","28340","25560"
"In post","2021","30-39","Unknown","Unknown","5690","5210","32430","27570"
"In post","2021","30-39","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Heterosexual / straight","Commercial","940","910","43570","40310"
"In post","2021","40-49","Heterosexual / straight","Communications","710","670","45290","40960"
"In post","2021","40-49","Heterosexual / straight","Corporate Finance","40","30","[c]","[c]"
"In post","2021","40-49","Heterosexual / straight","Counter Fraud","150","140","37350","34900"
"In post","2021","40-49","Heterosexual / straight","Digital, Data and Technology","2410","2360","45400","42000"
"In post","2021","40-49","Heterosexual / straight","Economics","160","150","64170","61250"
"In post","2021","40-49","Heterosexual / straight","Finance","1800","1720","43960","40080"
"In post","2021","40-49","Heterosexual / straight","Human Resources","1600","1500","42400","38600"
"In post","2021","40-49","Heterosexual / straight","Inspector of Education and Training","240","230","65310","69690"
"In post","2021","40-49","Heterosexual / straight","Intelligence Analysis","630","590","34910","30830"
"In post","2021","40-49","Heterosexual / straight","Internal Audit","150","150","48290","45290"
"In post","2021","40-49","Heterosexual / straight","International Trade","160","160","51760","51970"
"In post","2021","40-49","Heterosexual / straight","Knowledge and Information Management","400","380","39280","37020"
"In post","2021","40-49","Heterosexual / straight","Legal","2240","2070","50450","51390"
"In post","2021","40-49","Heterosexual / straight","Medicine","500","450","55400","44500"
"In post","2021","40-49","Heterosexual / straight","Operational Delivery","26750","24860","30650","27370"
"In post","2021","40-49","Heterosexual / straight","Operational Research","180","160","49710","46720"
"In post","2021","40-49","Heterosexual / straight","Other","3180","3050","33600","26930"
"In post","2021","40-49","Heterosexual / straight","Planning","50","40","[c]","[c]"
"In post","2021","40-49","Heterosexual / straight","Planning Inspectors","80","70","54930","58810"
"In post","2021","40-49","Heterosexual / straight","Policy","4700","4480","52960","53360"
"In post","2021","40-49","Heterosexual / straight","Project Delivery","3170","3080","45050","40580"
"In post","2021","40-49","Heterosexual / straight","Property","1090","1050","38140","33300"
"In post","2021","40-49","Heterosexual / straight","Psychology","210","200","45570","46790"
"In post","2021","40-49","Heterosexual / straight","Science and Engineering","1850","1770","43110","41430"
"In post","2021","40-49","Heterosexual / straight","Security","1180","1170","33010","32280"
"In post","2021","40-49","Heterosexual / straight","Social Research","180","160","49150","47000"
"In post","2021","40-49","Heterosexual / straight","Statistics","310","290","50330","50090"
"In post","2021","40-49","Heterosexual / straight","Tax","1930","1840","36580","31810"
"In post","2021","40-49","Heterosexual / straight","Unknown","18000","16570","32750","27570"
"In post","2021","40-49","Heterosexual / straight","Veterinarian","110","100","43770","38260"
"In post","2021","40-49","LGBO","Commercial","40","30","[c]","[c]"
"In post","2021","40-49","LGBO","Communications","40","40","[c]","[c]"
"In post","2021","40-49","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Digital, Data and Technology","110","110","45550","38830"
"In post","2021","40-49","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Finance","60","60","47340","46640"
"In post","2021","40-49","LGBO","Human Resources","80","80","47030","43110"
"In post","2021","40-49","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Legal","110","110","55230","55490"
"In post","2021","40-49","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Operational Delivery","1360","1320","32020","28470"
"In post","2021","40-49","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Other","120","120","35280","28660"
"In post","2021","40-49","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Policy","330","320","56540","54840"
"In post","2021","40-49","LGBO","Project Delivery","130","120","46100","41760"
"In post","2021","40-49","LGBO","Property","50","50","[c]","[c]"
"In post","2021","40-49","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Science and Engineering","70","70","45230","45780"
"In post","2021","40-49","LGBO","Security","50","50","34750","37170"
"In post","2021","40-49","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","LGBO","Tax","110","110","35040","31810"
"In post","2021","40-49","LGBO","Unknown","1000","970","33170","27570"
"In post","2021","40-49","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Commercial","120","120","40900","39040"
"In post","2021","40-49","Undeclared","Communications","70","70","40510","40610"
"In post","2021","40-49","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Digital, Data and Technology","360","360","42320","39250"
"In post","2021","40-49","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Finance","240","230","43150","38790"
"In post","2021","40-49","Undeclared","Human Resources","170","160","37490","33850"
"In post","2021","40-49","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Intelligence Analysis","120","110","34680","31040"
