"Status","Year","Profession_of_post","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","London","50","50","23760","24100"
"In post","2021","Commercial","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scotland","60","60","23510","24450"
"In post","2021","Commercial","AA/AO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South West (England)","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Wales","40","40","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","London","100","100","29060","29740"
"In post","2021","Commercial","EO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","North West (England)","70","60","25230","25000"
"In post","2021","Commercial","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","EO","South East (England)","80","80","26430","26670"
"In post","2021","Commercial","EO","South West (England)","220","210","24170","23520"
"In post","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Wales","70","70","26380","26740"
"In post","2021","Commercial","EO","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Commercial","EO","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","East of England","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","London","240","230","63630","62550"
"In post","2021","Commercial","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","North West (England)","90","90","56990","52580"
"In post","2021","Commercial","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Scotland","40","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","South East (England)","50","50","62880","61420"
"In post","2021","Commercial","G6/G7","South West (England)","340","330","56470","54540"
"In post","2021","Commercial","G6/G7","Wales","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","Yorkshire and The Humber","80","80","56930","53650"
"In post","2021","Commercial","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","London","50","50","87030","79150"
"In post","2021","Commercial","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","East Midlands (England)","60","60","41380","40560"
"In post","2021","Commercial","SEO/HEO","East of England","180","170","37160","35900"
"In post","2021","Commercial","SEO/HEO","London","430","420","41370","40650"
"In post","2021","Commercial","SEO/HEO","North East (England)","80","80","38020","37100"
"In post","2021","Commercial","SEO/HEO","North West (England)","330","310","35870","35570"
"In post","2021","Commercial","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Scotland","130","130","38350","38850"
"In post","2021","Commercial","SEO/HEO","South East (England)","290","280","39010","39410"
"In post","2021","Commercial","SEO/HEO","South West (England)","960","910","36220","35360"
"In post","2021","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Wales","170","160","35880","34760"
"In post","2021","Commercial","SEO/HEO","West Midlands (England)","150","150","39230","38440"
"In post","2021","Commercial","SEO/HEO","Yorkshire and The Humber","240","240","36150","36780"
"In post","2021","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South West (England)","150","150","38640","36500"
"In post","2021","Commercial","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","London","70","70","24540","24490"
"In post","2021","Communications","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","South East (England)","30","30","[c]","[c]"
"In post","2021","Communications","AA/AO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Wales","40","30","[c]","[c]"
"In post","2021","Communications","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","London","240","230","28560","27850"
"In post","2021","Communications","EO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","North West (England)","30","30","[c]","[c]"
"In post","2021","Communications","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","South East (England)","90","90","26980","26670"
"In post","2021","Communications","EO","South West (England)","60","50","26740","26670"
"In post","2021","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Wales","80","70","27280","26780"
"In post","2021","Communications","EO","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Communications","EO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","East of England","[c]","[c]","[c]","[c]"
