"Status","Year","Region_ITL3","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Male","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Female","210","200","29600","26160"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Male","210","200","35630","32140"
"In post","2021","Aberdeen City and Aberdeenshire","White","Female","660","600","33330","28720"
"In post","2021","Aberdeen City and Aberdeenshire","White","Male","650","630","39430","33650"
"In post","2021","Angus and Dundee City","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Female","190","170","25130","21400"
"In post","2021","Angus and Dundee City","Unknown","Male","140","130","23660","21010"
"In post","2021","Angus and Dundee City","White","Female","910","810","26950","23730"
"In post","2021","Angus and Dundee City","White","Male","550","530","26410","21580"
"In post","2021","Antrim and Newtownabbey","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Chinese","Male","[c]","[c]","[c]","[c]"
