"Status","Year","Organisation","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","20-29","70","70","24530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","30-39","90","90","24720","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","40-49","80","70","24990","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","50-59","80","80","25550","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","30-39","130","120","33830","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","40-49","160","150","35860","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","50-59","200","190","36680","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","60-64","50","40","37260","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","20-29","200","200","22130","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","30-39","140","130","21530","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","40-49","170","150","21590","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","50-59","220","200","21870","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","60-64","60","50","22080","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","20-29","190","190","26330","25100"
"In post","2021","Animal and Plant Health Agency","EO","30-39","150","140","26400","25320"
"In post","2021","Animal and Plant Health Agency","EO","40-49","180","160","26710","26160"
"In post","2021","Animal and Plant Health Agency","EO","50-59","180","170","26750","26520"
"In post","2021","Animal and Plant Health Agency","EO","60-64","60","50","26830","26520"
"In post","2021","Animal and Plant Health Agency","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","40-49","80","80","54090","53870"
"In post","2021","Animal and Plant Health Agency","G6/G7","50-59","90","90","56580","54730"
"In post","2021","Animal and Plant Health Agency","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","20-29","60","60","32550","32560"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","30-39","200","190","35320","36510"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","40-49","270","250","36380","36970"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","50-59","250","240","36720","35900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","60-64","80","60","37400","35900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","20-29","180","180","22270","20920"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","30-39","90","80","21260","20800"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","40-49","90","80","21410","20860"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","50-59","130","120","21770","20920"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","60-64","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","20-29","460","460","27120","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","30-39","170","160","26890","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","40-49","100","90","27200","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","50-59","120","120","27860","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","60-64","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","20-29","430","430","56050","54700"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","30-39","1100","1090","58750","56340"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","40-49","830","810","61050","57930"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","50-59","570","560","61450","58860"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","60-64","70","70","62530","59680"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","30-39","220","220","76000","72140"
"In post","2021","Cabinet Office (excl. agencies)","SCS","40-49","400","390","91300","79760"
"In post","2021","Cabinet Office (excl. agencies)","SCS","50-59","280","280","105570","95920"
"In post","2021","Cabinet Office (excl. agencies)","SCS","60-64","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","20-29","2310","2300","31770","32000"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","30-39","790","780","35740","35110"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","40-49","430","420","36650","35700"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","50-59","410","390","36570","35590"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","60-64","70","70","36030","35590"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","20-29","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","40-49","40","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","40-49","40","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","50-59","50","50","52870","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","30-39","120","120","32200","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","40-49","100","90","33350","31070"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","50-59","60","60","34100","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","60-64","[c]","[c]","[c]","[c]"
