"Status","Year","Region_ITL2","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Declared disabled","130","120","23430","22390"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Declared non-disabled","870","810","24570","22980"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Undeclared","70","70","25750","25390"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","190","190","23890","22650"
"In post","2021","Bedfordshire and Hertfordshire","EO","Declared disabled","200","190","29140","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Declared non-disabled","1170","1070","28920","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Undeclared","90","80","28830","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","150","140","29790","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Declared non-disabled","210","200","60340","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","80","70","59050","53970"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Declared disabled","100","90","38770","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Declared non-disabled","660","630","38570","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","60","60","38000","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","190","190","39020","40450"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared disabled","50","50","26500","24020"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared non-disabled","190","170","29410","28200"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Declared disabled","330","320","25160","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Declared non-disabled","2280","2170","25060","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","300","280","28140","25840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","670","650","26320","25540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Declared disabled","300","270","29190","27920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Declared non-disabled","1650","1570","28900","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","190","180","31220","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","280","270","30300","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Declared disabled","60","50","58730","56540"
