"Status","Year","Sexual_orientation","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Bedfordshire and Hertfordshire","880","820","24300","22650"
"In post","2021","Heterosexual / straight","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","2370","2270","25200","22920"
"In post","2021","Heterosexual / straight","AA/AO","Cheshire","740","680","22650","21010"
"In post","2021","Heterosexual / straight","AA/AO","Cornwall and Isles of Scilly","470","430","20830","21010"
"In post","2021","Heterosexual / straight","AA/AO","Cumbria","470","420","22170","21050"
"In post","2021","Heterosexual / straight","AA/AO","Derbyshire and Nottinghamshire","2280","2070","22110","21010"
"In post","2021","Heterosexual / straight","AA/AO","Devon","1910","1710","22220","21010"
"In post","2021","Heterosexual / straight","AA/AO","Dorset and Somerset","1200","1110","22260","21010"
"In post","2021","Heterosexual / straight","AA/AO","East Anglia","3420","3150","23250","21430"
"In post","2021","Heterosexual / straight","AA/AO","East Wales","3420","3120","21600","21010"
"In post","2021","Heterosexual / straight","AA/AO","East Yorkshire and Northern Lincolnshire","1420","1280","23820","21950"
"In post","2021","Heterosexual / straight","AA/AO","Eastern Scotland","2820","2620","21920","21010"
"In post","2021","Heterosexual / straight","AA/AO","Essex","1000","910","23850","21780"
"In post","2021","Heterosexual / straight","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","2620","2430","22080","21010"
"In post","2021","Heterosexual / straight","AA/AO","Greater Manchester","3250","2950","21290","21010"
"In post","2021","Heterosexual / straight","AA/AO","Hampshire and Isle of Wight","3140","2700","21870","20920"
"In post","2021","Heterosexual / straight","AA/AO","Herefordshire, Worcestershire and Warwickshire","1220","1140","23030","21050"
"In post","2021","Heterosexual / straight","AA/AO","Highlands and Islands","460","430","21650","21010"
"In post","2021","Heterosexual / straight","AA/AO","Inner London - East","1500","1400","25770","25110"
"In post","2021","Heterosexual / straight","AA/AO","Inner London - West","2870","2730","25540","24490"
"In post","2021","Heterosexual / straight","AA/AO","Kent","2000","1880","24960","24180"
"In post","2021","Heterosexual / straight","AA/AO","Lancashire","3720","3330","21770","21010"
"In post","2021","Heterosexual / straight","AA/AO","Leicestershire, Rutland and Northamptonshire","1850","1660","21880","21010"
"In post","2021","Heterosexual / straight","AA/AO","Lincolnshire","990","930","22160","21010"
"In post","2021","Heterosexual / straight","AA/AO","Merseyside","4520","3980","21070","21430"
"In post","2021","Heterosexual / straight","AA/AO","North Eastern Scotland","250","230","25980","22220"
"In post","2021","Heterosexual / straight","AA/AO","North Yorkshire","940","880","22200","20920"
"In post","2021","Heterosexual / straight","AA/AO","Northern Ireland","1110","1020","20850","20310"
"In post","2021","Heterosexual / straight","AA/AO","Northumberland and Tyne and Wear","4960","4220","20720","21010"
"In post","2021","Heterosexual / straight","AA/AO","Outer London - East and North East","840","790","26540","25110"
