"Status","Year","Function_of_post","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","50","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Bristol, City of","110","100","40500","39070"
"In post","2021","Analysis","Heterosexual / straight","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Camden and City of London","140","140","70310","65470"
"In post","2021","Analysis","Heterosexual / straight","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Central Hampshire","260","250","40720","37940"
"In post","2021","Analysis","Heterosexual / straight","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Dorset CC","50","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Leeds","90","90","42950","48940"
"In post","2021","Analysis","Heterosexual / straight","Leicester","[c]","[c]","[c]","[c]"
