"Status","Year","Responsibility_level","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Unknown","Department of Health and Social Care","190","170","22240","22140"
"In post","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","80","80","24550","23000"
"In post","2021","AA/AO","Unknown","HM Land Registry","1320","1270","22450","22350"
"In post","2021","AA/AO","Unknown","HM Revenue and Customs","8880","7820","20610","20140"
"In post","2021","AA/AO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Home Office","570","550","21830","21430"
"In post","2021","AA/AO","Unknown","Ministry of Defence","3020","2910","24430","21130"
"In post","2021","AA/AO","Unknown","Ministry of Housing, Communities and Local Government","50","50","21530","21270"
"In post","2021","AA/AO","Unknown","Ministry of Justice","5310","5180","23870","22850"
"In post","2021","AA/AO","Unknown","National Crime Agency","240","230","23190","22600"
"In post","2021","AA/AO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scottish Government","3390","3140","23010","22820"
"In post","2021","AA/AO","Unknown","The National Archives","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","United Kingdom Statistics Authority","640","470","19710","19130"
"In post","2021","AA/AO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Welsh Government","100","90","22440","22160"
"In post","2021","EO","Declared disabled","Attorney General's Departments","180","160","28360","28430"
"In post","2021","EO","Declared disabled","Cabinet Office","120","110","27190","27500"
"In post","2021","EO","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Department for Business, Energy and Industrial Strategy","170","160","26810","26380"
"In post","2021","EO","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Department for Education","110","100","26540","26000"
"In post","2021","EO","Declared disabled","Department for Environment, Food and Rural Affairs","230","210","26430","25640"
"In post","2021","EO","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Department for Transport","410","360","27890","26780"
"In post","2021","EO","Declared disabled","Department for Work and Pensions","8440","7490","28060","27570"
"In post","2021","EO","Declared disabled","Department of Health and Social Care","80","70","26480","26880"
"In post","2021","EO","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","EO","Declared disabled","Foreign, Commonwealth and Development Office","130","120","29730","29500"
"In post","2021","EO","Declared disabled","HM Land Registry","200","170","27440","27130"
"In post","2021","EO","Declared disabled","HM Revenue and Customs","1290","1150","26760","25560"
"In post","2021","EO","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Home Office","1190","1080","27170","26910"
"In post","2021","EO","Declared disabled","Ministry of Defence","1090","1040","26870","26670"
"In post","2021","EO","Declared disabled","Ministry of Housing, Communities and Local Government","50","50","[c]","[c]"
"In post","2021","EO","Declared disabled","Ministry of Justice","1170","1110","27600","26850"
"In post","2021","EO","Declared disabled","National Crime Agency","90","90","33570","33910"
"In post","2021","EO","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Scottish Government","460","440","30520","30080"
"In post","2021","EO","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","United Kingdom Statistics Authority","70","70","24600","23520"
"In post","2021","EO","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Welsh Government","60","60","28790","28850"
"In post","2021","EO","Declared non-disabled","Attorney General's Departments","1240","1160","28190","28430"
"In post","2021","EO","Declared non-disabled","Cabinet Office","560","550","27260","27500"
"In post","2021","EO","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Charity Commission","50","50","24440","24440"
"In post","2021","EO","Declared non-disabled","Competition and Markets Authority","70","60","28370","27920"
"In post","2021","EO","Declared non-disabled","Department for Business, Energy and Industrial Strategy","1090","1030","26740","26750"
"In post","2021","EO","Declared non-disabled","Department for Digital, Culture, Media and Sport","140","130","27470","26180"
"In post","2021","EO","Declared non-disabled","Department for Education","540","510","26860","26000"
"In post","2021","EO","Declared non-disabled","Department for Environment, Food and Rural Affairs","1580","1490","26200","25330"
"In post","2021","EO","Declared non-disabled","Department for International Trade","130","130","27650","27580"
"In post","2021","EO","Declared non-disabled","Department for Transport","2830","2650","28100","26780"
"In post","2021","EO","Declared non-disabled","Department for Work and Pensions","36440","32960","28110","27570"
"In post","2021","EO","Declared non-disabled","Department of Health and Social Care","780","730","25960","26880"
"In post","2021","EO","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Food Standards Agency","320","310","27330","26750"
"In post","2021","EO","Declared non-disabled","Foreign, Commonwealth and Development Office","660","640","29570","29300"
"In post","2021","EO","Declared non-disabled","HM Land Registry","1550","1330","27430","27130"
"In post","2021","EO","Declared non-disabled","HM Revenue and Customs","8740","8030","26490","25560"
"In post","2021","EO","Declared non-disabled","HM Treasury","170","160","26930","26750"
"In post","2021","EO","Declared non-disabled","Home Office","11640","10650","26920","25960"
"In post","2021","EO","Declared non-disabled","Ministry of Defence","7260","7020","26800","26670"
"In post","2021","EO","Declared non-disabled","Ministry of Housing, Communities and Local Government","270","250","28050","27850"
"In post","2021","EO","Declared non-disabled","Ministry of Justice","7160","6830","28040","27380"
"In post","2021","EO","Declared non-disabled","National Crime Agency","610","590","34740","34630"
"In post","2021","EO","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Office for Standards in Education","150","150","26230","25880"
"In post","2021","EO","Declared non-disabled","Office of Gas and Electricity Markets","220","220","25720","25260"
"In post","2021","EO","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Scottish Government","1770","1710","28710","29040"
"In post","2021","EO","Declared non-disabled","The National Archives","40","40","[c]","[c]"
"In post","2021","EO","Declared non-disabled","UK Export Finance","40","40","[c]","[c]"
"In post","2021","EO","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","United Kingdom Statistics Authority","340","310","24150","23520"
"In post","2021","EO","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Welsh Government","870","810","28720","28850"
"In post","2021","EO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Cabinet Office","40","30","[c]","[c]"
"In post","2021","EO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Environment, Food and Rural Affairs","90","80","26300","25520"
"In post","2021","EO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Department for Transport","330","310","28060","26780"
"In post","2021","EO","Undeclared","Department for Work and Pensions","2220","2080","28130","27570"
"In post","2021","EO","Undeclared","Department of Health and Social Care","60","50","25600","25180"
"In post","2021","EO","Undeclared","Food Standards Agency","80","80","26990","26750"
"In post","2021","EO","Undeclared","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","EO","Undeclared","HM Land Registry","100","90","27650","27130"
"In post","2021","EO","Undeclared","HM Revenue and Customs","760","690","27090","26000"
"In post","2021","EO","Undeclared","HM Treasury","30","30","[c]","[c]"
"In post","2021","EO","Undeclared","Home Office","790","710","27390","27370"
"In post","2021","EO","Undeclared","Ministry of Defence","830","800","27970","26740"
"In post","2021","EO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Ministry of Justice","1610","1520","30640","32040"
"In post","2021","EO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Scottish Government","60","50","29550","29190"
"In post","2021","EO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Attorney General's Departments","320","310","27390","26970"
"In post","2021","EO","Unknown","Cabinet Office","170","170","27210","27500"
"In post","2021","EO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Charity Commission","50","50","25010","24440"
"In post","2021","EO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Department for Business, Energy and Industrial Strategy","640","620","25800","24330"
"In post","2021","EO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Department for Education","290","280","26330","25000"
"In post","2021","EO","Unknown","Department for Environment, Food and Rural Affairs","160","150","26250","25190"
"In post","2021","EO","Unknown","Department for International Trade","90","90","26730","26510"
"In post","2021","EO","Unknown","Department for Transport","620","600","27690","26700"
"In post","2021","EO","Unknown","Department for Work and Pensions","1920","1840","28340","27570"
"In post","2021","EO","Unknown","Department of Health and Social Care","660","630","27150","27270"
"In post","2021","EO","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Foreign, Commonwealth and Development Office","140","140","28680","28530"
"In post","2021","EO","Unknown","HM Land Registry","310","300","27840","27130"
"In post","2021","EO","Unknown","HM Revenue and Customs","4860","4570","26170","25560"
"In post","2021","EO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Home Office","750","730","26630","24890"
"In post","2021","EO","Unknown","Ministry of Defence","1430","1380","26610","26670"
"In post","2021","EO","Unknown","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Ministry of Justice","490","480","26250","26410"
"In post","2021","EO","Unknown","National Crime Agency","1770","1740","33020","32770"
"In post","2021","EO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Other Cabinet Office Agencies","90","80","23420","22230"
"In post","2021","EO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Scottish Government","3210","3030","31040","30930"
"In post","2021","EO","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","United Kingdom Statistics Authority","350","340","23630","23050"
"In post","2021","EO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Welsh Government","70","60","28100","28850"
"In post","2021","G6/G7","Declared disabled","Attorney General's Departments","430","400","59530","56800"
"In post","2021","G6/G7","Declared disabled","Cabinet Office","240","230","58140","56340"
"In post","2021","G6/G7","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Department for Business, Energy and Industrial Strategy","250","240","58390","56430"
"In post","2021","G6/G7","Declared disabled","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Department for Education","200","200","56640","54170"
"In post","2021","G6/G7","Declared disabled","Department for Environment, Food and Rural Affairs","210","200","53970","53200"
"In post","2021","G6/G7","Declared disabled","Department for International Trade","90","90","56420","53260"
"In post","2021","G6/G7","Declared disabled","Department for Transport","100","90","59890","54760"
"In post","2021","G6/G7","Declared disabled","Department for Work and Pensions","340","320","56350","54070"
"In post","2021","G6/G7","Declared disabled","Department of Health and Social Care","140","130","58490","55140"
"In post","2021","G6/G7","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Foreign, Commonwealth and Development Office","250","240","59640","58030"
"In post","2021","G6/G7","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","HM Revenue and Customs","630","600","57230","53450"
"In post","2021","G6/G7","Declared disabled","HM Treasury","90","90","58470","55690"
"In post","2021","G6/G7","Declared disabled","Home Office","250","250","60650","57680"
"In post","2021","G6/G7","Declared disabled","Ministry of Defence","520","500","56910","55080"
"In post","2021","G6/G7","Declared disabled","Ministry of Housing, Communities and Local Government","110","110","56860","53130"
"In post","2021","G6/G7","Declared disabled","Ministry of Justice","250","240","62020","59970"
"In post","2021","G6/G7","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Scottish Government","210","200","61370","61010"
"In post","2021","G6/G7","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","United Kingdom Statistics Authority","70","60","53050","50790"
"In post","2021","G6/G7","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Welsh Government","50","40","[c]","[c]"
"In post","2021","G6/G7","Declared non-disabled","Attorney General's Departments","3410","3150","58510","55610"
"In post","2021","G6/G7","Declared non-disabled","Cabinet Office","1710","1680","58890","56340"
"In post","2021","G6/G7","Declared non-disabled","Chancellor's other departments","150","140","76550","69690"
"In post","2021","G6/G7","Declared non-disabled","Charity Commission","40","40","[c]","[c]"
"In post","2021","G6/G7","Declared non-disabled","Competition and Markets Authority","360","350","65530","62100"
