"Status","Year","Parent_department","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Birmingham","110","100","21760","21950"
"In post","2021","Attorney General's Departments","AA/AO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cardiff and Vale of Glamorgan","50","50","21840","21950"
"In post","2021","Attorney General's Departments","AA/AO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","East Kent","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Heart of Essex","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Hertfordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Leeds","80","70","21700","21950"
"In post","2021","Attorney General's Departments","AA/AO","Leicester","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Liverpool","90","80","21840","21950"
"In post","2021","Attorney General's Departments","AA/AO","Manchester","70","60","21940","21950"
"In post","2021","Attorney General's Departments","AA/AO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Mid Lancashire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Nottingham","70","70","21320","21950"
"In post","2021","Attorney General's Departments","AA/AO","Portsmouth","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Sheffield","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Tyneside","70","60","21800","21950"
"In post","2021","Attorney General's Departments","AA/AO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Westminster","340","310","23120","23520"
"In post","2021","Attorney General's Departments","AA/AO","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","York","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Birmingham","90","90","27130","28430"
"In post","2021","Attorney General's Departments","EO","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Bristol, City of","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","East Kent","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Heart of Essex","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Hertfordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Leeds","60","60","27340","28430"
"In post","2021","Attorney General's Departments","EO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Liverpool","80","80","27050","26900"
"In post","2021","Attorney General's Departments","EO","Manchester","80","70","27920","28430"
"In post","2021","Attorney General's Departments","EO","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Mid Lancashire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Nottingham","60","50","26810","26220"
"In post","2021","Attorney General's Departments","EO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Sheffield","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","South Hampshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Tyneside","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Westminster","710","680","28650","27760"
"In post","2021","Attorney General's Departments","EO","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","York","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Berkshire","60","50","59990","62120"
"In post","2021","Attorney General's Departments","G6/G7","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Birmingham","210","190","55630","55610"
"In post","2021","Attorney General's Departments","G6/G7","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Brighton and Hove","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Bristol, City of","70","60","55790","55610"
"In post","2021","Attorney General's Departments","G6/G7","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Cardiff and Vale of Glamorgan","100","90","55040","55610"
"In post","2021","Attorney General's Departments","G6/G7","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Devon CC","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","East Kent","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Flintshire and Wrexham","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Heart of Essex","70","60","59610","60710"
"In post","2021","Attorney General's Departments","G6/G7","Hertfordshire","80","70","59050","61510"
"In post","2021","Attorney General's Departments","G6/G7","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Kingston upon Hull, City of","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Leeds","180","160","54880","55610"
"In post","2021","Attorney General's Departments","G6/G7","Leicester","70","60","52770","51470"
"In post","2021","Attorney General's Departments","G6/G7","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Liverpool","130","130","54630","55610"
"In post","2021","Attorney General's Departments","G6/G7","Manchester","170","150","56260","55610"
"In post","2021","Attorney General's Departments","G6/G7","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Mid Lancashire","80","70","54890","55610"
"In post","2021","Attorney General's Departments","G6/G7","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Nottingham","100","90","54320","55370"
"In post","2021","Attorney General's Departments","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Portsmouth","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Sheffield","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","South Hampshire","80","70","59740","62140"
"In post","2021","Attorney General's Departments","G6/G7","South Teesside","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Stoke-on-Trent","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Swansea","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Tyneside","100","90","54930","55610"
"In post","2021","Attorney General's Departments","G6/G7","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Westminster","2510","2330","60270","61000"
"In post","2021","Attorney General's Departments","G6/G7","Wiltshire","[c]","[c]","[c]","[c]"
