"Status","Year","Region_ITL1","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","16-19","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Derby","130","120","24700","25680"
"In post","2021","East Midlands (England)","20-29","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Leicester","340","330","24170","22350"
"In post","2021","East Midlands (England)","20-29","Leicestershire CC and Rutland","270","270","24320","24620"
"In post","2021","East Midlands (England)","20-29","Lincolnshire","280","280","25570","26300"
"In post","2021","East Midlands (England)","20-29","North Northamptonshire","60","60","24370","22920"
"In post","2021","East Midlands (England)","20-29","North Nottinghamshire","170","160","25610","26300"
"In post","2021","East Midlands (England)","20-29","Nottingham","1350","1320","26170","25560"
"In post","2021","East Midlands (England)","20-29","South and West Derbyshire","120","120","25280","25790"
"In post","2021","East Midlands (England)","20-29","South Nottinghamshire","80","80","25470","25790"
"In post","2021","East Midlands (England)","20-29","West Northamptonshire","200","190","22870","22920"
"In post","2021","East Midlands (England)","30-39","Derby","200","170","25640","23840"
"In post","2021","East Midlands (England)","30-39","East Derbyshire","60","50","27190","27570"
"In post","2021","East Midlands (England)","30-39","Leicester","510","470","26880","25440"
"In post","2021","East Midlands (England)","30-39","Leicestershire CC and Rutland","500","470","28540","27370"
"In post","2021","East Midlands (England)","30-39","Lincolnshire","450","430","27710","26670"
"In post","2021","East Midlands (England)","30-39","North Northamptonshire","100","80","24530","22920"
"In post","2021","East Midlands (England)","30-39","North Nottinghamshire","210","200","29310","27570"
"In post","2021","East Midlands (England)","30-39","Nottingham","1630","1540","30710","27570"
"In post","2021","East Midlands (England)","30-39","South and West Derbyshire","220","200","29570","27570"
"In post","2021","East Midlands (England)","30-39","South Nottinghamshire","150","140","29760","27690"
"In post","2021","East Midlands (England)","30-39","West Northamptonshire","220","200","25560","24440"
"In post","2021","East Midlands (England)","40-49","Derby","260","230","27350","26780"
"In post","2021","East Midlands (England)","40-49","East Derbyshire","100","90","27260","27570"
"In post","2021","East Midlands (England)","40-49","Leicester","670","590","27790","27130"
"In post","2021","East Midlands (England)","40-49","Leicestershire CC and Rutland","460","430","31700","27650"
"In post","2021","East Midlands (England)","40-49","Lincolnshire","580","550","28950","27380"
"In post","2021","East Midlands (England)","40-49","North Northamptonshire","120","110","26230","27570"
"In post","2021","East Midlands (England)","40-49","North Nottinghamshire","210","200","30460","27570"
"In post","2021","East Midlands (England)","40-49","Nottingham","1900","1780","33920","31810"
"In post","2021","East Midlands (England)","40-49","South and West Derbyshire","260","240","34540","31650"
"In post","2021","East Midlands (England)","40-49","South Nottinghamshire","190","180","31610","28220"
"In post","2021","East Midlands (England)","40-49","West Northamptonshire","240","220","28020","26750"
"In post","2021","East Midlands (England)","50-59","Derby","320","290","27030","21590"
"In post","2021","East Midlands (England)","50-59","East Derbyshire","170","150","26720","27570"
"In post","2021","East Midlands (England)","50-59","Leicester","830","750","27540","27130"
"In post","2021","East Midlands (England)","50-59","Leicestershire CC and Rutland","580","550","30260","27380"
"In post","2021","East Midlands (England)","50-59","Lincolnshire","1080","1030","28930","27570"
"In post","2021","East Midlands (England)","50-59","North Northamptonshire","170","150","26330","27570"
"In post","2021","East Midlands (England)","50-59","North Nottinghamshire","310","290","29490","27570"
"In post","2021","East Midlands (England)","50-59","Nottingham","2400","2260","34350","31650"
"In post","2021","East Midlands (England)","50-59","South and West Derbyshire","420","380","35740","31650"
"In post","2021","East Midlands (England)","50-59","South Nottinghamshire","260","250","32030","29030"
"In post","2021","East Midlands (England)","50-59","West Northamptonshire","320","300","29000","27570"
"In post","2021","East Midlands (England)","60-64","Derby","90","70","26780","21010"
"In post","2021","East Midlands (England)","60-64","East Derbyshire","30","20","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Leicester","220","180","26130","22350"
"In post","2021","East Midlands (England)","60-64","Leicestershire CC and Rutland","170","140","27890","26470"
"In post","2021","East Midlands (England)","60-64","Lincolnshire","340","300","27520","25610"
"In post","2021","East Midlands (England)","60-64","North Northamptonshire","50","40","[c]","[c]"
