"Status","Year","Sex","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Unknown","80","70","30250","29190"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","No function","510","460","30270","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Project Delivery","50","50","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Commercial","30","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","No function","1520","1410","29570","25670"
"In post","2021","Female","Animal and Plant Health Agency","Project Delivery","50","40","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Commercial","670","650","66570","62250"
"In post","2021","Female","Cabinet Office (excl. agencies)","Communications","200","200","46520","42550"
"In post","2021","Female","Cabinet Office (excl. agencies)","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Digital, Data & Technology","420","410","49800","54700"
"In post","2021","Female","Cabinet Office (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Human Resources","740","690","39170","35590"
"In post","2021","Female","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","No function","2290","2260","39550","32000"
"In post","2021","Female","Cabinet Office (excl. agencies)","Project Delivery","90","90","63870","57840"
"In post","2021","Female","Cabinet Office (excl. agencies)","Property","50","50","47450","45150"
"In post","2021","Female","Cabinet Office (excl. agencies)","Security","460","430","32190","33000"
"In post","2021","Female","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Analysis","210","190","30970","29270"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","40","40","[c]","[c]"
"In post","2021","Female","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
