"Status","Year","Profession_of_post","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Education","100","90","41400","37100"
"In post","2021","Commercial","30-39","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Commercial","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Transport","80","70","37850","34710"
"In post","2021","Commercial","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department of Health and Social Care","50","50","46840","40650"
"In post","2021","Commercial","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Commercial","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Ministry of Defence","510","480","36830","34800"
"In post","2021","Commercial","30-39","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Ministry of Justice","200","190","40700","38280"
"In post","2021","Commercial","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Other Cabinet Office Agencies","110","110","32990","34800"
"In post","2021","Commercial","30-39","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Department for Business, Energy and Industrial Strategy","80","80","45570","47960"
"In post","2021","Commercial","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Department for Education","100","90","43390","39200"
"In post","2021","Commercial","40-49","Department for Environment, Food and Rural Affairs","50","50","39110","37240"
"In post","2021","Commercial","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Department for Transport","90","90","40890","34710"
"In post","2021","Commercial","40-49","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Department of Health and Social Care","70","60","54290","49530"
"In post","2021","Commercial","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Commercial","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Ministry of Defence","430","410","41140","39100"
"In post","2021","Commercial","40-49","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Ministry of Justice","250","240","47190","44760"
"In post","2021","Commercial","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Other Cabinet Office Agencies","90","80","36920","35290"
"In post","2021","Commercial","40-49","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Department for Business, Energy and Industrial Strategy","60","60","46670","47960"
"In post","2021","Commercial","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Department for Education","110","100","43710","40300"
"In post","2021","Commercial","50-59","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2021","Commercial","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Department for Transport","60","50","41520","41230"
"In post","2021","Commercial","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Commercial","50-59","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Foreign, Commonwealth and Development Office","60","60","49140","44770"
"In post","2021","Commercial","50-59","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Home Office","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","Ministry of Defence","530","520","42550","40540"
"In post","2021","Commercial","50-59","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Ministry of Justice","330","320","51150","49860"
"In post","2021","Commercial","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Other Cabinet Office Agencies","90","90","36480","34800"
"In post","2021","Commercial","50-59","Scottish Government","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Ministry of Defence","130","110","41950","40900"
"In post","2021","Commercial","60-64","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Ministry of Justice","60","50","51820","49870"
"In post","2021","Commercial","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Department for Business, Energy and Industrial Strategy","50","50","38230","38620"
"In post","2021","Communications","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Department for Education","90","90","32870","29360"
"In post","2021","Communications","20-29","Department for Environment, Food and Rural Affairs","50","50","34710","33120"
"In post","2021","Communications","20-29","Department for International Trade","50","50","33330","32120"
"In post","2021","Communications","20-29","Department for Transport","60","60","32630","31040"
"In post","2021","Communications","20-29","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Department of Health and Social Care","80","80","33550","32790"
"In post","2021","Communications","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Communications","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Home Office","40","40","[c]","[c]"
"In post","2021","Communications","20-29","Ministry of Defence","90","90","32070","28650"
"In post","2021","Communications","20-29","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Communications","20-29","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Communications","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Department for Business, Energy and Industrial Strategy","100","90","46610","43750"
"In post","2021","Communications","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Department for Education","70","70","40760","38830"
"In post","2021","Communications","30-39","Department for Environment, Food and Rural Affairs","80","70","43280","39670"
"In post","2021","Communications","30-39","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Communications","30-39","Department for Transport","100","100","39970","39250"
"In post","2021","Communications","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Department of Health and Social Care","90","90","46570","45000"
"In post","2021","Communications","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Foreign, Commonwealth and Development Office","50","50","47690","46290"
"In post","2021","Communications","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","HM Revenue and Customs","50","50","44670","38630"
"In post","2021","Communications","30-39","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Home Office","70","70","50120","46310"
"In post","2021","Communications","30-39","Ministry of Defence","140","130","37920","34370"
"In post","2021","Communications","30-39","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Ministry of Justice","60","60","43110","42010"
"In post","2021","Communications","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Welsh Government","50","50","39260","37410"
"In post","2021","Communications","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Department for Business, Energy and Industrial Strategy","60","50","46420","45270"
"In post","2021","Communications","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Department for Education","90","80","43820","42220"
"In post","2021","Communications","40-49","Department for Environment, Food and Rural Affairs","90","80","44380","37790"
"In post","2021","Communications","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Department for Transport","70","70","39600","38160"
"In post","2021","Communications","40-49","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Department of Health and Social Care","70","70","51240","53360"
"In post","2021","Communications","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Communications","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","HM Revenue and Customs","80","80","47830","41760"
"In post","2021","Communications","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Home Office","40","40","[c]","[c]"
"In post","2021","Communications","40-49","Ministry of Defence","150","150","35860","33300"
"In post","2021","Communications","40-49","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Ministry of Justice","50","50","[c]","[c]"
"In post","2021","Communications","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Welsh Government","60","50","41980","38360"
"In post","2021","Communications","50-59","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Communications","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Department for Education","60","60","40100","36780"
"In post","2021","Communications","50-59","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Communications","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Department for Transport","50","50","39510","33350"
"In post","2021","Communications","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Department of Health and Social Care","60","60","46160","41010"
"In post","2021","Communications","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","HM Revenue and Customs","70","70","44850","41660"
"In post","2021","Communications","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Ministry of Defence","180","180","35170","31200"
"In post","2021","Communications","50-59","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Welsh Government","30","30","[c]","[c]"
"In post","2021","Communications","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Ministry of Defence","50","50","32230","29200"
"In post","2021","Communications","60-64","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
