"Status","Year","Sexual_orientation","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","East Midlands (England)","8070","7240","29010","27130"
"In post","2021","Heterosexual / straight","Female","East of England","8520","7710","29650","27570"
"In post","2021","Heterosexual / straight","Female","London","36890","34860","42260","36360"
"In post","2021","Heterosexual / straight","Female","North East (England)","11860","10290","27940","25560"
"In post","2021","Heterosexual / straight","Female","North West (England)","23050","20690","29180","27370"
"In post","2021","Heterosexual / straight","Female","Northern Ireland","1220","1110","29200","25560"
"In post","2021","Heterosexual / straight","Female","Overseas","950","940","49570","50940"
"In post","2021","Heterosexual / straight","Female","Scotland","15510","14030","32150","27570"
"In post","2021","Heterosexual / straight","Female","South East (England)","14990","13570","30210","27570"
"In post","2021","Heterosexual / straight","Female","South West (England)","14940","13570","32110","27570"
"In post","2021","Heterosexual / straight","Female","Unknown","560","520","32640","27570"
"In post","2021","Heterosexual / straight","Female","Wales","14010","12590","30500","27570"
"In post","2021","Heterosexual / straight","Female","West Midlands (England)","11780","10630","29640","27570"
"In post","2021","Heterosexual / straight","Female","Yorkshire and The Humber","13640","12140","30760","27570"
"In post","2021","Heterosexual / straight","Male","East Midlands (England)","6070","5880","31200","27570"
"In post","2021","Heterosexual / straight","Male","East of England","7100","6850","32230","29290"
"In post","2021","Heterosexual / straight","Male","London","29410","28870","45100","39600"
"In post","2021","Heterosexual / straight","Male","North East (England)","7770","7440","30110","27570"
"In post","2021","Heterosexual / straight","Male","North West (England)","15930","15400","31120","27570"
"In post","2021","Heterosexual / straight","Male","Northern Ireland","1400","1360","28070","25040"
"In post","2021","Heterosexual / straight","Male","Overseas","1550","1550","50130","49640"
"In post","2021","Heterosexual / straight","Male","Scotland","12270","11850","34260","30160"
"In post","2021","Heterosexual / straight","Male","South East (England)","13950","13420","32890","29810"
"In post","2021","Heterosexual / straight","Male","South West (England)","16060","15670","36380","33290"
"In post","2021","Heterosexual / straight","Male","Unknown","440","430","34470","28120"
"In post","2021","Heterosexual / straight","Male","Wales","9740","9440","33430","28660"
"In post","2021","Heterosexual / straight","Male","West Midlands (England)","8570","8340","31610","27570"
"In post","2021","Heterosexual / straight","Male","Yorkshire and The Humber","10710","10350","32550","27570"
"In post","2021","Heterosexual / straight","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","East Midlands (England)","440","420","29140","27570"
"In post","2021","LGBO","Female","East of England","410","390","29020","27570"
"In post","2021","LGBO","Female","London","2130","2080","42250","36650"
"In post","2021","LGBO","Female","North East (England)","510","480","27790","25560"
"In post","2021","LGBO","Female","North West (England)","1090","1040","28910","26550"
"In post","2021","LGBO","Female","Northern Ireland","50","40","[c]","[c]"
"In post","2021","LGBO","Female","Overseas","50","50","47100","41460"
"In post","2021","LGBO","Female","Scotland","770","740","31780","27570"
"In post","2021","LGBO","Female","South East (England)","890","850","29420","27620"
"In post","2021","LGBO","Female","South West (England)","750","720","30220","27570"
"In post","2021","LGBO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Wales","620","600","29180","26210"
"In post","2021","LGBO","Female","West Midlands (England)","530","500","29160","26810"
"In post","2021","LGBO","Female","Yorkshire and The Humber","780","750","30560","27570"
"In post","2021","LGBO","Male","East Midlands (England)","350","340","29750","27570"
"In post","2021","LGBO","Male","East of England","330","320","29920","27570"
"In post","2021","LGBO","Male","London","2970","2930","46700","41950"
"In post","2021","LGBO","Male","North East (England)","490","480","28850","26810"
"In post","2021","LGBO","Male","North West (England)","1200","1170","29940","27570"
"In post","2021","LGBO","Male","Northern Ireland","50","50","25860","22330"
"In post","2021","LGBO","Male","Overseas","120","120","53650","54040"
"In post","2021","LGBO","Male","Scotland","870","850","32810","27570"
"In post","2021","LGBO","Male","South East (England)","760","740","31040","28180"
"In post","2021","LGBO","Male","South West (England)","750","730","32520","28500"
"In post","2021","LGBO","Male","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Male","Wales","700","680","31790","27570"
"In post","2021","LGBO","Male","West Midlands (England)","490","470","30200","27570"
"In post","2021","LGBO","Male","Yorkshire and The Humber","670","650","31280","27570"
"In post","2021","LGBO","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","East Midlands (England)","1120","990","28720","27130"
"In post","2021","Undeclared","Female","East of England","1100","980","29620","27570"
"In post","2021","Undeclared","Female","London","4650","4350","40830","35200"
"In post","2021","Undeclared","Female","North East (England)","1170","990","27330","24880"
"In post","2021","Undeclared","Female","North West (England)","2520","2210","28600","27130"
"In post","2021","Undeclared","Female","Northern Ireland","90","80","27940","25560"
"In post","2021","Undeclared","Female","Overseas","140","140","45590","40330"
"In post","2021","Undeclared","Female","Scotland","2640","2330","28950","26480"
"In post","2021","Undeclared","Female","South East (England)","2030","1820","30560","27570"
"In post","2021","Undeclared","Female","South West (England)","2010","1800","32950","29200"
"In post","2021","Undeclared","Female","Unknown","70","60","31870","27570"
"In post","2021","Undeclared","Female","Wales","2270","1890","28270","23830"
"In post","2021","Undeclared","Female","West Midlands (England)","1380","1220","29070","27130"
"In post","2021","Undeclared","Female","Yorkshire and The Humber","1600","1400","29640","27570"
"In post","2021","Undeclared","Male","East Midlands (England)","900","850","31800","28170"
"In post","2021","Undeclared","Male","East of England","1090","1040","32640","31000"
"In post","2021","Undeclared","Male","London","4380","4260","45120","40220"
"In post","2021","Undeclared","Male","North East (England)","990","940","30310","27570"
"In post","2021","Undeclared","Male","North West (England)","2100","2000","31240","27570"
"In post","2021","Undeclared","Male","Northern Ireland","140","140","28250","25560"
"In post","2021","Undeclared","Male","Overseas","230","230","48910","42110"
"In post","2021","Undeclared","Male","Scotland","1900","1820","32240","27570"
"In post","2021","Undeclared","Male","South East (England)","2190","2080","33590","31650"
"In post","2021","Undeclared","Male","South West (England)","2500","2400","37890","36140"
"In post","2021","Undeclared","Male","Unknown","50","50","33130","28010"
"In post","2021","Undeclared","Male","Wales","1880","1780","32270","28130"
"In post","2021","Undeclared","Male","West Midlands (England)","1120","1070","31520","27570"
"In post","2021","Undeclared","Male","Yorkshire and The Humber","1450","1390","32350","29200"
"In post","2021","Undeclared","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","East Midlands (England)","2390","2100","27480","25780"
"In post","2021","Unknown","Female","East of England","2140","1870","29810","27570"
"In post","2021","Unknown","Female","London","11590","10900","41280","34550"
"In post","2021","Unknown","Female","North East (England)","4520","3760","25210","21440"
"In post","2021","Unknown","Female","North West (England)","7470","6480","26900","25430"
"In post","2021","Unknown","Female","Northern Ireland","400","360","26260","21730"
"In post","2021","Unknown","Female","Overseas","360","360","49730","46620"
"In post","2021","Unknown","Female","Scotland","6740","6000","29820","26120"
"In post","2021","Unknown","Female","South East (England)","3400","2970","29840","27570"
"In post","2021","Unknown","Female","South West (England)","3740","3280","31640","27570"
"In post","2021","Unknown","Female","Unknown","550","520","33680","30780"
"In post","2021","Unknown","Female","Wales","3760","3280","26830","23320"
"In post","2021","Unknown","Female","West Midlands (England)","3800","3330","28310","26120"
"In post","2021","Unknown","Female","Yorkshire and The Humber","4040","3560","29890","27570"
"In post","2021","Unknown","Male","East Midlands (England)","2040","1950","28740","27130"
"In post","2021","Unknown","Male","East of England","1890","1810","31490","29290"
"In post","2021","Unknown","Male","London","9890","9720","44320","37230"
"In post","2021","Unknown","Male","North East (England)","3310","3130","28190","25560"
"In post","2021","Unknown","Male","North West (England)","5990","5730","29220","27130"
"In post","2021","Unknown","Male","Northern Ireland","470","460","26320","23870"
"In post","2021","Unknown","Male","Overseas","360","360","52180","52430"
"In post","2021","Unknown","Male","Scotland","6910","6610","31870","28870"
"In post","2021","Unknown","Male","South East (England)","3560","3400","32670","29830"
"In post","2021","Unknown","Male","South West (England)","4450","4290","35820","32730"
"In post","2021","Unknown","Male","Unknown","2000","2000","37630","33570"
"In post","2021","Unknown","Male","Wales","3100","2970","30330","26780"
"In post","2021","Unknown","Male","West Midlands (England)","2820","2710","30940","27570"
"In post","2021","Unknown","Male","Yorkshire and The Humber","3720","3570","30820","27570"
"In post","2021","Unknown","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","East Midlands (England)","9030","8150","30110","27570"
"In post","2022","Heterosexual / straight","Female","East of England","8830","8010","30410","27570"
"In post","2022","Heterosexual / straight","Female","London","38400","36340","42870","37860"
"In post","2022","Heterosexual / straight","Female","North East (England)","13240","11640","29210","26880"
"In post","2022","Heterosexual / straight","Female","North West (England)","25300","22890","30110","27570"
"In post","2022","Heterosexual / straight","Female","Northern Ireland","1370","1260","30800","26820"
"In post","2022","Heterosexual / straight","Female","Overseas","990","980","49310","49370"
"In post","2022","Heterosexual / straight","Female","Scotland","17320","15810","33380","27570"
"In post","2022","Heterosexual / straight","Female","South East (England)","15530","14050","30960","27570"
"In post","2022","Heterosexual / straight","Female","South West (England)","15690","14270","32780","28900"
"In post","2022","Heterosexual / straight","Female","Unknown","480","450","32970","30330"
"In post","2022","Heterosexual / straight","Female","Wales","15180","13720","31360","27570"
"In post","2022","Heterosexual / straight","Female","West Midlands (England)","13260","12050","30440","27570"
"In post","2022","Heterosexual / straight","Female","Yorkshire and The Humber","14970","13420","31630","27570"
"In post","2022","Heterosexual / straight","Male","East Midlands (England)","6660","6460","32060","27570"
"In post","2022","Heterosexual / straight","Male","East of England","7220","6990","32670","29670"
"In post","2022","Heterosexual / straight","Male","London","30320","29800","45680","40230"
"In post","2022","Heterosexual / straight","Male","North East (England)","8870","8510","31910","27570"
"In post","2022","Heterosexual / straight","Male","North West (England)","17650","17090","32300","27570"
"In post","2022","Heterosexual / straight","Male","Northern Ireland","1540","1500","29830","26590"
"In post","2022","Heterosexual / straight","Male","Overseas","1500","1500","49500","46990"
"In post","2022","Heterosexual / straight","Male","Scotland","13520","13070","35270","31540"
"In post","2022","Heterosexual / straight","Male","South East (England)","13630","13120","33270","30210"
"In post","2022","Heterosexual / straight","Male","South West (England)","16730","16310","36760","33300"
"In post","2022","Heterosexual / straight","Male","Unknown","380","380","35780","31060"
"In post","2022","Heterosexual / straight","Male","Wales","10530","10220","34130","29430"
"In post","2022","Heterosexual / straight","Male","West Midlands (England)","9470","9190","32540","27570"
"In post","2022","Heterosexual / straight","Male","Yorkshire and The Humber","11620","11230","33280","28590"
"In post","2022","Heterosexual / straight","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","East Midlands (England)","550","530","29820","27520"
"In post","2022","LGBO","Female","East of England","460","450","28910","27570"
"In post","2022","LGBO","Female","London","2470","2410","42890","38160"
"In post","2022","LGBO","Female","North East (England)","680","650","28840","26820"
"In post","2022","LGBO","Female","North West (England)","1380","1320","29800","27540"
"In post","2022","LGBO","Female","Northern Ireland","60","50","28240","26820"
