"Status","Year","Age","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Heterosexual / straight","500","480","20960","21010"
"In post","2021","16-19","AA/AO","LGBO","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Unknown","370","350","20550","20140"
"In post","2021","16-19","EO","Heterosexual / straight","200","200","23450","24300"
"In post","2021","16-19","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","90","90","21380","20900"
"In post","2021","16-19","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","50","50","18300","16780"
"In post","2021","20-29","AA/AO","Heterosexual / straight","15370","14940","22640","21430"
"In post","2021","20-29","AA/AO","LGBO","1720","1690","22530","21010"
"In post","2021","20-29","AA/AO","Undeclared","1200","1160","22650","21300"
"In post","2021","20-29","AA/AO","Unknown","8170","7960","22140","21010"
"In post","2021","20-29","EO","Heterosexual / straight","14160","14000","27090","27540"
"In post","2021","20-29","EO","LGBO","1480","1470","27120","27570"
"In post","2021","20-29","EO","Undeclared","1120","1110","27340","27570"
"In post","2021","20-29","EO","Unknown","4850","4790","26720","26410"
"In post","2021","20-29","G6/G7","Heterosexual / straight","2630","2630","54350","53380"
"In post","2021","20-29","G6/G7","LGBO","420","420","54660","53380"
"In post","2021","20-29","G6/G7","Undeclared","280","280","55050","53560"
"In post","2021","20-29","G6/G7","Unknown","1020","1010","54540","53420"
"In post","2021","20-29","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Heterosexual / straight","12940","12870","34560","33570"
"In post","2021","20-29","SEO/HEO","LGBO","1630","1620","34550","33610"
"In post","2021","20-29","SEO/HEO","Undeclared","1230","1220","34870","33980"
"In post","2021","20-29","SEO/HEO","Unknown","6190","6170","33330","32000"
"In post","2021","20-29","Unknown","Heterosexual / straight","1980","1950","26310","24020"
"In post","2021","20-29","Unknown","LGBO","160","160","24590","22920"
"In post","2021","20-29","Unknown","Undeclared","110","110","26350","24500"
"In post","2021","20-29","Unknown","Unknown","720","710","26640","24020"
"In post","2021","30-39","AA/AO","Heterosexual / straight","16350","14890","22860","21430"
"In post","2021","30-39","AA/AO","LGBO","1200","1160","23300","21430"
"In post","2021","30-39","AA/AO","Undeclared","1810","1650","22780","21430"
"In post","2021","30-39","AA/AO","Unknown","6470","5810","22500","21010"
"In post","2021","30-39","EO","Heterosexual / straight","17340","16370","27430","27570"
"In post","2021","30-39","EO","LGBO","1340","1310","27640","27570"
"In post","2021","30-39","EO","Undeclared","1690","1610","27720","27570"
"In post","2021","30-39","EO","Unknown","5300","5010","27510","27570"
"In post","2021","30-39","G6/G7","Heterosexual / straight","11050","10720","57080","54960"
"In post","2021","30-39","G6/G7","LGBO","990","970","57250","55460"
"In post","2021","30-39","G6/G7","Undeclared","1220","1190","57240","55080"
"In post","2021","30-39","G6/G7","Unknown","3280","3190","57040","54700"
"In post","2021","30-39","SCS","Heterosexual / straight","710","690","79620","75340"
"In post","2021","30-39","SCS","LGBO","80","80","79610","74250"
"In post","2021","30-39","SCS","Undeclared","60","60","78660","75640"
"In post","2021","30-39","SCS","Unknown","310","300","77790","73200"
"In post","2021","30-39","SEO/HEO","Heterosexual / straight","20790","20120","36270","35720"
"In post","2021","30-39","SEO/HEO","LGBO","1530","1510","36130","35580"
"In post","2021","30-39","SEO/HEO","Undeclared","2140","2080","36660","36000"
"In post","2021","30-39","SEO/HEO","Unknown","5880","5710","35950","35430"
"In post","2021","30-39","Unknown","Heterosexual / straight","2780","2580","31020","31300"
"In post","2021","30-39","Unknown","LGBO","190","190","28750","27730"
"In post","2021","30-39","Unknown","Undeclared","230","220","31830","31420"
"In post","2021","30-39","Unknown","Unknown","680","650","33900","32690"
"In post","2021","40-49","AA/AO","Heterosexual / straight","16740","15040","22600","21100"
"In post","2021","40-49","AA/AO","LGBO","780","730","22850","21010"
"In post","2021","40-49","AA/AO","Undeclared","2640","2360","22680","21400"
"In post","2021","40-49","AA/AO","Unknown","7080","6190","22470","21010"
"In post","2021","40-49","EO","Heterosexual / straight","19000","17700","27720","27570"
"In post","2021","40-49","EO","LGBO","990","960","27760","27570"
"In post","2021","40-49","EO","Undeclared","2640","2470","27820","27570"
"In post","2021","40-49","EO","Unknown","5760","5250","27980","27570"
"In post","2021","40-49","G6/G7","Heterosexual / straight","13100","12580","59000","57460"
"In post","2021","40-49","G6/G7","LGBO","760","750","60030","58810"
"In post","2021","40-49","G6/G7","Undeclared","1550","1500","59420","57620"
"In post","2021","40-49","G6/G7","Unknown","3730","3570","59010","57170"
"In post","2021","40-49","SCS","Heterosexual / straight","1980","1920","87670","80540"
"In post","2021","40-49","SCS","LGBO","160","150","87430","80090"
"In post","2021","40-49","SCS","Undeclared","160","150","85000","80140"
"In post","2021","40-49","SCS","Unknown","600","580","90860","81760"
"In post","2021","40-49","SEO/HEO","Heterosexual / straight","21400","20560","37410","36800"
"In post","2021","40-49","SEO/HEO","LGBO","1010","990","37160","36480"
"In post","2021","40-49","SEO/HEO","Undeclared","2960","2860","37490","37130"
"In post","2021","40-49","SEO/HEO","Unknown","5290","5050","37200","36740"
"In post","2021","40-49","Unknown","Heterosexual / straight","2840","2630","33950","33950"
"In post","2021","40-49","Unknown","LGBO","150","140","32120","32690"
"In post","2021","40-49","Unknown","Undeclared","350","320","35880","37170"
"In post","2021","40-49","Unknown","Unknown","650","620","37170","34460"
"In post","2021","50-59","AA/AO","Heterosexual / straight","24930","22580","22410","21010"
"In post","2021","50-59","AA/AO","LGBO","860","810","22860","21130"
"In post","2021","50-59","AA/AO","Undeclared","4620","4130","22510","21160"
"In post","2021","50-59","AA/AO","Unknown","10080","8850","22760","21100"
"In post","2021","50-59","EO","Heterosexual / straight","25790","23970","28080","27570"
"In post","2021","50-59","EO","LGBO","900","860","28220","27570"
"In post","2021","50-59","EO","Undeclared","4600","4260","28210","27570"
"In post","2021","50-59","EO","Unknown","7890","7250","28570","27570"
"In post","2021","50-59","G6/G7","Heterosexual / straight","12570","12280","60300","58920"
"In post","2021","50-59","G6/G7","LGBO","530","520","61260","59470"
"In post","2021","50-59","G6/G7","Undeclared","1830","1790","60970","59160"
"In post","2021","50-59","G6/G7","Unknown","3490","3370","60150","58850"
"In post","2021","50-59","SCS","Heterosexual / straight","1820","1790","94750","87040"
"In post","2021","50-59","SCS","LGBO","80","80","95180","83230"
"In post","2021","50-59","SCS","Undeclared","200","200","92750","84830"
"In post","2021","50-59","SCS","Unknown","520","510","100710","91060"
"In post","2021","50-59","SEO/HEO","Heterosexual / straight","25200","24370","37880","36910"
"In post","2021","50-59","SEO/HEO","LGBO","860","840","37680","36710"
"In post","2021","50-59","SEO/HEO","Undeclared","4400","4240","38220","37410"
"In post","2021","50-59","SEO/HEO","Unknown","5840","5620","37840","36990"
"In post","2021","50-59","Unknown","Heterosexual / straight","2830","2680","34200","32690"
"In post","2021","50-59","Unknown","LGBO","110","100","34550","37170"
"In post","2021","50-59","Unknown","Undeclared","360","350","37560","37170"
"In post","2021","50-59","Unknown","Unknown","720","690","39930","35380"
"In post","2021","60-64","AA/AO","Heterosexual / straight","9080","7510","21770","21010"
"In post","2021","60-64","AA/AO","LGBO","230","190","21820","21010"
"In post","2021","60-64","AA/AO","Undeclared","1740","1390","21770","21010"
"In post","2021","60-64","AA/AO","Unknown","3480","2710","22300","21010"
"In post","2021","60-64","EO","Heterosexual / straight","6860","5520","28080","27570"
"In post","2021","60-64","EO","LGBO","200","160","28220","27570"
"In post","2021","60-64","EO","Undeclared","1430","1130","28060","27570"
"In post","2021","60-64","EO","Unknown","2160","1650","28480","27570"
"In post","2021","60-64","G6/G7","Heterosexual / straight","2100","1850","61680","59960"
"In post","2021","60-64","G6/G7","LGBO","70","60","63080","61010"
"In post","2021","60-64","G6/G7","Undeclared","340","290","62770","60830"
"In post","2021","60-64","G6/G7","Unknown","600","520","60960","59160"
"In post","2021","60-64","SCS","Heterosexual / straight","310","290","102790","94500"
"In post","2021","60-64","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","SCS","Undeclared","50","40","[c]","[c]"
"In post","2021","60-64","SCS","Unknown","80","70","107010","102010"
"In post","2021","60-64","SEO/HEO","Heterosexual / straight","5360","4550","38200","36840"
"In post","2021","60-64","SEO/HEO","LGBO","120","100","38000","37390"
"In post","2021","60-64","SEO/HEO","Undeclared","1040","880","38560","37350"
"In post","2021","60-64","SEO/HEO","Unknown","1210","1000","38470","37230"
"In post","2021","60-64","Unknown","Heterosexual / straight","890","780","32290","28880"
"In post","2021","60-64","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","60-64","Unknown","Undeclared","140","120","35540","37170"
"In post","2021","60-64","Unknown","Unknown","190","180","36860","35380"
"In post","2021","65+","AA/AO","Heterosexual / straight","3190","2480","21440","21010"
"In post","2021","65+","AA/AO","LGBO","90","70","21550","21010"
"In post","2021","65+","AA/AO","Undeclared","620","460","21450","21010"
"In post","2021","65+","AA/AO","Unknown","1280","950","22260","21010"
"In post","2021","65+","EO","Heterosexual / straight","1920","1450","28040","27570"
"In post","2021","65+","EO","LGBO","50","40","27750","27570"
"In post","2021","65+","EO","Undeclared","430","310","28360","27570"
"In post","2021","65+","EO","Unknown","680","470","28350","27570"
"In post","2021","65+","G6/G7","Heterosexual / straight","540","430","63670","61010"
"In post","2021","65+","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","G6/G7","Undeclared","100","80","63890","61860"
"In post","2021","65+","G6/G7","Unknown","210","160","62890","61010"
"In post","2021","65+","SCS","Heterosexual / straight","50","40","104720","95830"
"In post","2021","65+","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","65+","SEO/HEO","Heterosexual / straight","1350","1060","38530","36960"
"In post","2021","65+","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","SEO/HEO","Undeclared","260","210","38370","37090"
"In post","2021","65+","SEO/HEO","Unknown","390","290","38660","37700"
"In post","2021","65+","Unknown","Heterosexual / straight","290","240","33010","30350"
"In post","2021","65+","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","Undeclared","50","40","36810","37170"
"In post","2021","65+","Unknown","Unknown","50","40","33120","32400"
"In post","2021","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
