"Status","Year","Ethnicity","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","AA/AO","100","90","21310","21010"
"Leaver CS","2021","Mixed","Female","EO","50","50","[c]","[c]"
"Leaver CS","2021","Mixed","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","AA/AO","70","70","[c]","[c]"
"Leaver CS","2021","Mixed","Male","EO","40","40","[c]","[c]"
"Leaver CS","2021","Mixed","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","SEO/HEO","[c]","[c]","[c]","[c]"
