"Status","Year","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","8000","7260","22060","21010"
"In post","2021","East Midlands (England)","EO","6120","5650","27050","27570"
"In post","2021","East Midlands (England)","G6/G7","1420","1350","57500","53430"
"In post","2021","East Midlands (England)","SCS","90","90","90340","83850"
"In post","2021","East Midlands (England)","SEO/HEO","4750","4510","35850","33840"
"In post","2021","East Midlands (England)","Unknown","1000","920","29910","30210"
"In post","2021","East of England","AA/AO","7830","7190","23610","21500"
"In post","2021","East of England","EO","7170","6600","28230","27570"
"In post","2021","East of England","G6/G7","1340","1290","59010","55430"
"In post","2021","East of England","SCS","120","120","95730","94000"
"In post","2021","East of England","SEO/HEO","5090","4850","36740","35310"
"In post","2021","East of England","Unknown","1030","950","28690","28200"
"In post","2021","London","AA/AO","12710","11810","25550","25110"
"In post","2021","London","EO","21300","20200","29990","30110"
"In post","2021","London","G6/G7","27640","26720","60520","58910"
"In post","2021","London","SCS","4700","4520","90940","81900"
"In post","2021","London","SEO/HEO","33940","33160","38310","37560"
"In post","2021","London","Unknown","1650","1590","33840","33370"
"In post","2021","North East (England)","AA/AO","13680","11730","21470","21010"
"In post","2021","North East (England)","EO","7910","7180","26810","27570"
"In post","2021","North East (England)","G6/G7","2040","1980","54800","52580"
"In post","2021","North East (England)","SCS","120","120","87070","78050"
"In post","2021","North East (England)","SEO/HEO","6160","5830","34770","32960"
"In post","2021","North East (England)","Unknown","710","660","29380","28200"
"In post","2021","North West (England)","AA/AO","21110","18790","21530","21010"
"In post","2021","North West (England)","EO","18380","16950","26900","27570"
"In post","2021","North West (England)","G6/G7","4570","4410","56330","52630"
"In post","2021","North West (England)","SCS","290","280","87150","80250"
"In post","2021","North West (England)","SEO/HEO","12980","12390","35170","33520"
"In post","2021","North West (England)","Unknown","2030","1890","30610","30210"
"In post","2021","Northern Ireland","AA/AO","1690","1560","20770","20310"
"In post","2021","Northern Ireland","EO","980","920","26560","25560"
"In post","2021","Northern Ireland","G6/G7","240","230","55880","52580"
"In post","2021","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","SEO/HEO","900","870","34840","32060"
"In post","2021","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","50","50","22460","23000"
"In post","2021","Overseas","EO","280","270","28020","27370"
"In post","2021","Overseas","G6/G7","1340","1330","59920","58030"
"In post","2021","Overseas","SCS","290","290","85970","77460"
"In post","2021","Overseas","SEO/HEO","1550","1540","39920","36960"
"In post","2021","Overseas","Unknown","260","250","[c]","[c]"
