"Status","Year","Parent_department","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Birmingham","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Liverpool","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Manchester","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Nottingham","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Tyneside","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Westminster","360","340","50310","51510"
"In post","2021","Attorney General's Departments","Declared disabled","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","York","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Berkshire","90","80","44880","40280"
"In post","2021","Attorney General's Departments","Declared non-disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Birmingham","310","290","40970","38000"
"In post","2021","Attorney General's Departments","Declared non-disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Brighton and Hove","70","60","45360","43380"
"In post","2021","Attorney General's Departments","Declared non-disabled","Bristol, City of","100","100","42360","41500"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cardiff and Vale of Glamorgan","150","140","41600","38760"
"In post","2021","Attorney General's Departments","Declared non-disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
