"Status","Year","Function_of_post","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","30","30","[c]","[c]"
"In post","2021","Analysis","East of England","EO","60","50","25090","24920"
"In post","2021","Analysis","East of England","G6/G7","80","80","52100","48080"
"In post","2021","Analysis","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SEO/HEO","220","200","33220","31810"
"In post","2021","Analysis","London","AA/AO","60","60","24430","24120"
"In post","2021","Analysis","London","EO","260","260","28790","28650"
"In post","2021","Analysis","London","G6/G7","1440","1380","62160","59160"
"In post","2021","Analysis","London","SCS","120","110","91600","82020"
"In post","2021","Analysis","London","SEO/HEO","1570","1550","37890","36160"
"In post","2021","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","40","30","[c]","[c]"
"In post","2021","Analysis","North West (England)","G6/G7","100","90","52130","52580"
"In post","2021","Analysis","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","SEO/HEO","230","220","35100","32780"
"In post","2021","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
