"Status","Year","Parent_department","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Work and Pensions","Female","G6/G7","1560","1470","55910","54070"
"In post","2021","Department for Work and Pensions","Female","SCS","130","130","86670","78390"
"In post","2021","Department for Work and Pensions","Female","SEO/HEO","6780","6260","35130","34290"
"In post","2021","Department for Work and Pensions","Male","AA/AO","9780","9280","21200","21010"
"In post","2021","Department for Work and Pensions","Male","EO","16480","15840","28130","27570"
"In post","2021","Department for Work and Pensions","Male","G6/G7","1720","1680","58710","57230"
"In post","2021","Department for Work and Pensions","Male","SCS","140","140","92370","84920"
"In post","2021","Department for Work and Pensions","Male","SEO/HEO","4570","4430","37160","35310"
"In post","2021","Department of Health and Social Care","Female","AA/AO","700","610","21360","21570"
"In post","2021","Department of Health and Social Care","Female","EO","1130","1050","26490","27140"
"In post","2021","Department of Health and Social Care","Female","G6/G7","2210","2080","57690","53920"
"In post","2021","Department of Health and Social Care","Female","SCS","480","420","97490","92860"
"In post","2021","Department of Health and Social Care","Female","SEO/HEO","3160","2920","36070","36330"
"In post","2021","Department of Health and Social Care","Male","AA/AO","280","260","21210","20740"
"In post","2021","Department of Health and Social Care","Male","EO","450","430","26430","27140"
"In post","2021","Department of Health and Social Care","Male","G6/G7","1450","1420","58830","54670"
"In post","2021","Department of Health and Social Care","Male","SCS","410","380","100200","93000"
"In post","2021","Department of Health and Social Care","Male","SEO/HEO","1490","1450","36530","36820"
"In post","2021","ESTYN","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","ESTYN","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","G6/G7","40","30","[c]","[c]"
"In post","2021","ESTYN","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","EO","90","80","27140","26750"
"In post","2021","Food Standards Agency","Female","G6/G7","110","100","56420","55300"
"In post","2021","Food Standards Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","SEO/HEO","320","310","36010","37350"
"In post","2021","Food Standards Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","EO","350","330","27320","26750"
"In post","2021","Food Standards Agency","Male","G6/G7","110","110","56350","56130"
"In post","2021","Food Standards Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","SEO/HEO","310","300","36000","37350"
"In post","2021","Foreign, Commonwealth and Development Office","Female","AA/AO","330","310","25350","24750"
"In post","2021","Foreign, Commonwealth and Development Office","Female","EO","560","530","29480","29300"
"In post","2021","Foreign, Commonwealth and Development Office","Female","G6/G7","1570","1510","58990","58030"
"In post","2021","Foreign, Commonwealth and Development Office","Female","SCS","240","230","85030","78010"
"In post","2021","Foreign, Commonwealth and Development Office","Female","SEO/HEO","1520","1480","37650","37560"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Male","AA/AO","270","270","25800","24750"
"In post","2021","Foreign, Commonwealth and Development Office","Male","EO","410","410","29530","29300"
"In post","2021","Foreign, Commonwealth and Development Office","Male","G6/G7","1710","1680","60130","58470"
"In post","2021","Foreign, Commonwealth and Development Office","Male","SCS","320","320","87610","78030"
"In post","2021","Foreign, Commonwealth and Development Office","Male","SEO/HEO","1670","1650","38240","37560"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Unknown","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Female","AA/AO","1140","1060","22470","22350"
"In post","2021","HM Land Registry","Female","EO","1460","1220","27380","27130"
"In post","2021","HM Land Registry","Female","G6/G7","170","150","62370","60520"
"In post","2021","HM Land Registry","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","SEO/HEO","1040","920","36760","33840"
"In post","2021","HM Land Registry","Male","AA/AO","710","690","22460","22350"
"In post","2021","HM Land Registry","Male","EO","700","660","27750","27130"
"In post","2021","HM Land Registry","Male","G6/G7","130","130","62840","60520"
"In post","2021","HM Land Registry","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","SEO/HEO","980","910","38100","38450"
"In post","2021","HM Revenue and Customs","Female","AA/AO","12810","10430","20860","20140"
"In post","2021","HM Revenue and Customs","Female","EO","8370","7440","26520","25560"
"In post","2021","HM Revenue and Customs","Female","G6/G7","3380","3220","56810","52770"
"In post","2021","HM Revenue and Customs","Female","SCS","240","230","84670","78070"
"In post","2021","HM Revenue and Customs","Female","SEO/HEO","10250","9580","34750","32030"
"In post","2021","HM Revenue and Customs","Male","AA/AO","8790","8300","20620","20140"
"In post","2021","HM Revenue and Customs","Male","EO","7270","7000","26350","25560"
"In post","2021","HM Revenue and Customs","Male","G6/G7","4320","4190","57670","54590"
"In post","2021","HM Revenue and Customs","Male","SCS","270","260","86460","79930"
"In post","2021","HM Revenue and Customs","Male","SEO/HEO","10780","10430","35140","32770"
"In post","2021","HM Treasury","Female","AA/AO","40","40","[c]","[c]"
"In post","2021","HM Treasury","Female","EO","160","150","27290","26780"
"In post","2021","HM Treasury","Female","G6/G7","470","450","58320","56600"
"In post","2021","HM Treasury","Female","SCS","90","80","84300","77000"
"In post","2021","HM Treasury","Female","SEO/HEO","540","520","36050","34320"
"In post","2021","HM Treasury","Male","AA/AO","30","30","[c]","[c]"
"In post","2021","HM Treasury","Male","EO","80","80","26530","26750"
"In post","2021","HM Treasury","Male","G6/G7","650","640","59540","56940"
"In post","2021","HM Treasury","Male","SCS","100","100","88660","80090"
"In post","2021","HM Treasury","Male","SEO/HEO","520","510","36430","34200"
"In post","2021","Home Office","Female","AA/AO","4840","4080","22060","21430"
"In post","2021","Home Office","Female","EO","7200","6450","26860","25990"
"In post","2021","Home Office","Female","G6/G7","1590","1530","60480","57680"
"In post","2021","Home Office","Female","SCS","130","130","89270","82810"
"In post","2021","Home Office","Female","SEO/HEO","4460","4240","36680","35280"
"In post","2021","Home Office","Female","Unknown","100","100","[c]","[c]"
"In post","2021","Home Office","Male","AA/AO","3490","3300","21900","21430"
"In post","2021","Home Office","Male","EO","7170","6730","27050","26160"
"In post","2021","Home Office","Male","G6/G7","1780","1760","61120","57680"
"In post","2021","Home Office","Male","SCS","160","160","93870","84030"
"In post","2021","Home Office","Male","SEO/HEO","4320","4240","36590","35200"
"In post","2021","Home Office","Male","Unknown","150","150","[c]","[c]"
"In post","2021","Ministry of Defence","Female","AA/AO","6950","6490","21510","21000"
"In post","2021","Ministry of Defence","Female","EO","4540","4280","26400","26670"
"In post","2021","Ministry of Defence","Female","G6/G7","2200","2060","57800","55220"
"In post","2021","Ministry of Defence","Female","SCS","140","140","87750","81450"
"In post","2021","Ministry of Defence","Female","SEO/HEO","8160","7750","36280","35000"
"In post","2021","Ministry of Defence","Female","Unknown","830","800","37260","34710"
"In post","2021","Ministry of Defence","Male","AA/AO","8960","8810","23820","20920"
"In post","2021","Ministry of Defence","Male","EO","6060","5960","27220","26670"
"In post","2021","Ministry of Defence","Male","G6/G7","4140","4040","57560","56170"
"In post","2021","Ministry of Defence","Male","SCS","280","270","95650","88500"
"In post","2021","Ministry of Defence","Male","SEO/HEO","12160","11950","37470","37320"
"In post","2021","Ministry of Defence","Male","Unknown","3270","3250","40190","36970"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","AA/AO","140","120","22270","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","EO","200","190","27790","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","G6/G7","660","620","56760","53870"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","SCS","70","70","84290","76700"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","SEO/HEO","630","600","35970","34860"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","AA/AO","100","100","23100","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","EO","180","180","28310","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","G6/G7","760","730","57680","56430"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","SCS","70","70","87950","78930"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","SEO/HEO","590","590","36720","36340"
"In post","2021","Ministry of Justice","Female","AA/AO","20140","18040","22830","21500"
"In post","2021","Ministry of Justice","Female","EO","5240","4940","26660","26410"
"In post","2021","Ministry of Justice","Female","G6/G7","1600","1530","60600","58130"
"In post","2021","Ministry of Justice","Female","SCS","170","170","88350","83000"
"In post","2021","Ministry of Justice","Female","SEO/HEO","6900","6580","37000","36260"
"In post","2021","Ministry of Justice","Female","Unknown","9380","8560","29720","28200"
"In post","2021","Ministry of Justice","Male","AA/AO","20440","19600","26010","25400"
"In post","2021","Ministry of Justice","Male","EO","5180","5000","29960","30810"
"In post","2021","Ministry of Justice","Male","G6/G7","1420","1400","63410","60770"
"In post","2021","Ministry of Justice","Male","SCS","160","160","92440","92050"
"In post","2021","Ministry of Justice","Male","SEO/HEO","5500","5310","39700","38160"
"In post","2021","Ministry of Justice","Male","Unknown","2770","2670","30920","30210"
"In post","2021","National Crime Agency","Female","AA/AO","200","180","23570","24220"
"In post","2021","National Crime Agency","Female","EO","1260","1210","32730","32770"
"In post","2021","National Crime Agency","Female","G6/G7","120","120","62490","59160"
"In post","2021","National Crime Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Female","SEO/HEO","860","820","43010","43630"
"In post","2021","National Crime Agency","Male","AA/AO","130","120","24050","24220"
"In post","2021","National Crime Agency","Male","EO","1210","1200","34240","34520"
"In post","2021","National Crime Agency","Male","G6/G7","240","240","65730","64410"
"In post","2021","National Crime Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","SEO/HEO","1430","1420","45600","44090"
"In post","2021","Northern Ireland Office","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education","Female","AA/AO","160","140","21230","21160"
"In post","2021","Office for Standards in Education","Female","EO","120","110","26190","25880"
"In post","2021","Office for Standards in Education","Female","G6/G7","350","340","72590","75500"
"In post","2021","Office for Standards in Education","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Female","SEO/HEO","540","520","44350","51360"
"In post","2021","Office for Standards in Education","Male","AA/AO","70","70","21300","21160"
"In post","2021","Office for Standards in Education","Male","EO","80","80","26440","25880"
"In post","2021","Office for Standards in Education","Male","G6/G7","230","230","73740","75500"
"In post","2021","Office for Standards in Education","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Male","SEO/HEO","190","190","39650","39850"
"In post","2021","Office of Gas and Electricity Markets","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","EO","140","130","26110","25610"
"In post","2021","Office of Gas and Electricity Markets","Female","G6/G7","190","180","58890","57140"
"In post","2021","Office of Gas and Electricity Markets","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","SEO/HEO","170","160","36590","35880"
"In post","2021","Office of Gas and Electricity Markets","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","EO","130","130","25540","25300"
"In post","2021","Office of Gas and Electricity Markets","Male","G6/G7","250","250","61440","61000"
"In post","2021","Office of Gas and Electricity Markets","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","SEO/HEO","200","200","36380","35720"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","G6/G7","50","50","52800","48350"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","SEO/HEO","70","60","36100","36540"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","G6/G7","60","50","60990","58700"
"In post","2021","Office of Rail and Road","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","G6/G7","120","110","62930","62490"
"In post","2021","Office of Rail and Road","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Female","EO","70","70","23720","22640"
"In post","2021","Other Cabinet Office Agencies","Female","G6/G7","150","140","52790","52630"
"In post","2021","Other Cabinet Office Agencies","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Female","SEO/HEO","260","240","33240","34800"
"In post","2021","Other Cabinet Office Agencies","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Male","EO","60","60","24180","23540"
"In post","2021","Other Cabinet Office Agencies","Male","G6/G7","150","140","55310","55000"
"In post","2021","Other Cabinet Office Agencies","Male","SCS","30","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Male","SEO/HEO","250","250","34010","34800"
"In post","2021","Scotland Office","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Female","AA/AO","3360","3020","22580","22230"
"In post","2021","Scottish Government","Female","EO","2530","2380","29230","29190"
"In post","2021","Scottish Government","Female","G6/G7","1800","1700","62250","61010"
"In post","2021","Scottish Government","Female","SCS","110","110","90100","83230"
"In post","2021","Scottish Government","Female","SEO/HEO","3760","3530","38930","37940"
"In post","2021","Scottish Government","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Male","AA/AO","2770","2670","23550","22820"
"In post","2021","Scottish Government","Male","EO","2970","2840","31090","30930"
"In post","2021","Scottish Government","Male","G6/G7","1460","1430","62980","61010"
"In post","2021","Scottish Government","Male","SCS","150","140","88970","83230"
"In post","2021","Scottish Government","Male","SEO/HEO","3330","3200","39850","39500"
"In post","2021","Scottish Government","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","The National Archives","Female","EO","40","40","[c]","[c]"
"In post","2021","The National Archives","Female","G6/G7","50","50","[c]","[c]"
"In post","2021","The National Archives","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Female","SEO/HEO","160","150","34600","34260"
"In post","2021","The National Archives","Male","AA/AO","60","50","21000","20650"
"In post","2021","The National Archives","Male","EO","30","30","[c]","[c]"
"In post","2021","The National Archives","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","The National Archives","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Male","SEO/HEO","120","120","37650","36000"
"In post","2021","UK Export Finance","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Female","G6/G7","40","30","[c]","[c]"
"In post","2021","UK Export Finance","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Female","SEO/HEO","80","80","41700","41250"
"In post","2021","UK Export Finance","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Male","EO","[c]","[c]","[c]","[c]"
