"Status","Year","Parent_department","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Asian","170","160","22800","23520"
"In post","2021","Attorney General's Departments","AA/AO","Black","110","100","23240","23520"
"In post","2021","Attorney General's Departments","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Mixed","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","190","170","21820","21950"
"In post","2021","Attorney General's Departments","AA/AO","White","990","910","22190","21950"
"In post","2021","Attorney General's Departments","EO","Asian","170","160","27960","27580"
"In post","2021","Attorney General's Departments","EO","Black","150","140","28250","27740"
"In post","2021","Attorney General's Departments","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Mixed","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Unknown","200","180","28080","27760"
"In post","2021","Attorney General's Departments","EO","White","1140","1060","28020","28430"
"In post","2021","Attorney General's Departments","G6/G7","Asian","410","380","56880","54200"
"In post","2021","Attorney General's Departments","G6/G7","Black","200","190","58660","58970"
"In post","2021","Attorney General's Departments","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Mixed","150","140","57890","55610"
"In post","2021","Attorney General's Departments","G6/G7","Other ethnicity","80","70","60210","59930"
"In post","2021","Attorney General's Departments","G6/G7","Undeclared","80","80","59030","55610"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","580","540","60600","59380"
"In post","2021","Attorney General's Departments","G6/G7","White","3250","3000","58330","55610"
"In post","2021","Attorney General's Departments","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
